date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.044853	0.052797	0.043049	0.049009	15,471.14	0
Dec 15, 2020	0.044652	0.049253	0.042361	0.044862	14,553.30	0
Dec 14, 2020	0.047454	0.048597	0.042473	0.044654	13,609.60	0
Dec 13, 2020	0.048890	0.050495	0.043059	0.047450	13,854.88	0
Dec 12, 2020	0.044854	0.049236	0.044340	0.048894	13,900.22	0
Dec 11, 2020	0.045458	0.045976	0.039750	0.044850	14,749.73	0
Dec 10, 2020	0.048611	0.048611	0.035580	0.045455	13,542.75	0
Dec 09, 2020	0.047815	0.048987	0.047001	0.048610	14,140.39	0
Dec 08, 2020	0.050287	0.051322	0.047685	0.047835	14,193.58	0
Dec 07, 2020	0.051023	0.051292	0.049580	0.050296	14,861.67	0
Dec 06, 2020	0.050175	0.051363	0.049573	0.051019	15,233.29	0
Dec 05, 2020	0.052365	0.053649	0.049695	0.050153	10,233.33	0
Dec 04, 2020	0.054301	0.054465	0.052352	0.052525	7,267.79	0
Dec 03, 2020	0.053928	0.054875	0.051423	0.054287	13,938.54	0
Dec 02, 2020	0.052356	0.054015	0.050925	0.053939	15,870.40	0
Dec 01, 2020	0.055149	0.055966	0.051668	0.052360	16,304.67	0
Nov 30, 2020	0.050231	0.055544	0.038519	0.055153	14,692.80	0
Nov 29, 2020	0.050139	0.051473	0.049176	0.050233	16,328.75	0
Nov 28, 2020	0.048588	0.050527	0.047407	0.050140	14,070.09	0
Nov 27, 2020	0.048864	0.049670	0.046705	0.048588	13,970.87	0
Nov 26, 2020	0.053387	0.054071	0.046683	0.048800	14,234.41	0
Nov 25, 2020	0.055081	0.055970	0.052399	0.053391	15,769.82	0
Nov 24, 2020	0.052818	0.055864	0.037008	0.055086	15,233.43	0
Nov 23, 2020	0.053057	0.055118	0.051320	0.052829	15,451.81	0
Nov 22, 2020	0.050517	0.056235	0.049601	0.053122	15,173.53	0
Nov 21, 2020	0.054933	0.058306	0.050026	0.050516	17,898.94	0
Nov 20, 2020	0.052739	0.057793	0.051212	0.054935	16,121.84	0
Nov 19, 2020	0.054124	0.055868	0.049758	0.052680	15,307.24	0
Nov 18, 2020	0.048761	0.054944	0.046075	0.054119	14,561.62	0
Nov 17, 2020	0.049747	0.052993	0.044154	0.048770	26,133.91	0
Nov 16, 2020	0.050260	0.053025	0.048843	0.051003	16,343.09	0
Nov 15, 2020	0.057685	0.059241	0.046089	0.050260	15,625.83	0
Nov 14, 2020	0.058702	0.059755	0.050567	0.057682	16,591.50	0
