date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.714736	0.789891	0.710364	0.784339	0	0
Dec 15, 2020	0.708462	0.718708	0.702323	0.714867	0	0
Dec 14, 2020	0.704625	0.710608	0.699852	0.708485	0	0
Dec 13, 2020	0.692157	0.713427	0.689605	0.704566	0	0
Dec 12, 2020	0.664744	0.696423	0.664271	0.692225	0	0
Dec 11, 2020	0.672330	0.672457	0.648572	0.664689	0	0
Dec 10, 2020	0.682964	0.682964	0.660996	0.672284	0	0
Dec 09, 2020	0.674397	0.685629	0.660320	0.682950	0	0
Dec 08, 2020	0.706437	0.709818	0.672512	0.674355	0	0
Dec 07, 2020	0.712087	0.714542	0.696849	0.706501	0	0
Dec 06, 2020	0.705061	0.713757	0.695626	0.711852	0	0
Dec 05, 2020	0.135032	0.705112	0.134998	0.705044	0	0
Dec 04, 2020	0.715778	0.718208	0.134990	0.135033	0.945244	0
Dec 03, 2020	0.706851	0.720224	0.696652	0.715867	0	0
Dec 02, 2020	0.692133	0.710733	0.675375	0.706997	0	0
Dec 01, 2020	0.722420	0.730523	0.674425	0.692185	0	0
Nov 30, 2020	0.669109	0.726963	0.669109	0.722476	0	0
Nov 29, 2020	0.652175	0.672980	0.646348	0.669136	0	0
Nov 28, 2020	0.629758	0.657200	0.622479	0.652193	0	0
Nov 27, 2020	0.067637	0.638773	0.067607	0.629766	0	0
Nov 26, 2020	0.689524	0.694462	0.067475	0.067632	0.067634	0
Nov 25, 2020	0.067487	0.713775	0.067463	0.689582	0	0
Nov 24, 2020	0.676113	0.680258	0.067421	0.067486	0.269946	0
Nov 23, 2020	0.247995	0.688762	0.245741	0.675535	0	0
Nov 22, 2020	0.686215	0.687935	0.240339	0.248013	0.744953	0
Nov 21, 2020	0.685445	0.697051	0.678932	0.686202	0	0
Nov 20, 2020	0.655861	0.691037	0.653955	0.685473	0	0
Nov 19, 2020	0.237975	0.666976	0.120332	0.655124	0	0
Nov 18, 2020	0.204441	0.677076	0.102576	0.237959	2.82	0
Nov 17, 2020	0.614304	0.615544	0.102483	0.204441	0.408861	0
Nov 16, 2020	0.587325	0.619002	0.584569	0.615273	0	0
Nov 15, 2020	0.102529	0.588676	0.102499	0.587327	0	0
Nov 14, 2020	0.600658	0.600658	0.102489	0.102529	0.102523	0
Nov 13, 2020	0.599127	0.606009	0.588671	0.600660	0	0
Nov 12, 2020	0.439746	0.600187	0.435020	0.599318	0	0
Nov 11, 2020	0.562898	0.582257	0.437581	0.439484	0.439434	0
Nov 10, 2020	0.564384	0.568728	0.556752	0.562819	0	0
Nov 09, 2020	0.569777	0.581051	0.547203	0.564410	0	0
Nov 08, 2020	0.546025	0.575611	0.542733	0.570046	0	0
Nov 07, 2020	0.572981	0.579283	0.530921	0.546598	0	0
Nov 06, 2020	0.437793	0.576192	0.427771	0.572499	0	0
Nov 05, 2020	0.520266	0.539578	0.410515	0.437799	7.87	0
Nov 04, 2020	0.513499	0.523397	0.499902	0.520253	0	0
Nov 03, 2020	0.498772	0.514791	0.490515	0.512208	0	0
Nov 02, 2020	0.604880	0.606149	0.199515	0.499103	0	0
Nov 01, 2020	0.236710	0.604304	0.138498	0.603803	451,889	0
Oct 31, 2020	0.549468	0.577562	0.129756	0.236685	335,683	0
Oct 30, 2020	0.581683	0.606256	0.463709	0.550121	1,526,996	0
Oct 29, 2020	0.464135	0.673832	0.124450	0.582146	728,230	0
Oct 28, 2020	0.694132	0.821059	0.165597	0.464133	1,517,818	0
Oct 27, 2020	0.696809	0.805183	0.514762	0.693562	978,962	0
Oct 26, 2020	0.462858	0.910554	0.446857	0.696701	1,490,214	0
Oct 25, 2020	0.938294	1.17	0.132432	0.462649	600,314	0
Oct 24, 2020	0.984395	6.25	0.247727	0.938594	633,274	0
Oct 23, 2020	0.151045	58.63	0.121231	0.984200	1,812,353	0
Oct 22, 2020	0.405255	0.470672	0.114619	0.151045	449,911	0
Oct 21, 2020	0.090523	0.456711	0.090501	0.187224	564,706	0
Oct 20, 2020	0.101542	0.120447	0.088683	0.098983	218,041	0
Oct 19, 2020	0.108605	0.119766	0.087785	0.092117	178,747	0
Oct 18, 2020	0.110597	0.119543	0.101119	0.103462	93,991.62	0
Oct 17, 2020	0.109678	0.117783	0.100371	0.113856	149,460	0
Oct 16, 2020	0.108508	0.117675	0.099791	0.108223	303,511	0
Oct 15, 2020	0.111414	0.119197	0.100294	0.109674	194,439	0
Oct 14, 2020	0.102136	0.120125	0.092795	0.111414	194,025	0
Oct 13, 2020	0.113824	0.120691	0.093504	0.101604	122,204	0
Oct 12, 2020	0.098852	0.121203	0.081665	0.108569	328,423	0
Oct 11, 2020	0.106003	0.118019	0.081371	0.098853	173,201	0
Oct 10, 2020	0.104552	0.119552	0.088985	0.091055	208,708	0
Oct 09, 2020	0.110458	0.118648	0.091176	0.104552	258,032	0
Oct 08, 2020	0.101710	0.120669	0.087995	0.100839	422,134	0
Oct 07, 2020	0.088403	0.116017	0.088006	0.097337	552,578	0
Oct 06, 2020	0.090953	0.119436	0.088189	0.110413	1,262,912	0
Oct 05, 2020	0.095212	0.118852	0.088472	0.113424	163,872	0
Oct 04, 2020	0.109015	0.120168	0.087936	0.101262	154,959	0
Oct 03, 2020	0.108923	0.119762	0.087715	0.088559	82,441.06	0
Oct 02, 2020	0.106626	0.119077	0.093016	0.108923	260,234	0
Oct 01, 2020	0.096671	0.121979	0.092980	0.106627	234,318	0
Sep 30, 2020	0.093310	0.123781	0.089741	0.097636	141,271	0
Sep 29, 2020	0.098847	0.124368	0.082757	0.114863	208,195	0
Sep 28, 2020	0.100603	0.122839	0.071759	0.101989	271,774	0
Sep 27, 2020	0.081005	0.124205	0.050640	0.097233	168,328	0
Sep 26, 2020	0.107697	0.122443	0.079620	0.097391	172,530	0
Sep 25, 2020	0.104505	0.125496	0.100794	0.105780	281,090	0
Sep 24, 2020	0.107782	0.124923	0.096566	0.112019	255,701	0
Sep 23, 2020	0.109651	0.124690	0.098143	0.107782	140,587	0
Sep 22, 2020	0.118279	0.124867	0.099981	0.114335	204,402	0
Sep 21, 2020	0.095680	0.127380	0.089557	0.115689	371,814	0
Sep 20, 2020	0.104689	0.132011	0.091431	0.095680	143,537	0
Sep 19, 2020	0.103154	0.131242	0.061019	0.108154	176,864	0
Sep 18, 2020	0.091623	0.121888	0.058820	0.103144	273,171	0
Sep 17, 2020	0.112818	0.120048	0.059144	0.077258	165,042	0
Sep 16, 2020	0.099937	0.126349	0.062981	0.112835	427,139	0
Sep 15, 2020	0.108175	0.126400	0.059660	0.076145	200,953	0
Sep 14, 2020	0.097177	0.118105	0.096988	0.108175	275,042	0
Sep 13, 2020	0.098772	0.106840	0.096570	0.097403	306,062	0
Sep 12, 2020	0.106668	0.107090	0.097330	0.099071	224,439	0
Sep 11, 2020	0.104709	0.109196	0.100623	0.103576	329,540	0
Sep 10, 2020	0.102407	0.106723	0.099589	0.104719	364,202	0
Sep 09, 2020	0.102259	0.105923	0.098069	0.102407	311,806	0
Sep 08, 2020	0.109170	0.112414	0.097450	0.101874	494,230	0
Sep 07, 2020	0.107059	0.111379	0.101332	0.106709	545,278	0
Sep 06, 2020	0.106676	0.108156	0.104147	0.107049	429,853	0
Sep 05, 2020	0.119500	0.124110	0.103791	0.106128	1,320,504	0
Sep 04, 2020	0.101365	0.123713	0.099190	0.119836	2,138,220	0
Sep 03, 2020	0.120795	0.128424	0.098667	0.099137	960,475	0
Sep 02, 2020	0.130488	0.134243	0.118483	0.124347	1,102,856	0
Sep 01, 2020	0.126460	0.134655	0.122667	0.129482	663,920	0
Aug 31, 2020	0.126284	0.133431	0.112493	0.126496	164,755	0
Aug 30, 2020	0.138470	0.141978	0.118615	0.126271	373,612	0
Aug 29, 2020	0.144516	0.146329	0.126051	0.137938	343,675	0
Aug 28, 2020	0.131544	0.147202	0.110583	0.143576	569,761	0
Aug 27, 2020	0.124375	0.138090	0.118720	0.129920	663,526	0
Aug 26, 2020	0.125129	0.129801	0.099439	0.123616	451,700	0
Aug 25, 2020	0.129823	0.133717	0.124248	0.125317	722,514	0
Aug 24, 2020	0.128531	0.139990	0.115733	0.130892	392,658	0
Aug 23, 2020	0.140297	0.149380	0.122003	0.130272	365,279	0
Aug 22, 2020	0.127794	0.153373	0.125373	0.142542	621,598	0
Aug 21, 2020	0.161057	0.227793	0.108095	0.129073	1,082,499	0
Aug 20, 2020	0.138906	0.245861	0.105296	0.156693	581,788	0
Aug 19, 2020	0.153396	0.158517	0.104781	0.138906	1,124,350	0
Aug 18, 2020	0.104808	0.161955	0.091494	0.145368	925,615	0
