date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001945	0.002101	0.001921	0.001973	132.93	104,284
Dec 15, 2020	0.002244	0.002284	0.001893	0.001945	18.18	102,822
Dec 14, 2020	0.002288	0.002291	0.000906	0.002244	293.49	118,651
Dec 13, 2020	0.001456	0.002304	0.001445	0.002288	40.69	120,942
Dec 12, 2020	0.002161	0.002221	0.001416	0.001456	28.68	76,962.80
Dec 11, 2020	0.002222	0.002225	0.001469	0.002161	14.59	114,252
Dec 10, 2020	0.002300	0.002304	0.001468	0.002222	14.91	117,468
Dec 09, 2020	0.002269	0.002315	0.001498	0.002300	115.68	121,567
Dec 08, 2020	0.002427	0.002433	0.002260	0.002269	516.16	119,936
Dec 07, 2020	0.002444	0.002459	0.002400	0.002427	441.78	128,299
Dec 06, 2020	0.002422	0.002464	0.002373	0.002443	0	129,144
Dec 05, 2020	0.001486	0.002439	0.001470	0.002422	665.13	128,028
Dec 04, 2020	0.002775	0.002775	0.001486	0.001486	24.23	78,575.78
Dec 03, 2020	0.002878	0.002886	0.002648	0.002775	37.42	146,726
Dec 02, 2020	0.002884	0.002937	0.002775	0.002878	85.49	152,160
Dec 01, 2020	0.003228	0.003240	0.001589	0.002885	2,465.79	152,509
Nov 30, 2020	0.002931	0.003230	0.001560	0.003227	1,268.07	170,612
Nov 29, 2020	0.003149	0.003277	0.001199	0.002931	4,987.08	154,939
Nov 28, 2020	0.003022	0.003206	0.002356	0.003149	39.45	166,485
Nov 27, 2020	0.003258	0.003333	0.002930	0.003022	147.72	159,745
Nov 26, 2020	0.003846	0.003880	0.003253	0.003257	59.36	172,189
Nov 25, 2020	0.004100	0.004109	0.002521	0.003847	441.04	203,391
Nov 24, 2020	0.004163	0.004249	0.004026	0.004100	0	216,746
Nov 23, 2020	0.003895	0.004221	0.002423	0.004156	5,706.63	219,718
Nov 22, 2020	0.003835	0.004044	0.003591	0.003896	1,232.08	205,944
Nov 21, 2020	0.003400	0.003841	0.002158	0.003835	4,856.90	202,758
Nov 20, 2020	0.001608	0.003569	0.000485	0.003400	7,649.94	179,752
Nov 19, 2020	0.001424	0.001625	0.001342	0.001608	809.14	85,024.48
Nov 18, 2020	0.000942	0.001429	0.000908	0.001424	1,054.42	75,276.60
Nov 17, 2020	0.000910	0.000945	0.000621	0.000941	571.04	49,771.54
Nov 16, 2020	0.000707	0.000904	0.000507	0.000897	628.83	47,411.11
Nov 15, 2020	0.000736	0.000738	0.000696	0.000707	102.74	37,383.90
