date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.325481	0.344005	0.319305	0.339955	106,922,372	400,509,207
Dec 15, 2020	0.312787	0.339525	0.312787	0.325476	77,662,360	382,912,366
Dec 14, 2020	0.309290	0.317659	0.304624	0.312755	48,466,155	367,429,118
Dec 13, 2020	0.309852	0.319520	0.305316	0.309143	47,397,135	362,674,628
Dec 12, 2020	0.289467	0.315384	0.289151	0.309844	56,942,675	362,982,501
Dec 11, 2020	0.294358	0.295071	0.277349	0.289890	48,422,448	339,126,241
Dec 10, 2020	0.306167	0.307326	0.291636	0.294348	41,624,811	343,707,359
Dec 09, 2020	0.301042	0.307977	0.287213	0.306190	67,088,276	357,026,543
Dec 08, 2020	0.331103	0.332000	0.294863	0.300953	80,324,528	349,272,800
Dec 07, 2020	0.337136	0.342907	0.324232	0.331154	52,230,358	383,775,486
Dec 06, 2020	0.344296	0.347410	0.330662	0.337144	75,516,886	390,094,503
Dec 05, 2020	0.326684	0.350347	0.319538	0.344678	74,950,311	398,311,844
Dec 04, 2020	0.340782	0.373204	0.323165	0.326958	110,866,371	377,294,785
Dec 03, 2020	0.341892	0.357095	0.340205	0.340721	78,058,839	392,614,510
Dec 02, 2020	0.308996	0.346112	0.301272	0.341701	101,946,818	393,100,330
Dec 01, 2020	0.328857	0.346242	0.306817	0.309062	101,960,294	355,039,798
Nov 30, 2020	0.317549	0.333803	0.313799	0.328571	93,029,960	376,849,715
Nov 29, 2020	0.313154	0.322931	0.301708	0.317558	59,560,847	363,692,604
Nov 28, 2020	0.300161	0.323590	0.295796	0.313111	69,329,866	358,081,705
Nov 27, 2020	0.301860	0.316193	0.286580	0.299978	80,462,546	342,566,098
Nov 26, 2020	0.343593	0.355065	0.280774	0.301823	203,880,410	344,175,652
Nov 25, 2020	0.357876	0.419008	0.333394	0.343715	222,071,949	391,382,995
Nov 24, 2020	0.335366	0.374568	0.327694	0.357892	224,480,785	406,939,750
Nov 23, 2020	0.297030	0.341300	0.293568	0.335173	123,633,926	385,652,094
Nov 22, 2020	0.315294	0.323263	0.281372	0.297030	104,518,231	341,279,098
Nov 21, 2020	0.284402	0.324473	0.284402	0.315294	124,532,492	361,747,465
Nov 20, 2020	0.264562	0.288724	0.264490	0.284402	63,907,790	325,824,643
Nov 19, 2020	0.267483	0.271292	0.255602	0.264561	41,325,515	302,661,586
Nov 18, 2020	0.274017	0.277231	0.257583	0.267482	71,924,359	304,545,720
Nov 17, 2020	0.272810	0.278368	0.268597	0.274030	54,733,261	311,553,786
Nov 16, 2020	0.254885	0.272180	0.252721	0.269692	61,158,972	306,179,466
Nov 15, 2020	0.265827	0.271175	0.248861	0.254886	57,838,422	288,951,421
Nov 14, 2020	0.279745	0.279774	0.263537	0.265827	47,149,542	300,918,682
Nov 13, 2020	0.265159	0.280957	0.263380	0.279745	51,460,690	316,215,603
Nov 12, 2020	0.278733	0.278733	0.260692	0.265159	40,815,820	299,293,750
Nov 11, 2020	0.286785	0.293607	0.277385	0.278738	52,318,889	314,167,003
Nov 10, 2020	0.260642	0.292055	0.257086	0.286784	66,371,409	322,766,635
Nov 09, 2020	0.266494	0.272901	0.254796	0.260620	44,327,720	292,844,712
Nov 08, 2020	0.258266	0.275029	0.254505	0.266494	42,481,944	299,011,533
Nov 07, 2020	0.276471	0.296783	0.245126	0.258266	93,241,589	289,403,470
Nov 06, 2020	0.247688	0.281100	0.247610	0.276471	53,370,602	309,351,576
Nov 05, 2020	0.238599	0.253761	0.234073	0.247707	47,384,257	275,402,298
Nov 04, 2020	0.232877	0.243533	0.222124	0.238598	68,372,676	260,432,362
Nov 03, 2020	0.246147	0.247571	0.226554	0.232871	61,006,685	254,181,180
Nov 02, 2020	0.257290	0.261677	0.244534	0.246147	59,993,282	268,672,106
Nov 01, 2020	0.249471	0.261816	0.243741	0.257291	58,993,441	280,835,698
Oct 31, 2020	0.254454	0.264313	0.247922	0.249471	65,674,043	272,299,731
Oct 30, 2020	0.256087	0.257702	0.238764	0.254453	99,778,074	277,738,497
Oct 29, 2020	0.277327	0.283436	0.253767	0.256087	82,069,856	279,521,585
Oct 28, 2020	0.287538	0.292052	0.267176	0.277327	93,228,863	302,704,643
Oct 27, 2020	0.291462	0.299135	0.283366	0.287536	81,941,358	313,848,803
Oct 26, 2020	0.303188	0.306984	0.285402	0.291460	81,997,964	318,131,744
Oct 25, 2020	0.307377	0.311868	0.298923	0.303188	68,278,477	330,932,284
Oct 24, 2020	0.308691	0.313541	0.303664	0.307377	67,012,147	335,504,571
Oct 23, 2020	0.315350	0.323209	0.301282	0.308691	80,162,817	336,938,910
Oct 22, 2020	0.301498	0.324686	0.301498	0.315317	80,446,555	344,172,014
Oct 21, 2020	0.286842	0.312472	0.285944	0.301554	60,706,484	329,149,067
Oct 20, 2020	0.302872	0.304676	0.282130	0.287303	74,330,601	313,594,550
Oct 19, 2020	0.314748	0.317438	0.301892	0.302858	108,467,486	320,578,239
Oct 18, 2020	0.314045	0.316285	0.309454	0.316258	103,439,389	334,762,082
Oct 17, 2020	0.299402	0.317842	0.298753	0.312509	77,610,984	330,794,051
Oct 16, 2020	0.314226	0.317328	0.296755	0.299194	119,502,553	316,699,899
Oct 15, 2020	0.327183	0.331886	0.306876	0.315197	103,784,753	333,638,897
Oct 14, 2020	0.344393	0.347948	0.319967	0.326955	171,646,779	346,085,079
Oct 13, 2020	0.344009	0.355720	0.331990	0.343328	172,399,878	363,415,851
Oct 12, 2020	0.331979	0.362413	0.328257	0.344425	206,423,893	364,577,656
Oct 11, 2020	0.324498	0.337918	0.316634	0.332201	150,596,743	351,638,017
Oct 10, 2020	0.329873	0.337668	0.320533	0.324523	149,128,190	343,510,648
Oct 09, 2020	0.307861	0.332334	0.300698	0.330713	152,635,150	350,063,187
Oct 08, 2020	0.307388	0.313922	0.290182	0.307375	147,516,868	325,359,296
Oct 07, 2020	0.285309	0.309601	0.277617	0.305522	153,773,046	323,397,723
Oct 06, 2020	0.317811	0.321394	0.283686	0.287602	142,004,290	304,429,257
Oct 05, 2020	0.313274	0.322320	0.307803	0.317872	122,455,641	336,470,760
Oct 04, 2020	0.314321	0.319853	0.306242	0.313273	131,929,747	331,602,591
Oct 03, 2020	0.317089	0.329907	0.312816	0.313876	147,675,549	332,241,157
Oct 02, 2020	0.333978	0.339648	0.294100	0.317115	208,599,779	335,669,775
Oct 01, 2020	0.346579	0.369100	0.328394	0.334291	156,750,918	353,850,678
Sep 30, 2020	0.336857	0.345711	0.320749	0.345711	106,426,941	365,938,885
Sep 29, 2020	0.327547	0.342676	0.321550	0.336226	104,029,049	355,898,170
Sep 28, 2020	0.314154	0.347605	0.313454	0.328337	67,843,978	347,547,635
Sep 27, 2020	0.325705	0.326618	0.304937	0.313840	47,989,116	332,202,770
Sep 26, 2020	0.317395	0.340813	0.315363	0.326303	60,650,635	345,395,249
Sep 25, 2020	0.294068	0.327051	0.289936	0.317490	69,380,549	336,066,351
Sep 24, 2020	0.270614	0.297753	0.198412	0.294438	63,506,796	311,666,016
Sep 23, 2020	0.307676	0.309922	0.264417	0.267851	131,999,425	283,522,595
Sep 22, 2020	0.288717	0.313098	0.277302	0.306797	73,652,521	324,747,740
Sep 21, 2020	0.327198	0.330192	0.280437	0.289070	120,549,272	305,982,982
Sep 20, 2020	0.343153	0.358076	0.314633	0.327810	119,120,575	346,990,541
Sep 19, 2020	0.337285	0.345371	0.326355	0.342202	95,511,990	362,223,839
Sep 18, 2020	0.357322	0.363121	0.329882	0.336943	134,404,170	356,657,297
Sep 17, 2020	0.360794	0.375231	0.346888	0.357322	133,380,024	378,229,329
Sep 16, 2020	0.354142	0.362463	0.338816	0.360794	131,124,197	381,904,146
Sep 15, 2020	0.382977	0.387775	0.352758	0.353810	137,166,676	374,511,096
