date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.193590	0.244950	0.190906	0.237731	39,813,924	41,397,604
Dec 15, 2020	0.206974	0.209208	0.192231	0.193708	20,453,882	33,731,538
Dec 14, 2020	0.204550	0.208527	0.195966	0.206972	20,315,975	36,041,327
Dec 13, 2020	0.202168	0.218770	0.196577	0.204555	24,522,815	35,620,482
Dec 12, 2020	0.176355	0.205415	0.174430	0.202099	27,593,435	35,192,860
Dec 11, 2020	0.207788	0.207788	0.177552	0.177556	24,956,673	30,918,941
Dec 10, 2020	0.222483	0.222740	0.203614	0.207880	19,450,091	36,199,490
Dec 09, 2020	0.208045	0.235154	0.190908	0.222544	34,677,915	38,753,063
Dec 08, 2020	0.239633	0.242973	0.206017	0.208067	25,594,803	36,232,130
Dec 07, 2020	0.253702	0.254414	0.237435	0.239843	17,808,715	41,765,323
Dec 06, 2020	0.261663	0.263872	0.241773	0.253656	21,517,712	44,170,775
Dec 05, 2020	0.234217	0.265224	0.231030	0.261833	22,771,898	45,594,733
Dec 04, 2020	0.281619	0.292289	0.231505	0.234742	38,106,368	40,877,063
Dec 03, 2020	0.261744	0.304052	0.252547	0.281130	53,796,741	48,955,006
Dec 02, 2020	0.227945	0.273188	0.224975	0.261665	36,987,487	45,565,484
Dec 01, 2020	0.229762	0.240081	0.213368	0.227636	25,650,589	39,639,682
Nov 30, 2020	0.222332	0.247507	0.222332	0.229757	33,276,467	40,009,045
Nov 29, 2020	0.224090	0.226862	0.205004	0.222399	21,016,188	38,727,784
Nov 28, 2020	0.219234	0.235158	0.195050	0.223655	21,694,702	38,946,408
Nov 27, 2020	0.212156	0.245330	0.207371	0.219051	18,813,262	38,144,684
Nov 26, 2020	0.245350	0.247271	0.187262	0.211762	45,904,950	36,875,563
Nov 25, 2020	0.268434	0.275659	0.225420	0.245494	39,363,975	42,749,410
Nov 24, 2020	0.192116	0.283346	0.183274	0.268831	80,848,284	46,813,308
Nov 23, 2020	0.195828	0.222200	0.183010	0.192059	46,004,120	33,444,398
Nov 22, 2020	0.156533	0.207289	0.152993	0.195886	41,313,950	34,110,806
Nov 21, 2020	0.142479	0.164724	0.138395	0.156529	19,878,711	27,257,321
Nov 20, 2020	0.139173	0.155012	0.138668	0.142481	19,951,786	24,811,156
Nov 19, 2020	0.148979	0.172276	0.133874	0.139174	43,973,697	24,235,291
Nov 18, 2020	0.123746	0.170531	0.099033	0.148933	74,746,243	25,934,664
Nov 17, 2020	0.126758	0.149138	0.115702	0.123737	43,742,188	21,547,163
Nov 16, 2020	0.139951	0.187570	0.124353	0.147450	63,746,595	25,676,380
Nov 15, 2020	0.093675	0.149174	0.090994	0.139943	38,311,726	24,369,125
Nov 14, 2020	0.085500	0.103916	0.082309	0.093674	21,569,815	16,312,000
Nov 13, 2020	0.065919	0.090820	0.064156	0.085500	11,023,755	14,888,638
Nov 12, 2020	0.056353	0.079106	0.055168	0.065918	15,082,365	11,478,774
Nov 11, 2020	0.052656	0.069694	0.049811	0.056355	7,869,687	9,813,411
Nov 10, 2020	0.047916	0.055614	0.047177	0.052657	3,855,504	9,169,441
Nov 09, 2020	0.049474	0.057601	0.042154	0.047919	6,632,310	8,344,413
Nov 08, 2020	0.039204	0.055433	0.037076	0.049473	8,342,372	8,615,125
Nov 07, 2020	0.037715	0.046511	0.036213	0.039204	3,298,622	6,826,882
Nov 06, 2020	0.030571	0.038678	0.030265	0.037715	2,347,799	6,567,608
Nov 05, 2020	0.028409	0.033435	0.028260	0.030571	1,908,929	5,323,597
Nov 04, 2020	0.027644	0.030028	0.027020	0.028409	1,220,684	4,947,080
Nov 03, 2020	0.028123	0.028219	0.025701	0.027644	398,795	4,813,765
Nov 02, 2020	0.029059	0.030516	0.028117	0.028123	485,771	4,897,244
Nov 01, 2020	0.028463	0.029392	0.028367	0.029058	299,587	0
Oct 31, 2020	0.029400	0.029670	0.028133	0.028463	338,640	0
Oct 30, 2020	0.030956	0.030978	0.027379	0.029400	1,002,286	0
Oct 29, 2020	0.028790	0.034441	0.027093	0.030966	2,462,708	0
Oct 28, 2020	0.031304	0.031314	0.028216	0.028794	469,336	0
Oct 27, 2020	0.032389	0.033664	0.030699	0.031296	748,955	0
Oct 26, 2020	0.034472	0.038896	0.030974	0.032388	2,705,438	0
Oct 25, 2020	0.032031	0.034691	0.031824	0.034468	1,024,768	0
Oct 24, 2020	0.032016	0.035471	0.031446	0.032034	1,053,146	0
Oct 23, 2020	0.031581	0.034137	0.030610	0.032014	936,226	0
Oct 22, 2020	0.031321	0.034960	0.031120	0.031582	2,349,800	0
Oct 21, 2020	0.031130	0.034701	0.029225	0.031321	2,583,659	0
Oct 20, 2020	0.032688	0.032872	0.029101	0.031130	1,466,175	0
Oct 19, 2020	0.037538	0.037630	0.032029	0.032688	1,795,972	0
Oct 18, 2020	0.039981	0.039981	0.036610	0.037538	2,717,737	0
Oct 17, 2020	0.033782	0.045658	0.033673	0.039981	8,804,201	0
Oct 16, 2020	0.037769	0.038571	0.033369	0.033782	1,889,906	0
Oct 15, 2020	0.043617	0.043617	0.037759	0.037769	1,267,945	0
Oct 14, 2020	0.043258	0.045252	0.041750	0.043642	1,757,240	0
Oct 13, 2020	0.042932	0.045668	0.041994	0.043382	161,693	0
Oct 12, 2020	0.043337	0.049382	0.042684	0.042735	0	0
Oct 11, 2020	0.051755	0.051755	0.042708	0.043337	0	0
Oct 10, 2020	0.106884	0.106884	0.050562	0.051755	0	0
