date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.106890	0.113869	0.099353	0.109174	41,483.66	8,054,911
Dec 15, 2020	0.104693	0.109269	0.104037	0.106907	20,816.49	7,887,617
Dec 14, 2020	0.106668	0.113593	0.103358	0.104696	21,304.55	7,724,505
Dec 13, 2020	0.091528	0.113195	0.087663	0.106660	21,994.02	7,869,444
Dec 12, 2020	0.087298	0.093229	0.082937	0.091538	19,198.88	6,753,728
Dec 11, 2020	0.098367	0.098825	0.078084	0.087295	6,187.42	6,440,644
Dec 10, 2020	0.086748	0.100667	0.085253	0.098361	21,742.00	7,257,094
Dec 09, 2020	0.097170	0.099664	0.086707	0.086747	28,541.73	6,400,247
Dec 08, 2020	0.100974	0.104398	0.096494	0.097183	9,871.00	7,170,245
Dec 07, 2020	0.103773	0.106754	0.092647	0.100986	7,903.78	7,450,805
Dec 06, 2020	0.104516	0.109440	0.098371	0.103767	40,216.98	7,655,954
Dec 05, 2020	0.104137	0.106758	0.099434	0.104477	65,932.08	7,708,357
Dec 04, 2020	0.109181	0.112425	0.102913	0.104433	90,569.78	7,705,146
Dec 03, 2020	0.101744	0.114609	0.101744	0.109180	6,932.50	8,055,356
Dec 02, 2020	0.103541	0.113184	0.100883	0.101764	71,125.18	7,508,187
Dec 01, 2020	0.113276	0.116141	0.101810	0.103541	22,657.36	7,639,298
Nov 30, 2020	0.106074	0.114656	0.104655	0.113514	141,280	8,375,130
Nov 29, 2020	0.108460	0.110729	0.105464	0.106076	14,478.53	7,826,322
Nov 28, 2020	0.105137	0.109077	0.100384	0.108465	48,789.71	8,002,566
Nov 27, 2020	0.106111	0.110079	0.099727	0.105139	138,423	7,757,186
Nov 26, 2020	0.114091	0.126929	0.095620	0.106542	1,157.59	7,860,744
Nov 25, 2020	0.124764	0.133913	0.107980	0.115513	127,826	8,522,605
Nov 24, 2020	0.119177	0.133071	0.107753	0.124634	134,215	9,195,589
Nov 23, 2020	0.113132	0.131818	0.095557	0.119388	95,928.49	8,808,532
Nov 22, 2020	0.122019	0.122747	0.112715	0.113121	53,060.56	8,346,114
Nov 21, 2020	0.121581	0.125536	0.112423	0.122001	91,524.39	9,001,313
Nov 20, 2020	0.115186	0.124347	0.112795	0.121586	129,068	8,970,638
Nov 19, 2020	0.114003	0.120749	0.111843	0.115188	145,693	8,498,627
Nov 18, 2020	0.119975	0.123119	0.112691	0.113993	106,111	8,410,478
Nov 17, 2020	0.112985	0.122682	0.112007	0.119971	99,919.16	8,851,494
Nov 16, 2020	0.109594	0.119710	0.108077	0.116964	95,834.84	8,629,689
Nov 15, 2020	0.114915	0.116192	0.107361	0.109590	69,770.35	8,085,626
Nov 14, 2020	0.114864	0.117057	0.106208	0.114910	96,000.52	8,478,084
Nov 13, 2020	0.111935	0.118131	0.107659	0.114865	117,081	8,474,803
Nov 12, 2020	0.119592	0.121952	0.106515	0.111931	101,368	8,258,310
Nov 11, 2020	0.120910	0.124808	0.113993	0.119605	94,721.06	8,824,486
Nov 10, 2020	0.121158	0.124442	0.102833	0.120917	117,089	8,921,296
Nov 09, 2020	0.123418	0.126318	0.112972	0.121164	106,376	8,939,567
Nov 08, 2020	0.120238	0.127613	0.117243	0.123413	98,020.16	9,105,475
Nov 07, 2020	0.129485	0.130704	0.116901	0.120237	116,260	8,871,132
Nov 06, 2020	0.126396	0.132571	0.123947	0.129485	96,603.82	9,553,449
Nov 05, 2020	0.116317	0.128157	0.109895	0.126242	118,909	9,314,205
Nov 04, 2020	0.117754	0.120521	0.109805	0.120381	97,630.43	8,881,778
Nov 03, 2020	0.118987	0.121552	0.109853	0.117754	200,886	8,687,927
Nov 02, 2020	0.116439	0.119250	0.109810	0.119040	4,584.68	8,782,863
Nov 01, 2020	0.117743	0.121647	0.109732	0.116439	24,459.98	8,590,921
Oct 31, 2020	0.114208	0.121724	0.109714	0.117743	104,064	8,687,157
Oct 30, 2020	0.113746	0.118984	0.109808	0.114208	101,984	8,426,297
