date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.065931	0.066002	0.063514	0.064559	231,044	7,454,753
Dec 15, 2020	0.066296	0.066920	0.065700	0.065917	106,018	7,611,502
Dec 14, 2020	0.067566	0.067976	0.065564	0.066301	98,870.97	7,655,860
Dec 13, 2020	0.066639	0.071669	0.065486	0.067565	159,878	7,801,821
Dec 12, 2020	0.064570	0.066996	0.064174	0.066355	81,876.61	7,662,064
Dec 11, 2020	0.065064	0.067820	0.063104	0.064612	212,295	7,460,835
Dec 10, 2020	0.068670	0.068856	0.065067	0.065074	106,401	7,514,148
Dec 09, 2020	0.068288	0.073306	0.064960	0.069318	260,608	8,004,200
Dec 08, 2020	0.074439	0.074917	0.068180	0.068230	265,306	7,878,575
Dec 07, 2020	0.070677	0.075261	0.070022	0.074420	310,128	8,593,430
Dec 06, 2020	0.072816	0.074672	0.069971	0.070684	204,666	8,161,947
Dec 05, 2020	0.068751	0.074909	0.067988	0.072814	428,338	8,407,980
Dec 04, 2020	0.073606	0.075997	0.068291	0.068751	608,685	7,938,781
Dec 03, 2020	0.080693	0.081778	0.071735	0.073480	1,982,781	8,484,836
Dec 02, 2020	0.074125	0.116391	0.071035	0.080638	11,900,392	9,311,396
Dec 01, 2020	0.066156	0.079660	0.061316	0.074041	2,088,588	8,549,577
Nov 30, 2020	0.070594	0.071044	0.065697	0.066113	195,964	7,634,126
Nov 29, 2020	0.066296	0.070993	0.066100	0.070468	108,289	8,137,033
Nov 28, 2020	0.070678	0.075388	0.065759	0.066293	134,659	7,654,980
Nov 27, 2020	0.069459	0.074448	0.067254	0.070651	198,809	8,158,170
Nov 26, 2020	0.069166	0.071204	0.062060	0.069411	472,214	8,014,945
Nov 25, 2020	0.069383	0.075517	0.066696	0.069160	547,657	7,986,004
Nov 24, 2020	0.067590	0.070157	0.063356	0.069383	452,734	8,011,812
Nov 23, 2020	0.062802	0.068897	0.061036	0.067589	370,689	7,804,575
Nov 22, 2020	0.065715	0.072822	0.061726	0.062802	797,070	7,251,855
Nov 21, 2020	0.065962	0.070680	0.063810	0.065715	315,926	7,588,217
Nov 20, 2020	0.064467	0.069161	0.063178	0.065962	164,496	7,616,767
Nov 19, 2020	0.067960	0.069607	0.060210	0.064467	173,455	7,444,070
Nov 18, 2020	0.069960	0.070081	0.064914	0.067960	237,679	7,847,464
Nov 17, 2020	0.075417	0.079305	0.067107	0.069959	148,366	8,078,255
Nov 16, 2020	0.083614	0.084567	0.074783	0.075632	76,307.83	8,733,331
Nov 15, 2020	0.082513	0.087464	0.080746	0.083615	33,674.74	9,655,200
Nov 14, 2020	0.081554	0.084627	0.078043	0.082520	44,219.56	9,528,652
Nov 13, 2020	0.079532	0.085789	0.078081	0.081547	48,899.20	9,416,373
Nov 12, 2020	0.081440	0.081661	0.072894	0.079521	79,380.82	9,182,457
Nov 11, 2020	0.081113	0.084426	0.078999	0.081439	71,526.34	9,403,938
Nov 10, 2020	0.082686	0.083407	0.078310	0.081113	77,555.56	9,366,248
Nov 09, 2020	0.080984	0.084310	0.080559	0.082689	64,186.78	9,548,182
Nov 08, 2020	0.067344	0.081807	0.066938	0.080987	69,007.48	9,351,734
Nov 07, 2020	0.071752	0.076885	0.065481	0.067415	157.49	7,784,497
Nov 06, 2020	0.070039	0.072486	0.064184	0.071750	152,799	8,285,108
Nov 05, 2020	0.077763	0.081330	0.062586	0.070039	127,412	8,087,516
Nov 04, 2020	0.070934	0.080105	0.070206	0.077761	60,396.69	8,979,135
Nov 03, 2020	0.081824	0.082225	0.067218	0.070931	103,256	7,996,023
Nov 02, 2020	0.081732	0.083826	0.080213	0.081843	42,723.17	9,226,124
Nov 01, 2020	0.087273	0.088241	0.080840	0.081706	48,794.96	9,210,704
Oct 31, 2020	0.081615	0.088297	0.077530	0.087270	35,848.09	9,837,850
Oct 30, 2020	0.075806	0.081918	0.071588	0.081631	90,575.11	9,202,164
Oct 29, 2020	0.075043	0.077339	0.065732	0.075801	105,604	8,545,009
Oct 28, 2020	0.080582	0.081538	0.066397	0.075040	180,151	8,459,209
Oct 27, 2020	0.085323	0.086445	0.080563	0.080579	212,845	9,083,604
Oct 26, 2020	0.087208	0.100195	0.085300	0.085323	148,673	9,618,357
Oct 25, 2020	0.087731	0.100020	0.085977	0.100020	128,364	11,275,225
Oct 24, 2020	0.085950	0.093509	0.085693	0.087731	132,424	9,889,893
Oct 23, 2020	0.095291	0.116391	0.085950	0.085950	95,889.59	9,689,098
Oct 22, 2020	0.096576	0.097161	0.089572	0.095444	300,659	10,759,332
Oct 21, 2020	0.100520	0.104810	0.095372	0.096526	329,052	10,881,341
Oct 20, 2020	0.128212	0.128237	0.096956	0.100465	315,628	11,325,320
Oct 19, 2020	0.108950	0.132370	0.108923	0.127270	736,579	14,347,042
Oct 18, 2020	0.109563	0.115037	0.097883	0.108868	215,571	12,272,579
Oct 17, 2020	0.102326	0.109893	0.096641	0.109893	125,903	12,388,129
Oct 16, 2020	0.113687	0.114390	0.095198	0.102340	336,706	11,536,760
Oct 15, 2020	0.104303	0.114350	0.096390	0.113721	301,728	12,819,691
Oct 14, 2020	0.104396	0.108489	0.102431	0.103929	296,503	11,715,844
Oct 13, 2020	0.098946	0.106913	0.098214	0.104073	256,884	11,732,083
Oct 12, 2020	0.102870	0.103765	0.097057	0.099455	201,673	11,211,504
Oct 11, 2020	0.100763	0.105764	0.100760	0.102857	358,254	11,595,015
Oct 10, 2020	0.104655	0.107640	0.099564	0.100918	772,283	11,376,363
Oct 09, 2020	0.098688	0.104932	0.093364	0.104639	480,433	11,795,840
Oct 08, 2020	0.103392	0.105933	0.095036	0.098688	252,936	11,125,069
Oct 07, 2020	0.093776	0.104360	0.091476	0.104037	257,762	11,727,966
Oct 06, 2020	0.106829	0.107702	0.091474	0.094031	459,130	10,600,069
Oct 05, 2020	0.105602	0.111939	0.105575	0.107727	482,447	12,144,030
Oct 04, 2020	0.111932	0.113945	0.106033	0.106033	531,148	11,953,043
Oct 03, 2020	0.122613	0.125438	0.110516	0.111343	1,816,353	12,551,622
Oct 02, 2020	0.115246	0.127574	0.105331	0.123041	31,568,790	13,870,332
Oct 01, 2020	0.114506	0.123804	0.110514	0.115661	1,672,532	13,038,360
Sep 30, 2020	0.113578	0.119760	0.111109	0.114508	1,050,463	12,908,412
Sep 29, 2020	0.109131	0.114638	0.100755	0.113232	420,861	12,764,542
Sep 28, 2020	0.106129	0.113312	0.103717	0.109098	370,074	12,298,551
Sep 27, 2020	0.103314	0.107786	0.101213	0.106329	807,627	11,986,439
Sep 26, 2020	0.099156	0.103297	0.097852	0.102963	348,209	11,606,910
Sep 25, 2020	0.100746	0.101987	0.097627	0.099571	321,319	11,224,516
Sep 24, 2020	0.100536	0.103248	0.095650	0.100683	526,877	11,349,957
Sep 23, 2020	0.096227	0.102871	0.094841	0.099670	674,320	11,235,710
Sep 22, 2020	0.102693	0.104067	0.090492	0.095974	270,051	10,819,078
Sep 21, 2020	0.106959	0.109620	0.099652	0.102022	627,394	11,500,921
Sep 20, 2020	0.105715	0.110087	0.101024	0.106959	483,823	12,057,366
Sep 19, 2020	0.101182	0.111755	0.100694	0.108259	480,897	12,203,962
Sep 18, 2020	0.097950	0.114083	0.095997	0.101181	1,668,231	11,406,064
Sep 17, 2020	0.109447	0.109447	0.095255	0.097950	1,294,646	11,041,860
Sep 16, 2020	0.095227	0.120477	0.091225	0.109447	1,736,332	12,337,921
Sep 15, 2020	0.103118	0.105603	0.094512	0.095242	472,826	10,736,601
Sep 14, 2020	0.096598	0.103781	0.095621	0.103118	480,154	11,624,407
