date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.224224	0.244544	0.217682	0.243882	0	731,645
Dec 15, 2020	0.190888	0.224341	0.190861	0.224231	0	672,694
Dec 14, 2020	0.192463	0.194363	0.189506	0.190883	0	572,650
Dec 13, 2020	0.188942	0.194980	0.185667	0.192460	0	577,379
Dec 12, 2020	0.188912	0.193160	0.184008	0.188961	0	566,883
Dec 11, 2020	0.206819	0.208348	0.188314	0.188905	0	566,714
Dec 10, 2020	0.207228	0.210668	0.202511	0.206814	0	620,442
Dec 09, 2020	0.210699	0.211020	0.198175	0.207229	0	621,686
Dec 08, 2020	0.208075	0.222464	0.205852	0.210683	0	632,049
Dec 07, 2020	0.206555	0.211467	0.202250	0.208080	0	624,241
Dec 06, 2020	0.204100	0.210062	0.190290	0.206522	0	619,567
Dec 05, 2020	0.203438	0.206248	0.199137	0.204085	0	612,256
Dec 04, 2020	0.211141	0.213885	0.201094	0.203455	0	610,365
Dec 03, 2020	0.219613	0.219972	0.206111	0.211149	0	633,446
Dec 02, 2020	0.221622	0.223535	0.215807	0.219615	0	658,844
Dec 01, 2020	0.241200	0.243369	0.219189	0.221653	0	664,959
Nov 30, 2020	0.237575	0.248573	0.236413	0.241182	0	723,545
Nov 29, 2020	0.234385	0.239843	0.223828	0.237582	0	712,746
Nov 28, 2020	0.217795	0.235995	0.215384	0.234397	0	703,192
Nov 27, 2020	0.216469	0.227242	0.213795	0.217781	0	653,344
Nov 26, 2020	0.256243	0.258238	0.209103	0.216403	0	649,209
Nov 25, 2020	0.296692	0.300010	0.255843	0.256267	0	768,799
Nov 24, 2020	0.295807	0.307662	0.291486	0.296677	0	890,031
Nov 23, 2020	0.279587	0.297047	0.271434	0.295646	0	886,939
Nov 22, 2020	0.265600	0.284334	0.256421	0.279594	0	838,782
Nov 21, 2020	0.242687	0.265717	0.239313	0.265598	0	796,793
Nov 20, 2020	0.235955	0.243905	0.233802	0.242691	0	728,072
Nov 19, 2020	0.237381	0.238538	0.232259	0.235957	0	707,871
Nov 18, 2020	0.202965	0.247126	0.202963	0.237372	0	712,115
Nov 17, 2020	0.191230	0.204400	0.188331	0.202962	0	608,887
Nov 16, 2020	0.188035	0.191566	0.185981	0.189438	0	568,315
Nov 15, 2020	0.188043	0.191273	0.185298	0.188035	0	564,106
Nov 14, 2020	0.192451	0.194278	0.187554	0.188040	0	564,120
Nov 13, 2020	0.209221	0.213199	0.190484	0.192451	0	577,354
Nov 12, 2020	0.217177	0.218647	0.208272	0.209220	0	627,660
Nov 11, 2020	0.216064	0.220624	0.214210	0.217177	0	651,532
Nov 10, 2020	0.235550	0.236083	0.213191	0.216069	0	648,208
Nov 09, 2020	0.245969	0.248908	0.234301	0.235554	0	706,663
Nov 08, 2020	0.232613	0.248242	0.232613	0.245969	0	737,907
Nov 07, 2020	0.287031	0.300670	0.150821	0.232613	0	697,838
Nov 06, 2020	0.306654	0.309765	0.284058	0.287031	0	861,094
Nov 05, 2020	0.279036	0.307331	0.262422	0.306656	0	919,968
Nov 04, 2020	0.254922	0.294271	0.246477	0.279034	13,545.68	837,101
Nov 03, 2020	0.261992	0.270150	0.240326	0.254919	14,751.93	764,757
Nov 02, 2020	0.245081	0.273194	0.236639	0.261988	14,113.77	785,963
Nov 01, 2020	0.225260	0.248550	0.220952	0.245078	91,675.20	735,234
Oct 31, 2020	0.244753	0.246237	0.216590	0.225262	62,712.48	675,785
Oct 30, 2020	0.239917	0.249521	0.227981	0.244752	35,948.20	734,255
Oct 29, 2020	0.244851	0.261821	0.229465	0.239918	87,102.38	719,755
Oct 28, 2020	0.232196	0.247745	0.219742	0.244855	90,216.46	734,564
Oct 27, 2020	0.220073	0.236385	0.209203	0.232199	93,480.27	696,596
Oct 26, 2020	0.295796	0.305467	0.220011	0.220069	66,767.69	660,206
Oct 25, 2020	0.297232	0.310333	0.284324	0.295798	80,373.54	887,394
Oct 24, 2020	0.308013	0.316365	0.283007	0.297233	94,209.27	891,699
Oct 23, 2020	0.326792	0.329320	0.299420	0.308018	109,454	924,055
Oct 22, 2020	0.296086	0.331571	0.294579	0.327118	75,858.73	981,354
Oct 21, 2020	0.303573	0.305782	0.276744	0.295293	84,862.19	885,880
Oct 20, 2020	0.343872	0.344621	0.297731	0.304788	72,910.80	914,365
Oct 19, 2020	0.370620	0.374596	0.338757	0.342046	80,726.79	1,026,139
Oct 18, 2020	0.349762	0.377148	0.332353	0.367131	53,297.91	1,101,394
Oct 17, 2020	0.364082	0.364082	0.320849	0.349111	60,063.51	1,047,333
Oct 16, 2020	0.415656	0.422530	0.351080	0.359768	53,149.89	1,079,304
Oct 15, 2020	0.430966	0.435593	0.397686	0.418261	62,565.09	1,254,784
Oct 14, 2020	0.410897	0.430627	0.388127	0.428762	65,866.74	1,286,286
Oct 13, 2020	0.463053	0.463053	0.383221	0.410897	64,543.47	1,232,692
Oct 12, 2020	0.460391	0.485305	0.455383	0.463053	123,429	1,389,160
Oct 11, 2020	0.517006	0.525143	0.460106	0.461015	125,295	1,383,046
Oct 10, 2020	0.605049	0.621602	0.507594	0.517006	217,260	1,551,019
Oct 09, 2020	0.618073	0.628535	0.588742	0.604415	145,270	1,813,244
Oct 08, 2020	0.585820	0.624516	0.580367	0.615797	92,357.23	1,847,391
Oct 07, 2020	0.604396	0.617943	0.587145	0.587214	103,783	1,761,642
Oct 06, 2020	0.764339	0.765215	0.601103	0.604352	177,210	1,813,055
Oct 05, 2020	0.734774	0.766098	0.722753	0.760790	109,713	2,282,370
Oct 04, 2020	0.767627	0.780433	0.719229	0.733469	151,520	2,200,407
Oct 03, 2020	0.752628	0.802542	0.736361	0.763989	147,920	2,291,967
Oct 02, 2020	0.853632	0.862576	0.736011	0.752575	248,964	2,257,724
Oct 01, 2020	0.819609	0.927888	0.804186	0.854233	430,451	2,562,700
Sep 30, 2020	0.753566	0.840074	0.748468	0.815322	194,369	2,445,966
Sep 29, 2020	0.851194	0.852064	0.744969	0.748880	96,116.33	2,246,639
Sep 28, 2020	0.819037	0.876149	0.819037	0.851194	323,629	2,553,581
Sep 27, 2020	0.810759	0.824510	0.765941	0.813946	209,323	2,441,837
Sep 26, 2020	0.727665	0.811401	0.727065	0.810759	313,513	2,432,277
Sep 25, 2020	0.611311	0.729910	0.609031	0.727644	409,481	2,182,933
Sep 24, 2020	0.566686	0.615774	0.565136	0.611311	99,522.29	1,833,934
Sep 23, 2020	0.608395	0.608951	0.564566	0.566686	133,630	1,700,058
Sep 22, 2020	0.599811	0.617326	0.570721	0.611832	62,265.36	1,835,496
Sep 21, 2020	0.623369	0.665977	0.594472	0.600656	164,055	1,801,967
Sep 20, 2020	0.702552	0.702552	0.616869	0.623369	84,584.69	1,870,108
Sep 19, 2020	0.741624	0.786546	0.698058	0.701847	105,191	2,105,540
Sep 18, 2020	0.803780	0.944995	0.662468	0.741624	231,831	2,224,873
Sep 17, 2020	0.555965	0.808841	0.555293	0.804942	397,599	2,414,827
Sep 16, 2020	0.636727	0.636727	0.545280	0.556182	145,969	1,668,545
Sep 15, 2020	0.652833	0.671616	0.634629	0.637194	81,806.90	1,911,583
Sep 14, 2020	0.716772	0.716893	0.617766	0.652833	119,953	1,958,499
Sep 13, 2020	0.747251	0.783037	0.710248	0.715833	153,521	2,147,498
Sep 12, 2020	0.606711	0.747279	0.602068	0.747200	202,208	2,241,601
Sep 11, 2020	0.600066	0.619685	0.587051	0.606797	138,299	1,820,390
Sep 10, 2020	0.423802	0.607785	0.422914	0.599753	241,727	1,799,260
Sep 09, 2020	0.491945	0.492555	0.420167	0.423802	107,464	1,271,407
Sep 08, 2020	0.691492	0.695076	0.487279	0.491732	128,065	1,475,196
Sep 07, 2020	0.665777	0.705281	0.665777	0.691764	178,681	2,075,291
Sep 06, 2020	0.612577	0.668187	0.572342	0.665777	182,970	0
Sep 05, 2020	0.867189	0.947101	0.599128	0.613274	391,769	0
Sep 04, 2020	0.653544	0.976579	0.637625	0.866838	846,403	0
