date	open	high	low	close	volume	market_cap
Dec 16, 2020	5.30	5.50	5.17	5.48	269,777,410	1,135,803,815
Dec 15, 2020	5.22	5.36	5.07	5.30	162,574,656	1,098,335,447
Dec 14, 2020	5.19	5.31	5.04	5.22	139,005,677	1,082,616,001
Dec 13, 2020	5.07	5.36	5.06	5.19	172,151,624	1,075,253,119
Dec 12, 2020	4.71	5.11	4.71	5.07	140,392,205	1,050,082,506
Dec 11, 2020	4.66	4.85	4.49	4.71	190,251,670	975,457,460
Dec 10, 2020	4.81	4.81	4.65	4.66	145,623,121	964,765,769
Dec 09, 2020	4.73	4.88	4.57	4.81	188,249,912	994,697,128
Dec 08, 2020	5.10	5.14	4.67	4.73	166,125,608	979,650,650
Dec 07, 2020	5.21	5.22	5.09	5.10	129,741,017	1,054,316,003
Dec 06, 2020	5.26	5.28	5.09	5.21	145,787,932	1,077,256,276
Dec 05, 2020	5.07	5.29	4.99	5.26	166,084,668	1,087,272,868
Dec 04, 2020	5.50	5.54	5.01	5.07	195,489,824	1,048,783,777
Dec 03, 2020	5.50	5.65	5.37	5.50	194,837,292	1,137,651,363
Dec 02, 2020	5.27	5.54	5.22	5.50	245,897,233	1,136,499,328
Dec 01, 2020	5.56	5.70	5.18	5.27	258,458,947	1,088,625,276
Nov 30, 2020	5.42	5.65	5.34	5.55	237,396,324	1,147,332,677
Nov 29, 2020	5.44	5.54	5.33	5.43	194,782,628	1,120,302,815
Nov 28, 2020	5.36	5.54	5.24	5.43	184,123,146	1,121,997,782
Nov 27, 2020	5.33	5.44	5.12	5.36	236,297,555	1,106,291,774
Nov 26, 2020	5.92	6.26	5.05	5.33	475,650,477	1,099,633,188
Nov 25, 2020	5.95	6.46	5.79	5.92	367,760,757	1,222,056,151
Nov 24, 2020	5.80	6.40	5.68	5.95	455,479,631	1,227,264,630
Nov 23, 2020	5.46	5.90	5.44	5.80	296,001,865	1,196,131,925
Nov 22, 2020	5.89	5.95	5.29	5.46	314,004,494	1,126,253,623
Nov 21, 2020	5.27	5.92	5.26	5.89	334,465,901	1,214,199,996
Nov 20, 2020	5.09	5.45	5.08	5.27	223,688,662	1,085,945,258
