date	open	high	low	close	volume	market_cap
Dec 16, 2020	12.38	12.99	10.70	11.62	3,807,816	0
Dec 15, 2020	12.09	12.45	10.82	12.39	3,324,609	0
Dec 14, 2020	9.49	12.10	9.30	12.10	3,517,876	0
Dec 13, 2020	8.24	9.65	8.18	9.49	2,691,974	0
Dec 12, 2020	8.44	9.55	8.19	8.25	2,486,049	0
Dec 11, 2020	7.95	8.57	6.77	8.44	2,290,908	0
Dec 10, 2020	7.32	8.26	7.23	7.95	1,871,755	0
Dec 09, 2020	6.55	7.45	5.81	7.32	1,723,343	0
Dec 08, 2020	6.31	7.11	5.92	6.55	2,627,670	0
Dec 07, 2020	9.20	9.30	6.14	6.32	3,261,255	0
Dec 06, 2020	3.64	9.26	3.53	9.20	9,940,259	0
Dec 05, 2020	4.48	4.48	2.77	3.64	2,418,562	0
Dec 04, 2020	6.34	8.27	4.42	4.49	3,485,132	0
