date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001133	0.001242	0.001067	0.001149	25,251.28	1,312,096
Dec 15, 2020	0.001125	0.001188	0.001095	0.001133	4,698.98	1,294,389
Dec 14, 2020	0.001228	0.001228	0.001115	0.001125	3,056.89	1,284,660
Dec 13, 2020	0.001086	0.001262	0.001078	0.001227	5,009.91	1,402,122
Dec 12, 2020	0.001059	0.001154	0.001059	0.001087	5,943.18	1,239,610
Dec 11, 2020	0.001097	0.001132	0.000999	0.001059	9,154.24	1,205,615
Dec 10, 2020	0.001436	0.001512	0.001070	0.001097	10,457.60	1,249,709
Dec 09, 2020	0.001327	0.001465	0.000962	0.001436	43,722.40	1,634,933
Dec 08, 2020	0.001559	0.001588	0.000973	0.001327	41,925.72	1,503,632
Dec 07, 2020	0.001278	0.001620	0.001014	0.001559	67,912.85	1,767,055
Dec 06, 2020	0.001310	0.001431	0.000904	0.001277	60,539.99	1,447,664
Dec 05, 2020	0.000812	0.001611	0.000771	0.001310	59,762.82	1,484,006
Dec 04, 2020	0.000923	0.001208	0.000768	0.000812	50,484.04	920,196
Dec 03, 2020	0.000987	0.001378	0.000879	0.000923	60,117.31	1,045,711
Dec 02, 2020	0.001583	0.001588	0.000987	0.000987	56,486.71	1,117,660
Dec 01, 2020	0.001195	0.001588	0.000892	0.001584	86,768.42	1,794,151
Nov 30, 2020	0.001038	0.001486	0.000856	0.001194	86,869.63	1,352,216
Nov 29, 2020	0.001242	0.001568	0.000899	0.001038	59,929.91	1,175,420
Nov 28, 2020	0.001079	0.001286	0.000791	0.001242	54,877.76	1,406,325
Nov 27, 2020	0.001320	0.001460	0.000970	0.001079	46,504.62	1,221,756
Nov 26, 2020	0.001484	0.001656	0.000964	0.001319	41,919.75	1,493,782
Nov 25, 2020	0.001226	0.001621	0.000985	0.001484	54,487.77	1,680,588
Nov 24, 2020	0.001217	0.001740	0.000986	0.001226	64,369.48	1,388,577
Nov 23, 2020	0.001350	0.001746	0.000975	0.001590	98,135.44	1,795,798
Nov 22, 2020	0.001106	0.001590	0.000897	0.001350	41,441.87	1,525,134
Nov 21, 2020	0.001452	0.001503	0.001065	0.001106	54,285.94	1,249,597
Nov 20, 2020	0.000996	0.001468	0.000808	0.001452	74,382.75	1,640,120
Nov 19, 2020	0.001027	0.001396	0.000862	0.000996	40,842.25	1,125,202
Nov 18, 2020	0.000999	0.001379	0.000809	0.001026	35,349.52	1,159,381
Nov 17, 2020	0.001117	0.001367	0.000910	0.000999	52,009.41	1,128,695
Nov 16, 2020	0.001192	0.001216	0.000764	0.001091	61,256.65	1,231,400
Nov 15, 2020	0.000864	0.001349	0.000861	0.001192	32,743.56	1,344,981
Nov 14, 2020	0.000919	0.001145	0.000781	0.000864	15,499.69	975,357
Nov 13, 2020	0.000950	0.001174	0.000839	0.000919	22,966.54	1,037,073
Nov 12, 2020	0.000946	0.001100	0.000790	0.000950	19,161.12	1,072,285
Nov 11, 2020	0.000895	0.001018	0.000767	0.000946	21,355.64	1,067,731
Nov 10, 2020	0.000793	0.000980	0.000741	0.000895	22,579.40	1,009,767
Nov 09, 2020	0.000863	0.000939	0.000733	0.000793	19,039.66	895,115
Nov 08, 2020	0.000811	0.001023	0.000626	0.000863	21,704.20	973,686
Nov 07, 2020	0.000769	0.001006	0.000710	0.000811	19,044.70	915,228
Nov 06, 2020	0.000700	0.000948	0.000605	0.000769	23,264.27	867,258
Nov 05, 2020	0.000712	0.000988	0.000565	0.000700	24,269.92	790,112
