date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.564914	0.641481	0.551392	0.585280	2,566,683	12,791,994
Dec 15, 2020	0.566080	0.652812	0.505282	0.564895	3,154,562	12,003,512
Dec 14, 2020	0.569354	0.612894	0.430593	0.566098	3,746,123	11,932,812
Dec 13, 2020	0.588876	0.690850	0.437714	0.569344	10,870,941	15,143,169
Dec 12, 2020	0.411324	1.03	0.409823	0.588862	18,288,133	11,466,041
Dec 11, 2020	0.436349	0.484791	0.237961	0.411314	9,140,375	13,825,810
Dec 10, 2020	0.513222	0.537530	0.342340	0.436364	20,880,554	14,666,963
Dec 09, 2020	0.485461	0.713481	0.475388	0.513209	32,606,329	26,121,879
Dec 08, 2020	0.605736	0.809590	0.414525	0.485460	28,020,035	26,782,019
Dec 07, 2020	0.642355	0.892318	0.383948	0.605748	52,795,406	22,682,509
Dec 06, 2020	0.782125	1.23	0.312021	0.642341	105,155,736	46,824,014
Dec 05, 2020	1.20	2.38	0.675828	0.782136	52,640,936	10,961,261
Dec 04, 2020	0.667176	1.63	0.637572	1.20	11,386,311	0
Dec 03, 2020	0.524666	0.839346	0.522447	0.667177	3,188,364	0
Dec 02, 2020	0.923182	1.45	0.291002	0.524678	4,199,946	0
