date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000002	0.000002	0.000001	0.000002	0	155,446
Dec 15, 2020	0.000002	0.000002	0.000001	0.000002	0.038790	197,272
Dec 14, 2020	0.000001	0.000002	0.000001	0.000002	0.038106	195,511
Dec 13, 2020	0.000002	0.000002	0.000001	0.000001	0	138,852
Dec 12, 2020	0.000001	0.000002	0.000001	0.000002	69.46	191,024
Dec 11, 2020	0.000001	0.000001	0.000001	0.000001	0	128,322
Dec 10, 2020	0.000001	0.000001	0.000001	0.000001	0	130,767
Dec 09, 2020	0.000002	0.000002	0.000001	0.000001	0	133,547
Dec 08, 2020	0.000001	0.000002	0.000001	0.000002	0.052156	186,092
Dec 07, 2020	8.40e-7	0.000001	8.20e-7	0.000001	0	139,959
Dec 06, 2020	0.000001	0.000001	8.20e-7	8.40e-7	1.53	84,857.45
Dec 05, 2020	8.00e-7	0.000001	7.90e-7	0.000001	0	139,492
Dec 04, 2020	0.000001	0.000001	7.90e-7	8.00e-7	4.79	81,292.58
Dec 03, 2020	0.000001	0.000001	0.000001	0.000001	0	144,029
Dec 02, 2020	0.000001	0.000001	0.000001	0.000001	0	142,662
Dec 01, 2020	0.000001	0.000001	0.000001	0.000001	0	138,921
Nov 30, 2020	7.90e-7	0.000001	7.70e-7	0.000001	0	144,167
Nov 29, 2020	0.000002	0.000002	7.80e-7	7.90e-7	0.839431	80,499.99
Nov 28, 2020	7.20e-7	0.000002	6.90e-7	0.000002	0.096462	179,976
Nov 27, 2020	0.000001	0.000002	6.90e-7	7.20e-7	0.802330	73,460.13
Nov 26, 2020	0.000001	0.000001	0.000001	0.000001	0	123,062
Nov 25, 2020	0.000002	0.000002	0.000001	0.000001	0	136,861
Nov 24, 2020	0.000002	0.000002	0.000002	0.000002	28.11	193,908
Nov 23, 2020	0.000002	0.000002	0.000001	0.000002	20.09	186,418
Nov 22, 2020	0.000002	0.000002	0.000001	0.000002	0.036605	186,614
Nov 21, 2020	0.000001	0.000002	0.000001	0.000002	0.741857	189,361
Nov 20, 2020	0.000002	0.000002	0.000001	0.000001	0	136,525
Nov 19, 2020	0.000002	0.000002	0.000001	0.000002	0.177090	180,988
Nov 18, 2020	0.000002	0.000002	0.000001	0.000002	0.035447	180,834
Nov 17, 2020	0.000001	0.000002	0.000001	0.000002	0.246113	179,232
Nov 16, 2020	6.60e-7	0.000002	6.60e-7	0.000001	0	121,117
Nov 15, 2020	0.000001	0.000001	6.20e-7	6.60e-7	1.07	66,776.20
Nov 14, 2020	6.50e-7	0.000001	6.20e-7	0.000001	0	113,994
Nov 13, 2020	0.000001	0.000001	6.30e-7	6.50e-7	3.41	66,490.54
Nov 12, 2020	0.000001	0.000001	0.000001	0.000001	0	113,325
Nov 11, 2020	5.80e-7	0.000001	5.80e-7	0.000001	0	109,983
Nov 10, 2020	0.000001	0.000001	5.80e-7	5.80e-7	5.12	59,160.55
Nov 09, 2020	6.10e-7	0.000001	6.00e-7	0.000001	0	108,047
Nov 08, 2020	5.90e-7	0.000001	5.90e-7	6.10e-7	16.04	62,016.03
Nov 07, 2020	8.00e-7	8.20e-7	5.80e-7	5.90e-7	12.38	60,076.52
Nov 06, 2020	0.000002	0.000002	6.00e-7	8.00e-7	0.429640	81,625.31
Nov 05, 2020	9.80e-7	0.000002	9.80e-7	0.000002	5.26	158,260
Nov 04, 2020	5.40e-7	9.90e-7	5.20e-7	9.80e-7	0	99,461.31
Nov 03, 2020	5.40e-7	5.40e-7	5.20e-7	5.40e-7	6.39	54,667.64
Nov 02, 2020	5.60e-7	9.70e-7	5.40e-7	5.40e-7	9.77	54,663.98
Nov 01, 2020	8.10e-7	8.10e-7	5.50e-7	5.60e-7	4.47	56,463.27
