date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.529485	0.533332	0.526718	0.530953	52,258.44	0
Dec 15, 2020	0.527861	0.531511	0.525046	0.529501	23,774.79	0
Dec 14, 2020	0.529974	0.532133	0.526025	0.527849	30,309.48	0
Dec 13, 2020	0.535248	0.537305	0.522742	0.529990	21,290.53	0
Dec 12, 2020	0.558256	0.558443	0.530228	0.535267	35,466.37	0
Dec 11, 2020	0.568108	0.568145	0.550092	0.558251	34,227.67	0
Dec 10, 2020	0.580924	0.580979	0.559910	0.568080	33,688.83	0
Dec 09, 2020	0.592857	0.595062	0.579243	0.580942	30,354.27	0
Dec 08, 2020	0.602262	0.605247	0.576122	0.592872	32,393.87	0
Dec 07, 2020	0.633797	0.633830	0.596949	0.602237	32,516.96	0
Dec 06, 2020	0.670252	0.671704	0.616178	0.633787	7,886.92	0
Dec 05, 2020	0.669116	0.673350	0.667227	0.670253	8,810.36	0
Dec 04, 2020	0.676129	0.680089	0.666099	0.669120	8,565.86	0
Dec 03, 2020	0.674293	0.677731	0.670391	0.676128	6,668.06	0
Dec 02, 2020	0.674927	0.678307	0.671331	0.674282	9,630.67	0
Dec 01, 2020	0.678706	0.681012	0.671794	0.674904	70,990.72	0
Nov 30, 2020	0.670517	0.682650	0.668490	0.678709	499,977	0
Nov 29, 2020	0.672586	0.679745	0.662818	0.670521	516,658	0
Nov 28, 2020	0.673702	0.684644	0.662757	0.672577	722,664	0
Nov 27, 2020	0.683206	0.685700	0.671636	0.673696	711,674	0
Nov 26, 2020	0.680032	0.683731	0.670132	0.683155	781,772	0
Nov 25, 2020	0.689885	0.695806	0.675079	0.680043	833,696	0
Nov 24, 2020	0.687055	0.690253	0.672192	0.689878	703,529	0
Nov 23, 2020	0.680003	0.693567	0.674577	0.687046	876,040	0
Nov 22, 2020	0.703311	0.707323	0.673985	0.680003	955,550	0
Nov 21, 2020	0.703261	0.711356	0.699932	0.703311	824,593	0
Nov 20, 2020	0.692469	0.706507	0.688410	0.703261	1,013,317	0
Nov 19, 2020	0.692240	0.698288	0.678134	0.692469	984,171	0
