date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.006586	0.006651	0.006009	0.006334	16,656.92	0
Dec 15, 2020	0.006549	0.006694	0.006477	0.006586	13,302.23	0
Dec 14, 2020	0.006541	0.006565	0.006372	0.006549	13,211.04	0
Dec 13, 2020	0.006513	0.006631	0.006444	0.006541	13,095.22	0
Dec 12, 2020	0.006315	0.006579	0.006276	0.006514	12,631.05	0
Dec 11, 2020	0.006382	0.006476	0.006242	0.006315	14,111.69	0
Dec 10, 2020	0.006528	0.006576	0.006269	0.006382	12,777.09	0
Dec 09, 2020	0.006377	0.006581	0.006163	0.006528	14,118.94	0
Dec 08, 2020	0.006476	0.006562	0.006355	0.006377	12,842.59	0
Dec 07, 2020	0.006737	0.006793	0.006355	0.006475	14,061.48	0
Dec 06, 2020	0.006289	0.007058	0.006186	0.006737	14,389.34	0
Dec 05, 2020	0.006683	0.007798	0.006081	0.006289	17,460.32	0
Dec 04, 2020	0.006729	0.006774	0.006658	0.006683	14,632.86	0
Dec 03, 2020	0.006656	0.006795	0.006621	0.006729	13,229.55	0
Dec 02, 2020	0.006851	0.006876	0.006621	0.006656	13,454.52	0
Dec 01, 2020	0.006658	0.006867	0.006644	0.006851	15,400.56	0
Nov 30, 2020	0.006712	0.006906	0.006623	0.006658	14,818.91	0
Nov 29, 2020	0.006820	0.006920	0.006597	0.006712	15,385.52	0
Nov 28, 2020	0.006763	0.007021	0.006507	0.006820	14,982.84	0
Nov 27, 2020	0.006802	0.007447	0.006348	0.006763	15,112.72	0
Nov 26, 2020	0.007738	0.008291	0.006038	0.006802	24,727.90	0
Nov 25, 2020	0.008693	0.008886	0.007205	0.007738	26,185.26	0
Nov 24, 2020	0.006112	0.011168	0.006027	0.008693	51,332.52	0
Nov 23, 2020	0.006109	0.006147	0.005969	0.006112	12,753.10	0
Nov 22, 2020	0.006091	0.006218	0.005931	0.006109	14,009.06	0
Nov 21, 2020	0.005929	0.006195	0.005682	0.006091	18,585.37	0
Nov 20, 2020	0.006024	0.006121	0.005485	0.005929	13,514.36	0
Nov 19, 2020	0.006111	0.006149	0.005932	0.006029	12,996.57	0
Nov 18, 2020	0.006111	0.006175	0.006020	0.006111	13,231.09	0
Nov 17, 2020	0.006156	0.006267	0.006026	0.006111	12,082.96	0
Nov 16, 2020	0.005902	0.006270	0.005902	0.006176	12,148.05	0
Nov 15, 2020	0.006212	0.006245	0.005872	0.005902	12,876.06	0
Nov 14, 2020	0.006278	0.006330	0.006123	0.006212	12,584.95	0
Nov 13, 2020	0.006303	0.006386	0.005610	0.006278	14,557.92	0
Nov 12, 2020	0.006368	0.006416	0.005611	0.006304	16,946.68	0
Nov 11, 2020	0.006374	0.006443	0.006300	0.006368	12,764.60	0
Nov 10, 2020	0.006364	0.006439	0.006005	0.006374	13,089.51	0
Nov 09, 2020	0.006333	0.006463	0.006301	0.006364	12,538.22	0
Nov 08, 2020	0.006383	0.006409	0.006280	0.006333	12,741.34	0
Nov 07, 2020	0.006340	0.006415	0.006056	0.006383	12,670.83	0
Nov 06, 2020	0.006300	0.006510	0.005947	0.006340	13,309.26	0
Nov 05, 2020	0.006540	0.006693	0.005904	0.006300	14,222.17	0
Nov 04, 2020	0.006629	0.006753	0.006487	0.006540	12,604.79	0
Nov 03, 2020	0.006716	0.006851	0.006458	0.006630	11,972.61	0
Nov 02, 2020	0.006685	0.006828	0.006628	0.006716	8,912.25	0
Nov 01, 2020	0.006691	0.006824	0.006595	0.006685	9,387.63	0
Oct 31, 2020	0.006576	0.006875	0.006466	0.006691	5,342.38	0
Oct 30, 2020	0.006971	0.007009	0.006548	0.006576	7,982.95	0
Oct 29, 2020	0.007082	0.007088	0.006879	0.006971	11,520.95	0
Oct 28, 2020	0.006969	0.007117	0.006914	0.007082	15,344.92	0
Oct 27, 2020	0.007018	0.007085	0.006863	0.006969	16,179.17	0
Oct 26, 2020	0.007053	0.007110	0.006991	0.007018	15,499.09	0
Oct 25, 2020	0.007047	0.007122	0.006987	0.007053	16,247.14	0
Oct 24, 2020	0.007204	0.007308	0.006987	0.007047	15,752.49	0
Oct 23, 2020	0.007298	0.007386	0.007113	0.007204	16,496.36	0
