date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000939	0.000940	0.000828	0.000907	392.63	348,660
Dec 15, 2020	0.001048	0.001062	0.000843	0.000940	63.15	361,338
Dec 14, 2020	0.000845	0.001052	0.000838	0.001048	143.84	403,020
Dec 13, 2020	0.000963	0.000965	0.000838	0.000844	273.66	324,739
Dec 12, 2020	0.000707	0.001114	0.000706	0.000964	34.68	370,560
Dec 11, 2020	0.000748	0.000748	0.000707	0.000707	0	271,765
Dec 10, 2020	0.000860	0.000860	0.000745	0.000748	18.39	287,754
Dec 09, 2020	0.000677	0.000863	0.000666	0.000860	151.64	330,661
Dec 08, 2020	0.000864	0.001436	0.000676	0.000678	4,431.69	260,599
Dec 07, 2020	0.000832	0.000894	0.000825	0.000864	11.80	332,157
Dec 06, 2020	0.000949	0.000961	0.000766	0.000832	3.66	319,765
Dec 05, 2020	0.000925	0.000949	0.000920	0.000948	0	364,657
Dec 04, 2020	0.000985	0.000988	0.000782	0.000928	143.79	356,867
Dec 03, 2020	0.001120	0.001158	0.000980	0.000984	0	378,556
Dec 02, 2020	0.000807	0.001122	0.000764	0.001120	862.29	430,627
Dec 01, 2020	0.001025	0.001048	0.000805	0.000808	0.485958	310,576
Nov 30, 2020	0.000955	0.001027	0.000955	0.001025	0	394,086
Nov 29, 2020	0.000790	0.000956	0.000783	0.000955	0.571843	367,105
Nov 28, 2020	0.000868	0.001088	0.000750	0.000790	272.70	303,919
Nov 27, 2020	0.000756	0.000871	0.000690	0.000868	605.97	333,715
Nov 26, 2020	0.001002	0.001010	0.000698	0.000755	97.92	290,362
Nov 25, 2020	0.000675	0.001006	0.000672	0.001002	1,501.17	385,407
Nov 24, 2020	0.000685	0.000772	0.000670	0.000675	25.22	259,722
Nov 23, 2020	0.000650	0.000705	0.000637	0.000684	15.68	263,017
Nov 22, 2020	0.000942	0.000947	0.000650	0.000650	267.91	249,922
Nov 21, 2020	0.000715	0.000966	0.000707	0.000942	226.75	362,370
Nov 20, 2020	0.000535	0.000921	0.000534	0.000715	319.36	274,797
Nov 19, 2020	0.000890	0.000905	0.000532	0.000535	38.69	205,615
Nov 18, 2020	0.000871	0.000911	0.000549	0.000890	232.29	342,315
Nov 17, 2020	0.000570	0.000877	0.000533	0.000871	975.97	334,791
Nov 16, 2020	0.000753	0.000789	0.000669	0.000669	13.61	257,437
Nov 15, 2020	0.000964	0.000965	0.000744	0.000753	0	289,708
Nov 14, 2020	0.000710	0.000967	0.000697	0.000964	24.41	370,671
Nov 13, 2020	0.000697	0.000931	0.000627	0.000710	69.43	273,034
Nov 12, 2020	0.000828	0.001060	0.000634	0.000697	88.41	268,027
Nov 11, 2020	0.001001	0.001040	0.000432	0.000828	256.16	318,406
Nov 10, 2020	0.001073	0.001080	0.000964	0.001001	393.13	384,927
Nov 09, 2020	0.001020	0.001083	0.000998	0.001073	0.053663	412,736
Nov 08, 2020	0.000985	0.001885	0.000979	0.001020	151.57	392,366
Nov 07, 2020	0.001031	0.001048	0.000913	0.000986	11.34	378,995
Nov 06, 2020	0.001006	0.001168	0.000988	0.001030	710.25	396,229
Nov 05, 2020	0.001060	0.001060	0.000911	0.001006	75.65	387,050
Nov 04, 2020	0.000952	0.001066	0.000927	0.001060	15.95	407,581
Nov 03, 2020	0.001082	0.001086	0.000920	0.000950	26.69	365,319
Nov 02, 2020	0.000938	0.001091	0.000904	0.001082	171.39	416,247
Nov 01, 2020	0.000941	0.000946	0.000930	0.000936	21.59	359,999
Oct 31, 2020	0.001016	0.001052	0.000934	0.000940	242.84	361,649
Oct 30, 2020	0.001200	0.001217	0.000875	0.001016	1,209.04	390,719
Oct 29, 2020	0.001369	0.001413	0.000862	0.001201	374.69	461,967
Oct 28, 2020	0.001416	0.001432	0.001340	0.001370	0	526,750
Oct 27, 2020	0.001369	0.001430	0.001364	0.001415	0	544,331
Oct 26, 2020	0.001284	0.001371	0.001264	0.001369	0	526,427
Oct 25, 2020	0.001374	0.001393	0.001278	0.001284	200.93	493,689
Oct 24, 2020	0.001558	0.001584	0.001370	0.001374	0	528,508
Oct 23, 2020	0.001214	0.001562	0.001189	0.001558	166.14	598,998
Oct 22, 2020	0.001242	0.001267	0.001214	0.001214	0	466,914
Oct 21, 2020	0.001436	0.001503	0.001229	0.001242	201.05	477,616
Oct 20, 2020	0.000715	0.001446	0.000712	0.001436	223.50	552,152
Oct 19, 2020	0.001131	0.001151	0.000712	0.000715	75.71	275,004
Oct 18, 2020	0.001107	0.001131	0.001105	0.001131	0	434,814
Oct 17, 2020	0.001291	0.001301	0.001102	0.001107	457.13	425,651
Oct 16, 2020	0.001325	0.001333	0.001279	0.001291	0	496,633
Oct 15, 2020	0.001328	0.001335	0.001303	0.001325	0	509,523
Oct 14, 2020	0.001332	0.001351	0.001310	0.001328	0	510,576
Oct 13, 2020	0.001352	0.001352	0.001314	0.001332	0	512,139
Oct 12, 2020	0.001184	0.001375	0.001169	0.001352	0	520,038
Oct 11, 2020	0.001533	0.001544	0.001178	0.001184	4.10	455,348
Oct 10, 2020	0.001241	0.001549	0.001241	0.001533	936.31	589,432
Oct 09, 2020	0.001192	0.001245	0.001080	0.001241	14.67	477,378
