date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009504	0.010336	0.009414	0.010282	619,793	7,505,297
Dec 15, 2020	0.010013	0.010220	0.009457	0.009491	592,114	6,928,488
Dec 14, 2020	0.010465	0.010591	0.009972	0.010013	634,819	7,309,401
Dec 13, 2020	0.008353	0.010726	0.008271	0.010465	794,760	7,638,796
Dec 12, 2020	0.007654	0.008445	0.007652	0.008352	590,629	6,096,451
Dec 11, 2020	0.007784	0.008276	0.007537	0.007650	644,976	5,584,290
Dec 10, 2020	0.007975	0.007975	0.007648	0.007778	525,178	5,677,912
Dec 09, 2020	0.007666	0.008064	0.007503	0.007975	544,951	5,821,453
Dec 08, 2020	0.008041	0.008134	0.007662	0.007662	578,763	5,592,712
Dec 07, 2020	0.007992	0.008169	0.007814	0.008027	646,060	5,859,513
Dec 06, 2020	0.008086	0.008214	0.007792	0.007986	625,401	5,829,477
Dec 05, 2020	0.008581	0.008811	0.007991	0.008091	698,046	5,906,192
Dec 04, 2020	0.008479	0.009130	0.008423	0.008582	689,654	6,264,467
Dec 03, 2020	0.007837	0.008775	0.007725	0.008480	693,073	6,190,249
Dec 02, 2020	0.007662	0.008047	0.007491	0.007839	628,101	5,722,313
Dec 01, 2020	0.008107	0.008213	0.007545	0.007641	650,901	5,577,429
Nov 30, 2020	0.008652	0.008822	0.007944	0.008107	684,910	5,918,228
Nov 29, 2020	0.008430	0.008691	0.008327	0.008652	703,147	6,316,060
Nov 28, 2020	0.008583	0.008763	0.008275	0.008440	690,434	6,160,745
Nov 27, 2020	0.008573	0.009038	0.008225	0.008610	684,004	6,285,246
Nov 26, 2020	0.010106	0.010177	0.008217	0.008562	740,897	6,250,295
Nov 25, 2020	0.009570	0.010388	0.009337	0.010107	901,360	7,377,728
Nov 24, 2020	0.010493	0.010679	0.009441	0.009571	681,194	6,986,757
Nov 23, 2020	0.010104	0.010912	0.009847	0.010493	983,443	7,660,012
Nov 22, 2020	0.009756	0.010377	0.009331	0.010105	820,566	7,376,415
Nov 21, 2020	0.010117	0.010266	0.009707	0.009756	785,955	7,121,769
Nov 20, 2020	0.010220	0.010433	0.009659	0.010118	714,470	7,385,774
Nov 19, 2020	0.010710	0.010910	0.009915	0.010219	689,360	7,460,111
Nov 18, 2020	0.009742	0.012253	0.009742	0.010709	850,245	7,817,283
Nov 17, 2020	0.008975	0.009853	0.008528	0.009742	748,479	7,111,420
Nov 16, 2020	0.008551	0.009072	0.008230	0.009025	600,424	6,587,895
Nov 15, 2020	0.008356	0.008841	0.008102	0.008551	580,738	6,242,195
Nov 14, 2020	0.008687	0.008933	0.008346	0.008356	591,689	6,099,431
Nov 13, 2020	0.009099	0.009220	0.008506	0.008687	678,142	6,341,638
Nov 12, 2020	0.008417	0.009453	0.008230	0.009100	649,805	6,642,942
Nov 11, 2020	0.008668	0.008976	0.008184	0.008417	511,097	6,144,353
Nov 10, 2020	0.008572	0.008758	0.008468	0.008668	589,450	6,327,832
