date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.12	1.16	1.10	1.16	0	67,231.64
Dec 15, 2020	1.14	1.15	1.12	1.12	0	65,166.62
Dec 14, 2020	1.11	1.15	1.09	1.14	0	66,241.11
Dec 13, 2020	1.07	1.11	1.07	1.10	0	64,162.96
Dec 12, 2020	1.04	1.07	1.04	1.07	0	62,119.42
Dec 11, 2020	1.05	1.05	1.02	1.04	0	60,350.77
Dec 10, 2020	1.07	1.07	1.04	1.05	0	61,097.86
Dec 09, 2020	1.05	1.08	1.03	1.07	0	62,026.56
Dec 08, 2020	1.12	1.12	1.04	1.05	0	60,942.96
Dec 07, 2020	1.12	1.13	1.10	1.12	0	64,806.71
Dec 06, 2020	1.13	1.14	1.10	1.12	0	65,144.89
Dec 05, 2020	1.10	1.14	1.09	1.13	0	65,560.97
Dec 04, 2020	1.17	1.18	1.10	1.10	0	64,134.01
Dec 03, 2020	1.15	1.17	1.14	1.17	0	67,724.64
Dec 02, 2020	1.14	1.17	1.13	1.15	0	66,818.83
Dec 01, 2020	1.19	1.21	1.12	1.14	0	66,443.81
Nov 30, 2020	0.704565	1.42	0.704512	1.19	0	69,256.62
Nov 29, 2020	0.697327	0.710675	0.694295	0.704629	0	40,925.47
Nov 28, 2020	0.682559	0.702081	0.679119	0.697276	0	40,498.41
Nov 27, 2020	1.55	1.55	0.669622	0.682569	0	39,644.21
Nov 26, 2020	0.788328	1.63	0.780250	1.54	0	89,724.35
Nov 25, 2020	2.16	2.20	0.776140	0.788624	0	45,808.41
Nov 24, 2020	0.598514	3.02	0.598280	2.17	0	126,287
Nov 23, 2020	0.984927	1.02	0.594710	0.598308	0	34,884.46
Nov 22, 2020	1.09	1.12	0.689355	0.986394	0	57,520.60
Nov 21, 2020	1.05	1.12	1.03	1.10	0	63,888.93
Nov 20, 2020	1.01	1.31	0.995088	1.05	0	60,980.33
Nov 19, 2020	0.999887	1.02	0.977069	1.01	0	59,244.04
Nov 18, 2020	1.04	1.06	0.966507	0.999963	0	58,383.87
Nov 17, 2020	1.15	1.23	0.993480	1.04	0	60,773.68
Nov 16, 2020	1.09	1.28	1.06	1.20	0	70,347.74
Nov 15, 2020	1.06	1.11	0.855576	1.09	0	63,731.88
Nov 14, 2020	1.07	1.09	1.02	1.05	0	61,754.26
Nov 13, 2020	0.940596	1.18	0.940596	1.07	0	62,508.53
Nov 12, 2020	1.10	1.26	0.906216	0.940429	0	55,425.78
Nov 11, 2020	1.37	1.43	0.916529	1.10	0	83,376.12
Nov 10, 2020	1.32	1.75	1.31	1.37	0	118,233
Nov 09, 2020	1.28	1.41	1.15	1.32	0	113,765
Nov 08, 2020	1.20	1.31	1.19	1.28	0	110,071
Nov 07, 2020	1.02	1.23	0.982909	1.20	0	103,614
Nov 06, 2020	1.13	1.17	1.00	1.02	0	87,857.85
Nov 05, 2020	1.23	1.78	1.13	1.13	0	97,047.72
Nov 04, 2020	1.19	1.27	1.17	1.23	3,007.23	106,198
Nov 03, 2020	1.34	1.39	1.19	1.19	6,420.94	102,444
Nov 02, 2020	1.28	1.49	1.25	1.34	8,858.74	115,272
Nov 01, 2020	1.39	1.56	1.24	1.28	10,362.68	110,470
Oct 31, 2020	1.11	1.41	0.751060	1.39	6,297.86	119,529
Oct 30, 2020	1.21	1.30	1.07	1.12	1,213.38	96,623.29
Oct 29, 2020	1.20	1.32	1.10	1.21	14,311.67	104,129
Oct 28, 2020	0.944873	1.34	0.836671	1.20	13,387.40	103,756
Oct 27, 2020	0.899668	1.01	0.882039	0.944799	4,869.86	0
Oct 26, 2020	1.14	1.15	0.863899	0.899664	6,293.49	0
Oct 25, 2020	1.20	1.20	0.893942	1.14	10,750.10	0
Oct 24, 2020	0.996630	1.20	0.908528	1.20	9,774.44	0
Oct 23, 2020	0.860383	1.09	0.860122	0.996647	8,607.66	0
Oct 22, 2020	0.692222	1.04	0.691954	0.860411	9,563.67	0
Oct 21, 2020	0.815336	0.886225	0.402599	0.692224	8,797.43	0
Oct 20, 2020	0.824922	0.858405	0.811689	0.815294	26,758.63	0
