date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000114	0.000122	0.000114	0.000122	13.44	0
Dec 15, 2020	0.000114	0.000114	0.000113	0.000114	0	0
Dec 14, 2020	0.000114	0.000115	0.000114	0.000114	91.60	0
Dec 13, 2020	0.000114	0.000114	0.000114	0.000114	15.71	0
Dec 12, 2020	0.000114	0.000114	0.000114	0.000114	2.81	0
Dec 11, 2020	0.000114	0.000125	0.000114	0.000114	22.89	0
Dec 10, 2020	0.000114	0.000114	0.000114	0.000114	1.48	0
Dec 09, 2020	0.000114	0.000114	0.000114	0.000114	6.20	0
Dec 08, 2020	0.000114	0.000114	0.000114	0.000114	0	0
Dec 07, 2020	0.000114	0.000115	0.000114	0.000114	23.98	0
Dec 06, 2020	0.000114	0.000114	0.000114	0.000114	5.14	0
Dec 05, 2020	0.000114	0.000114	0.000109	0.000114	24.59	0
Dec 04, 2020	0.000114	0.000114	0.000114	0.000114	0	0
Dec 03, 2020	0.000114	0.000114	0.000114	0.000114	1.37	0
Dec 02, 2020	0.000114	0.000114	0.000114	0.000114	5.03	0
Dec 01, 2020	0.000114	0.000115	0.000114	0.000114	36.68	0
Nov 30, 2020	0.000114	0.000115	0.000114	0.000114	49.19	0
Nov 29, 2020	0.000174	0.000175	0.000114	0.000114	0	0
Nov 28, 2020	0.000174	0.000175	0.000174	0.000174	1.74	0
Nov 27, 2020	0.000177	0.000178	0.000174	0.000174	2.44	0
Nov 26, 2020	0.000177	0.000178	0.000176	0.000177	13.10	0
Nov 25, 2020	0.000177	0.000178	0.000177	0.000177	36.08	0
Nov 24, 2020	0.000177	0.000178	0.000177	0.000177	0	0
Nov 23, 2020	0.000177	0.000177	0.000177	0.000177	7.82	0
Nov 22, 2020	0.000177	0.000178	0.000177	0.000177	41.49	0
Nov 21, 2020	0.000177	0.000177	0.000177	0.000177	21.95	0
Nov 20, 2020	0.000137	0.000178	0.000137	0.000177	67.56	0
Nov 19, 2020	0.000137	0.000137	0.000137	0.000137	48.12	0
Nov 18, 2020	0.000137	0.000137	0.000137	0.000137	0.136997	0
Nov 17, 2020	0.000137	0.000137	0.000137	0.000137	31.88	0
Nov 16, 2020	0.000137	0.000137	0.000137	0.000137	10.16	0
Nov 15, 2020	0.000137	0.000137	0.000137	0.000137	0	0
Nov 14, 2020	0.000137	0.000137	0.000137	0.000137	3.74	0
Nov 13, 2020	0.000138	0.000138	0.000137	0.000137	1.64	0
Nov 12, 2020	0.000098	0.000139	0.000097	0.000138	0	0
Nov 11, 2020	0.000142	0.000144	0.000098	0.000098	19.21	0
Nov 10, 2020	0.000143	0.000145	0.000101	0.000142	22.15	0
Nov 09, 2020	0.000147	0.000151	0.000098	0.000143	98.75	0
Nov 08, 2020	0.000145	0.000149	0.000144	0.000147	38.66	0
Nov 07, 2020	0.000153	0.000156	0.000141	0.000145	2.91	0
Nov 06, 2020	0.000080	0.000156	0.000080	0.000153	1.23	0
Nov 05, 2020	0.000078	0.000137	0.000078	0.000080	0	0
Nov 04, 2020	0.000077	0.000078	0.000075	0.000078	0	0
Nov 03, 2020	0.000080	0.000080	0.000075	0.000077	0	0
Nov 02, 2020	0.000165	0.000169	0.000080	0.000080	22.34	0
Nov 01, 2020	0.000107	0.000165	0.000078	0.000165	32.61	0
Oct 31, 2020	0.000133	0.000138	0.000106	0.000107	43.52	0
Oct 30, 2020	0.000140	0.000142	0.000129	0.000133	0.267011	0
Oct 29, 2020	0.000142	0.000143	0.000138	0.000140	1.40	0
Oct 28, 2020	0.000149	0.000150	0.000140	0.000142	7.41	0
Oct 27, 2020	0.000145	0.000151	0.000117	0.000149	16.99	0
Oct 26, 2020	0.000115	0.000146	0.000114	0.000145	0.726890	0
Oct 25, 2020	0.000144	0.000146	0.000114	0.000115	4.93	0
Oct 24, 2020	0.000144	0.000145	0.000143	0.000144	4.31	0
Oct 23, 2020	0.000126	0.000144	0.000115	0.000144	111.71	0
Oct 22, 2020	0.000115	0.000127	0.000115	0.000126	53.27	0
Oct 21, 2020	0.000119	0.000122	0.000113	0.000115	20.74	0
Oct 20, 2020	0.000123	0.000124	0.000118	0.000119	0	0
Oct 19, 2020	0.000126	0.000126	0.000123	0.000123	2.34	0
Oct 18, 2020	0.000116	0.000128	0.000115	0.000126	2.52	0
Oct 17, 2020	0.000124	0.000126	0.000115	0.000116	4.28	0
Oct 16, 2020	0.000131	0.000133	0.000123	0.000124	3.97	0
Oct 15, 2020	0.000132	0.000135	0.000117	0.000131	2.25	0
Oct 14, 2020	0.000131	0.000134	0.000130	0.000132	0	0
Oct 13, 2020	0.000131	0.000136	0.000130	0.000131	3.55	0
Oct 12, 2020	0.000124	0.000134	0.000115	0.000131	7.96	0
Oct 11, 2020	0.000123	0.000125	0.000122	0.000124	0	0
Oct 10, 2020	0.000116	0.000124	0.000109	0.000123	13.45	0
Oct 09, 2020	0.000103	0.000117	0.000103	0.000116	0.455121	0
Oct 08, 2020	0.000163	0.000163	0.000099	0.000103	4.18	0
Oct 07, 2020	0.000103	0.000164	0.000103	0.000163	1.47	0
Oct 06, 2020	0.000177	0.000179	0.000103	0.000103	6.31	0
Oct 05, 2020	0.000179	0.000181	0.000174	0.000177	0	0
Oct 04, 2020	0.000105	0.000180	0.000104	0.000179	2.87	0
Oct 03, 2020	0.000100	0.000180	0.000099	0.000105	25.89	0
Oct 02, 2020	0.000100	0.000103	0.000095	0.000100	0	0
Oct 01, 2020	0.000107	0.000108	0.000096	0.000100	0	0
Sep 30, 2020	0.000200	0.000200	0.000104	0.000107	89.29	0
Sep 29, 2020	0.000192	0.000201	0.000101	0.000200	109.64	0
Sep 28, 2020	0.000105	0.000197	0.000104	0.000192	4.25	0
Sep 27, 2020	0.000105	0.000108	0.000103	0.000105	0	0
Sep 26, 2020	0.000123	0.000189	0.000105	0.000105	13.00	0
Sep 25, 2020	0.000123	0.000125	0.000119	0.000123	0	0
Sep 24, 2020	0.000163	0.000167	0.000115	0.000123	149.56	0
Sep 23, 2020	0.000081	0.000166	0.000078	0.000163	4.25	0
Sep 22, 2020	0.000080	0.000080	0.000080	0.000080	0	0
Sep 21, 2020	0.000089	0.000090	0.000080	0.000080	0	0
Sep 20, 2020	0.000072	0.000091	0.000071	0.000089	0.088685	0
Sep 19, 2020	0.000065	0.000239	0.000065	0.000072	451.02	0
Sep 18, 2020	0.000065	0.000065	0.000065	0.000065	0	0
Sep 17, 2020	0.000069	0.000071	0.000065	0.000065	0	0
Sep 16, 2020	0.000107	0.000107	0.000063	0.000069	191.48	0
Sep 15, 2020	0.000109	0.000109	0.000106	0.000107	0	0
Sep 14, 2020	0.000105	0.000117	0.000100	0.000109	0.436483	0
Sep 13, 2020	0.000102	0.000107	0.000098	0.000105	29.44	0
Sep 12, 2020	0.000097	0.000103	0.000097	0.000102	0	0
Sep 11, 2020	0.000112	0.000112	0.000089	0.000097	0.193883	0
Sep 10, 2020	0.000109	0.000117	0.000102	0.000112	124.45	0
Sep 09, 2020	0.000105	0.000109	0.000102	0.000109	0	0
Sep 08, 2020	0.000101	0.000106	0.000097	0.000105	4.19	0
Sep 07, 2020	0.000096	0.000101	0.000096	0.000101	0.101077	0
Sep 06, 2020	0.000096	0.000096	0.000096	0.000096	0	0
Sep 05, 2020	0.000095	0.000097	0.000095	0.000096	0	0
Sep 04, 2020	0.000093	0.000099	0.000090	0.000095	1.90	0
Sep 03, 2020	0.000094	0.000101	0.000078	0.000093	22.81	0
Sep 02, 2020	0.000100	0.000103	0.000092	0.000094	28.74	0
Sep 01, 2020	0.000089	0.000111	0.000088	0.000100	13.14	0
Aug 31, 2020	0.000109	0.000110	0.000089	0.000089	38.12	0
Aug 30, 2020	0.000088	0.000110	0.000088	0.000109	16.46	0
Aug 29, 2020	0.000097	0.000099	0.000088	0.000088	136.34	0
Aug 28, 2020	0.000085	0.000097	0.000085	0.000097	0.096930	0
Aug 27, 2020	0.000086	0.000088	0.000084	0.000085	0	0
Aug 26, 2020	0.000097	0.000101	0.000083	0.000086	58.06	0
Aug 25, 2020	0.000077	0.000101	0.000075	0.000097	5.14	0
Aug 24, 2020	0.000100	0.000105	0.000077	0.000077	0.386954	0
Aug 23, 2020	0.000103	0.000103	0.000100	0.000100	6.52	0
Aug 22, 2020	0.000105	0.000105	0.000079	0.000103	17.61	0
Aug 21, 2020	0.000085	0.000114	0.000085	0.000105	1.16	0
Aug 20, 2020	0.000116	0.000117	0.000085	0.000085	113.07	0
Aug 19, 2020	0.000120	0.000121	0.000114	0.000116	55.43	0
Aug 18, 2020	0.000106	0.000121	0.000093	0.000120	105.47	0
Aug 17, 2020	0.000101	0.000127	0.000096	0.000106	102.01	0
Aug 16, 2020	0.000128	0.000129	0.000094	0.000101	104.54	0
Aug 15, 2020	0.000094	0.000132	0.000094	0.000127	98.80	0
Aug 14, 2020	0.000126	0.000131	0.000092	0.000094	80.47	0
Aug 13, 2020	0.000124	0.000127	0.000095	0.000126	1.33	0
Aug 12, 2020	0.000117	0.000126	0.000108	0.000124	80.69	0
Aug 11, 2020	0.000124	0.000125	0.000114	0.000117	12.26	0
Aug 10, 2020	0.000124	0.000125	0.000122	0.000124	107.18	0
Aug 09, 2020	0.000111	0.000124	0.000084	0.000124	198.24	0
Aug 08, 2020	0.000089	0.000111	0.000086	0.000111	219.65	0
Aug 07, 2020	0.000124	0.000124	0.000089	0.000089	119.67	0
Aug 06, 2020	0.000126	0.000126	0.000123	0.000124	0	0
Aug 05, 2020	0.000167	0.000173	0.000079	0.000126	203.80	0
Aug 04, 2020	0.000168	0.000170	0.000163	0.000167	0.670165	0
Aug 03, 2020	0.000156	0.000168	0.000086	0.000168	476.64	0
Aug 02, 2020	0.000083	0.000159	0.000076	0.000156	137.80	0
Aug 01, 2020	0.000103	0.000127	0.000083	0.000083	62.26	0
Jul 31, 2020	0.000070	0.000104	0.000070	0.000103	81.95	0
Jul 30, 2020	0.000133	0.000134	0.000067	0.000070	35.58	0
Jul 29, 2020	0.000137	0.000138	0.000065	0.000133	7.80	0
Jul 28, 2020	0.000137	0.000143	0.000060	0.000137	92.50	0
Jul 27, 2020	0.000051	0.000155	0.000050	0.000137	19.64	0
Jul 26, 2020	0.000116	0.000177	0.000051	0.000051	178.54	0
Jul 25, 2020	0.000205	0.000214	0.000115	0.000116	45.66	0
Jul 24, 2020	0.000128	0.000209	0.000126	0.000205	1.85	0
Jul 23, 2020	0.000200	0.000203	0.000124	0.000128	17.05	0
Jul 22, 2020	0.000121	0.000200	0.000120	0.000200	51.76	0
Jul 21, 2020	0.000119	0.000198	0.000119	0.000121	1.11	0
Jul 20, 2020	0.000120	0.000122	0.000119	0.000119	0	0
Jul 19, 2020	0.000233	0.000236	0.000118	0.000120	146.63	0
Jul 18, 2020	0.000234	0.000235	0.000229	0.000233	0.232993	0
Jul 17, 2020	0.000147	0.000239	0.000146	0.000234	7.14	0
Jul 16, 2020	0.000241	0.000242	0.000144	0.000147	9.71	0
Jul 15, 2020	0.000248	0.000248	0.000239	0.000241	17.59	0
Jul 14, 2020	0.000157	0.000249	0.000154	0.000248	29.29	0
Jul 13, 2020	0.000157	0.000162	0.000153	0.000157	20.40	0
Jul 12, 2020	0.000153	0.000257	0.000153	0.000157	24.99	0
Jul 11, 2020	0.000241	0.000244	0.000148	0.000153	16.43	0
Jul 10, 2020	0.000250	0.000250	0.000233	0.000241	7.02	0
Jul 09, 2020	0.000256	0.000259	0.000149	0.000250	24.80	0
Jul 08, 2020	0.000250	0.000259	0.000249	0.000255	7.86	0
Jul 07, 2020	0.000130	0.000253	0.000130	0.000250	287.93	0
Jul 06, 2020	0.000130	0.000130	0.000130	0.000130	0	0
