date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.127929	0.137476	0.125184	0.137463	0	0
Dec 15, 2020	0.123627	0.136506	0.123186	0.127950	0	0
Dec 14, 2020	0.122740	0.138974	0.121366	0.123626	0	0
Dec 13, 2020	0.122229	0.127094	0.119955	0.122747	0	0
Dec 12, 2020	0.113098	0.123106	0.112977	0.122243	0	0
Dec 11, 2020	0.115537	0.117469	0.111699	0.113116	0	0
Dec 10, 2020	0.118387	0.121406	0.114304	0.115538	0	0
Dec 09, 2020	0.113645	0.119771	0.110437	0.118373	0	0
Dec 08, 2020	0.124181	0.124181	0.109443	0.113616	0	0
Dec 07, 2020	0.132767	0.133010	0.115768	0.124184	0	0
Dec 06, 2020	0.128078	0.134811	0.126461	0.132737	0	0
Dec 05, 2020	0.127055	0.134260	0.121882	0.128072	0	0
Dec 04, 2020	0.130247	0.141090	0.124613	0.127060	0	0
Dec 03, 2020	0.125512	0.133699	0.121820	0.130252	0	0
Dec 02, 2020	0.127979	0.133099	0.117615	0.125517	0	0
Dec 01, 2020	0.131879	0.239497	0.121488	0.127984	0	0
Nov 30, 2020	0.150841	0.155870	0.124302	0.131870	0	0
Nov 29, 2020	0.118748	0.158199	0.118343	0.150843	0	0
Nov 28, 2020	0.103084	0.120294	0.089363	0.118752	0	0
Nov 27, 2020	0.144451	0.146731	0.093406	0.103075	0	0
Nov 26, 2020	0.176299	0.179077	0.130752	0.144430	0	0
Nov 25, 2020	0.164886	0.196204	0.160192	0.176379	0	0
Nov 24, 2020	0.193965	0.221032	0.160751	0.164764	0	0
Nov 23, 2020	0.187294	0.209362	0.184640	0.193972	0	0
Nov 22, 2020	0.199195	0.205512	0.179602	0.187311	0	0
Nov 21, 2020	0.184427	0.204852	0.184091	0.199191	0	0
Nov 20, 2020	0.182574	0.189268	0.180800	0.184434	0	0
Nov 19, 2020	0.187754	0.190181	0.172268	0.182581	0	0
Nov 18, 2020	0.209147	0.212849	0.176302	0.187733	0	0
Nov 17, 2020	0.217396	0.220095	0.186057	0.209136	0	0
Nov 16, 2020	0.213153	0.217902	0.208825	0.212417	0	0
Nov 15, 2020	0.196907	0.231229	0.191732	0.213154	0	0
Nov 14, 2020	0.195558	0.199846	0.187304	0.196897	0	0
Nov 13, 2020	0.216100	0.219039	0.185330	0.195559	0	0
Nov 12, 2020	0.194583	0.222174	0.176431	0.216098	0	0
Nov 11, 2020	0.242178	0.244189	0.194483	0.194584	0	0
Nov 10, 2020	0.273332	0.355264	0.235571	0.242196	0	0
Nov 09, 2020	0.287231	0.288012	0.264014	0.273356	0	0
Nov 08, 2020	0.270742	0.294180	0.264376	0.287217	0	0
Nov 07, 2020	0.301151	0.310969	0.260579	0.270738	0	0
Nov 06, 2020	0.268930	0.318712	0.253269	0.301149	0	0
Nov 05, 2020	0.410173	0.421818	0.265358	0.268933	0	0
Nov 04, 2020	0.424382	0.427645	0.385992	0.410162	58,626.71	0
Nov 03, 2020	0.335294	0.430861	0.304923	0.424372	138,851	0
Nov 02, 2020	0.382370	0.390140	0.323408	0.335276	30,140.65	0
Nov 01, 2020	0.360423	0.394647	0.339492	0.382357	28,451.19	0
Oct 31, 2020	0.333397	0.424619	0.280041	0.361155	133,477	0
Oct 30, 2020	0.302777	0.382526	0.285245	0.333391	170,639	0
Oct 29, 2020	0.241668	0.320808	0.235094	0.302781	85,678.00	0
Oct 28, 2020	0.270125	0.290249	0.228646	0.241677	68,465.18	0
Oct 27, 2020	0.190074	0.279596	0.189912	0.270132	94,780.13	0
Oct 26, 2020	0.220275	0.246058	0.171029	0.190065	72,766.36	0
Oct 25, 2020	0.270763	0.278742	0.215662	0.220279	40,991.88	0
Oct 24, 2020	0.247114	0.283646	0.240971	0.270766	38,467.84	0
Oct 23, 2020	0.293118	0.393664	0.235737	0.247122	72,637.05	0
Oct 22, 2020	0.289744	0.303695	0.285970	0.293118	54,772.64	0
Oct 21, 2020	0.297915	0.301916	0.279176	0.285911	46,004.75	0
Oct 20, 2020	0.330927	2.96	0.286663	0.297915	69,139.87	0
Oct 19, 2020	0.349600	0.350032	0.325844	0.330925	63,354.12	0
Oct 18, 2020	0.328830	0.360656	0.327476	0.346573	71,204.55	0
Oct 17, 2020	0.301517	0.335398	0.293342	0.328832	76,405.17	0
Oct 16, 2020	0.357712	0.358419	0.291374	0.301517	77,106.83	0
Oct 15, 2020	0.384525	0.384703	0.343338	0.357714	73,712.64	0
Oct 14, 2020	0.339796	0.387470	0.339380	0.380993	68,866.66	0
Oct 13, 2020	0.383505	0.406429	0.334496	0.350518	75,661.44	0
Oct 12, 2020	0.366416	0.393773	0.338636	0.388752	119,299	0
Oct 11, 2020	0.307979	0.379382	0.294071	0.366416	123,038	0
Oct 10, 2020	0.291707	0.320312	0.271486	0.307982	77,851.61	0
Oct 09, 2020	0.290343	0.314893	0.244504	0.291707	95,198.02	0
Oct 08, 2020	0.429758	0.450652	0.205770	0.290574	275,341	0
Oct 07, 2020	0.456623	0.540482	0.408817	0.434284	340,512	0
Oct 06, 2020	0.421830	0.641454	0.385140	0.453519	426,449	0
Oct 05, 2020	0.302368	0.459196	0.299369	0.428467	223,720	0
Oct 04, 2020	0.235524	0.377433	0.234016	0.302367	79,452.62	0
Oct 03, 2020	0.285049	0.357499	0.190885	0.235523	96,436.74	0
Oct 02, 2020	0.142265	0.397307	0.142265	0.283653	229,700	0
Oct 01, 2020	0.086800	0.148031	0.071038	0.146031	28,224.05	0
Sep 30, 2020	0.074245	0.091459	0.068180	0.086783	4,697.20	0
Sep 29, 2020	0.068460	0.074480	0.059285	0.074252	1,811.43	0
Sep 28, 2020	0.068633	0.072068	0.063055	0.068460	654.61	0
Sep 27, 2020	0.069070	0.072780	0.059149	0.068372	15,748.67	0
Sep 26, 2020	0.070323	0.077426	0.068320	0.069070	3,440.16	0
Sep 25, 2020	0.070721	0.073451	0.064655	0.070323	2,207.34	0
Sep 24, 2020	0.061891	0.080136	0.053128	0.070721	3,783.28	0
Sep 23, 2020	0.062577	0.065286	0.059625	0.061891	6,912.65	0
Sep 22, 2020	0.060011	0.063492	0.056393	0.062703	0	0
Sep 21, 2020	0.066789	0.069188	0.058391	0.060082	0	0
Sep 20, 2020	0.064547	0.075940	0.059923	0.066789	0	0
Sep 19, 2020	0.069510	0.072705	0.061215	0.064531	0	0
Sep 18, 2020	0.064075	0.072476	0.061530	0.069510	0	0
Sep 17, 2020	0.058149	0.067138	0.056004	0.064075	0	0
Sep 16, 2020	0.053888	0.074505	0.051595	0.058149	0	0
Sep 15, 2020	0.062258	0.062258	0.052079	0.053928	0	0
Sep 14, 2020	0.047809	0.070075	0.047302	0.062258	0	0
Sep 13, 2020	0.052826	0.061029	0.046451	0.047868	0	0
Sep 12, 2020	0.051398	0.063441	0.048054	0.052859	0	0
Sep 11, 2020	0.058463	0.064244	0.047265	0.051387	0	0
Sep 10, 2020	0.058790	0.060195	0.047042	0.058463	0	0
Sep 09, 2020	0.050515	0.058894	0.046519	0.058790	0	0
Sep 08, 2020	0.050565	0.055585	0.047580	0.050502	0	0
Sep 07, 2020	0.048218	0.051000	0.040285	0.050496	0	0
Sep 06, 2020	0.043090	0.052179	0.039820	0.048218	0	0
Sep 05, 2020	0.044678	0.057502	0.038555	0.043090	0	0
Sep 04, 2020	0.070454	0.075258	0.044552	0.044686	0	0
Sep 03, 2020	0.088192	0.104459	0.055772	0.070542	0	0
Sep 02, 2020	0.093889	0.109291	0.062889	0.088245	0	0
Sep 01, 2020	0.078234	0.109650	0.069622	0.094199	0	0
Aug 31, 2020	0.103841	0.106049	0.062341	0.078263	0	0
Aug 30, 2020	0.100854	0.117853	0.088378	0.103694	0	0
Aug 29, 2020	0.055280	0.109413	0.052183	0.100999	0	0
Aug 28, 2020	0.048269	0.058960	0.043992	0.055261	0	0
Aug 27, 2020	0.040287	0.056414	0.040285	0.048270	0	0
Aug 26, 2020	0.047950	0.056993	0.034990	0.040281	0	0
Aug 25, 2020	0.058548	0.060276	0.047541	0.048016	0	0
Aug 24, 2020	0.056882	0.063926	0.052053	0.058546	0	0
Aug 23, 2020	0.058735	0.068557	0.051741	0.056998	0	0
Aug 22, 2020	0.057517	0.068648	0.046602	0.057076	0	0
Aug 21, 2020	0.042823	0.059887	0.039907	0.057553	0	0
Aug 20, 2020	0.039448	0.048375	0.036475	0.042804	0	0
Aug 19, 2020	0.036150	0.048207	0.028804	0.039448	0	0
Aug 18, 2020	0.035288	0.048312	0.032957	0.036181	0	0
Aug 17, 2020	0.021806	0.039023	0.020882	0.035277	0	0
Aug 16, 2020	0.022177	0.024086	0.020134	0.021806	0	0
Aug 15, 2020	0.020781	0.022180	0.018947	0.022180	0	0
Aug 14, 2020	0.018861	0.021587	0.018861	0.020791	0	0
Aug 13, 2020	0.018930	0.020192	0.016445	0.018850	0	0
