date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.79	1.89	1.52	1.54	212,453,975	141,397,927
Dec 15, 2020	1.26	1.91	1.24	1.79	288,901,577	163,015,784
Dec 14, 2020	1.05	1.25	1.02	1.25	52,894,392	114,617,000
Dec 13, 2020	0.998746	1.05	0.983554	1.05	13,195,773	95,450,956
Dec 12, 2020	0.954349	1.01	0.947417	0.998772	12,176,912	90,570,210
Dec 11, 2020	0.993607	0.993607	0.922737	0.954350	15,743,296	86,426,205
Dec 10, 2020	0.989175	1.06	0.943111	0.993760	38,888,861	90,263,799
Dec 09, 2020	0.954633	1.00	0.923365	0.989176	44,759,210	89,694,992
Dec 08, 2020	1.03	1.04	0.954597	0.954663	36,817,463	86,127,202
Dec 07, 2020	1.04	1.04	1.01	1.03	35,333,668	92,338,506
Dec 06, 2020	1.03	1.05	1.02	1.04	38,332,846	93,764,887
Dec 05, 2020	0.977294	1.03	0.966681	1.03	37,673,183	93,430,161
Dec 04, 2020	1.05	1.08	0.974077	0.978413	48,347,240	89,390,586
Dec 03, 2020	1.00	1.06	0.988100	1.05	47,002,788	94,225,624
Dec 02, 2020	0.972822	1.01	0.954431	1.00	48,114,755	88,439,802
Dec 01, 2020	1.03	1.03	0.954068	0.972784	53,541,011	85,635,109
Nov 30, 2020	0.979088	1.04	0.975386	1.03	44,535,547	90,271,714
Nov 29, 2020	0.986310	1.00	0.959269	0.979103	41,764,894	86,257,734
Nov 28, 2020	0.964215	1.01	0.947784	0.986293	40,380,139	86,840,362
Nov 27, 2020	0.952846	0.990294	0.917427	0.964155	46,117,916	84,568,746
Nov 26, 2020	1.08	1.09	0.911294	0.952760	66,597,101	83,293,248
Nov 25, 2020	1.10	1.13	1.04	1.08	63,695,644	94,228,590
Nov 24, 2020	1.12	1.15	1.08	1.10	58,000,505	95,700,273
Nov 23, 2020	1.11	1.16	1.08	1.12	58,122,232	97,767,772
Nov 22, 2020	1.17	1.17	1.03	1.11	61,912,667	96,209,343
Nov 21, 2020	1.01	1.19	1.01	1.17	77,782,630	101,451,481
Nov 20, 2020	1.00	1.04	0.981853	1.01	52,161,318	86,176,205
Nov 19, 2020	0.958402	1.04	0.922053	1.00	53,391,203	85,849,285
Nov 18, 2020	0.947995	1.03	0.853481	0.958402	79,302,434	76,562,008
Nov 17, 2020	0.827522	0.975887	0.817583	0.947995	79,954,509	72,548,944
Nov 16, 2020	0.743520	0.768003	0.717587	0.740462	37,106,304	53,194,661
Nov 15, 2020	0.675941	0.781990	0.672745	0.743520	41,923,852	52,675,082
Nov 14, 2020	0.710067	0.724902	0.657952	0.675941	32,885,093	47,848,795
Nov 13, 2020	0.670442	0.713178	0.664945	0.710067	30,104,398	50,248,314
Nov 12, 2020	0.712896	0.716664	0.646976	0.670442	30,726,883	47,464,924
Nov 11, 2020	0.739444	0.764395	0.710407	0.712896	33,054,396	50,443,777
Nov 10, 2020	0.667209	0.739503	0.667209	0.739444	31,511,253	52,373,079
Nov 09, 2020	0.660514	0.687820	0.634706	0.667210	27,945,182	47,063,072
Nov 08, 2020	0.637859	0.681716	0.630259	0.660514	31,297,483	45,921,465
Nov 07, 2020	0.687167	0.763231	0.613263	0.637859	42,696,584	44,459,220
Nov 06, 2020	0.558939	0.695615	0.555656	0.687167	42,534,304	47,913,935
Nov 05, 2020	0.537045	0.577488	0.535118	0.558939	27,091,060	39,102,474
Nov 04, 2020	0.559330	0.560185	0.513730	0.537045	28,315,013	37,574,507
Nov 03, 2020	0.589693	0.609146	0.559309	0.559330	26,789,821	39,151,587
Nov 02, 2020	0.604199	0.649504	0.569200	0.589693	37,733,886	41,096,443
Nov 01, 2020	0.602536	0.629212	0.563326	0.604199	35,013,652	42,114,697
Oct 31, 2020	0.596633	0.622309	0.570252	0.602536	36,619,290	41,936,385
Oct 30, 2020	0.619018	0.642328	0.537633	0.596633	49,543,334	41,417,134
Oct 29, 2020	0.716847	0.725007	0.604012	0.619017	45,739,247	42,958,773
Oct 28, 2020	0.851641	0.864462	0.671913	0.716846	56,346,836	49,728,637
Oct 27, 2020	0.851798	0.894546	0.824894	0.851640	41,704,543	59,006,092
Oct 26, 2020	0.907679	0.952513	0.821820	0.851798	43,582,445	59,011,020
Oct 25, 2020	0.940970	0.973330	0.886435	0.907679	39,123,638	62,890,743
Oct 24, 2020	0.956511	0.972951	0.903200	0.940970	40,457,861	65,271,727
Oct 23, 2020	0.959519	1.01	0.916603	0.956511	45,250,771	66,315,945
Oct 22, 2020	0.961840	1.03	0.946334	0.955766	50,970,757	66,359,754
Oct 21, 2020	0.904675	0.996753	0.893897	0.965917	50,456,015	67,064,523
Oct 20, 2020	1.06	1.07	0.885852	0.905480	58,118,681	62,658,732
Oct 19, 2020	1.14	1.14	1.06	1.07	48,287,619	73,888,227
Oct 18, 2020	1.11	1.17	1.11	1.13	46,528,972	78,342,539
Oct 17, 2020	1.12	1.12	1.08	1.11	53,435,053	76,683,935
Oct 16, 2020	1.23	1.24	1.12	1.12	54,317,964	77,436,981
Oct 15, 2020	1.28	1.29	1.21	1.23	59,828,025	85,294,872
Oct 14, 2020	1.31	1.35	1.27	1.27	60,617,220	87,836,741
Oct 13, 2020	1.40	1.40	1.28	1.32	76,944,252	91,106,116
Oct 12, 2020	1.12	1.43	1.10	1.38	86,465,443	95,739,042
Oct 11, 2020	1.11	1.14	1.07	1.12	50,480,136	77,300,081
Oct 10, 2020	1.18	1.19	1.10	1.11	57,611,997	76,705,570
Oct 09, 2020	1.10	1.23	1.07	1.18	66,416,433	81,431,707
Oct 08, 2020	1.13	1.14	1.02	1.10	61,451,945	75,968,266
Oct 07, 2020	0.937371	1.15	0.906461	1.13	78,251,357	77,991,270
Oct 06, 2020	1.16	1.17	0.913659	0.936658	72,108,009	64,768,530
Oct 05, 2020	1.18	1.24	1.11	1.17	78,418,594	80,703,985
Oct 04, 2020	1.02	1.19	0.986211	1.17	92,199,910	81,221,427
Oct 03, 2020	0.980167	1.04	0.959288	1.02	52,560,461	70,650,093
Oct 02, 2020	1.05	1.07	0.913189	0.976122	66,230,149	67,497,397
Oct 01, 2020	1.15	1.17	0.992408	1.04	67,235,167	72,064,167
Sep 30, 2020	1.01	1.19	0.997543	1.15	88,773,157	79,541,300
Sep 29, 2020	1.01	1.04	0.954377	1.01	65,292,509	70,043,442
Sep 28, 2020	0.945487	1.05	0.943250	1.01	68,998,557	70,153,743
Sep 27, 2020	0.894103	0.949297	0.857517	0.949265	60,966,318	65,640,279
Sep 26, 2020	0.889218	0.930379	0.876255	0.884795	59,254,386	61,182,272
Sep 25, 2020	0.818132	0.999847	0.761852	0.894196	70,275,835	61,832,315
Sep 24, 2020	0.719935	0.836144	0.710002	0.828965	55,839,089	57,321,694
Sep 23, 2020	0.792989	0.809143	0.712502	0.713471	47,017,327	49,335,479
Sep 22, 2020	0.776337	0.809652	0.753116	0.796086	48,412,733	55,048,149
Sep 21, 2020	0.859031	0.881401	0.726407	0.775705	54,460,259	53,638,852
Sep 20, 2020	0.904604	0.949835	0.841532	0.859043	57,234,742	59,401,552
Sep 19, 2020	0.985226	0.997695	0.882287	0.909337	62,038,231	62,879,282
Sep 18, 2020	1.02	1.07	0.958477	0.983777	55,182,072	68,026,701
Sep 17, 2020	1.03	1.05	0.986777	1.02	53,212,887	70,196,310
Sep 16, 2020	1.06	1.06	0.990073	1.03	55,553,451	70,884,124
Sep 15, 2020	1.18	1.20	1.05	1.06	58,368,736	72,990,149
Sep 14, 2020	1.11	1.19	1.09	1.18	55,838,578	81,425,480
Sep 13, 2020	1.20	1.25	1.10	1.11	59,403,944	76,485,868
Sep 12, 2020	1.16	1.22	1.13	1.20	57,471,585	82,868,520
Sep 11, 2020	1.16	1.18	1.11	1.16	53,745,943	80,488,324
Sep 10, 2020	1.19	1.29	1.16	1.16	80,123,716	80,164,572
Sep 09, 2020	1.04	1.24	1.01	1.18	85,842,345	81,628,258
Sep 08, 2020	1.12	1.12	1.02	1.05	77,991,859	72,936,903
Sep 07, 2020	1.18	1.26	0.986139	1.12	103,076,980	77,482,185
Sep 06, 2020	1.00	1.19	0.957879	1.18	91,240,655	81,415,681
Sep 05, 2020	1.31	1.35	0.978775	1.00	64,610,365	69,379,224
Sep 04, 2020	1.41	1.43	1.25	1.31	70,437,402	90,458,560
Sep 03, 2020	1.58	1.61	1.36	1.41	72,237,930	97,482,139
Sep 02, 2020	1.73	1.74	1.48	1.58	78,748,130	109,476,213
