date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.182687	0.197647	0.171417	0.194716	7,630.13	0
Dec 15, 2020	0.169559	0.182764	0.163102	0.182689	6,428.30	0
Dec 14, 2020	0.177727	0.177776	0.167642	0.169549	23,765.89	0
Dec 13, 2020	0.175663	0.182614	0.174020	0.177750	3,511.35	0
Dec 12, 2020	0.171615	0.182294	0.169132	0.175599	4,177.37	0
Dec 11, 2020	0.179404	0.179404	0.161853	0.171644	3,960.93	0
Dec 10, 2020	0.190747	0.196505	0.179508	0.179508	16,371.15	0
Dec 09, 2020	0.182096	0.192811	0.172017	0.190774	8,765.16	0
Dec 08, 2020	0.197389	0.197389	0.180032	0.182083	12,941.66	0
Dec 07, 2020	0.221190	0.221211	0.192903	0.197397	15,599.34	0
Dec 06, 2020	0.226925	0.234527	0.207605	0.221185	13,638.68	0
Dec 05, 2020	0.201502	0.288345	0.199044	0.226929	78,115.96	0
Dec 04, 2020	0.250893	0.257045	0.201423	0.201503	25,263.79	0
Dec 03, 2020	0.335921	0.336086	0.233886	0.250893	29,765.95	0
Dec 02, 2020	0.235470	0.340351	0.219025	0.335929	39,342.10	0
Dec 01, 2020	0.237567	0.262332	0.184196	0.235467	28,590.54	0
Nov 30, 2020	0.282707	0.299509	0.234075	0.237580	19,116.03	0
Nov 29, 2020	0.258093	0.300414	0.255875	0.282705	15,182.19	0
Nov 28, 2020	0.247350	0.265249	0.224199	0.258089	20,469.84	0
Nov 27, 2020	0.259087	0.265314	0.218510	0.247342	19,086.79	0
Nov 26, 2020	0.368168	0.376470	0.211544	0.259070	76,943.39	0
Nov 25, 2020	0.445619	0.445619	0.344838	0.368168	58,309.11	0
Nov 24, 2020	0.473893	0.496522	0.385937	0.445620	56,000.46	0
Nov 23, 2020	0.433508	0.582095	0.335617	0.473899	244,072	0
Nov 22, 2020	0.388155	0.565321	0.307975	0.433531	207,809	0
Nov 21, 2020	0.364954	0.452003	0.317970	0.388161	117,059	0
Nov 20, 2020	0.136415	0.453936	0.136162	0.364974	272,153	0
Nov 19, 2020	0.121097	0.137021	0.111997	0.136413	9,972.92	0
Nov 18, 2020	0.128607	0.131648	0.114218	0.121085	3,550.04	0
Nov 17, 2020	0.116220	0.130254	0.113403	0.128670	6,679.66	0
Nov 16, 2020	0.111228	0.118403	0.108632	0.114448	1,946.46	0
Nov 15, 2020	0.124227	0.124227	0.099489	0.111222	13,705.08	0
Nov 14, 2020	0.132449	0.132634	0.104405	0.124222	9,714.17	0
Nov 13, 2020	0.135327	0.136481	0.129336	0.132380	1,975.07	0
Nov 12, 2020	0.131278	0.143205	0.126445	0.135375	21,235.69	0
