date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.011167	0.012266	0.010261	0.010762	16,779.21	1,073,843
Dec 15, 2020	0.012748	0.012829	0.010767	0.011168	11,534.38	1,114,292
Dec 14, 2020	0.011069	0.013133	0.010767	0.012750	13,241.46	1,272,172
Dec 13, 2020	0.010718	0.011225	0.010525	0.011071	11,890.93	1,104,635
Dec 12, 2020	0.010212	0.010803	0.010166	0.010716	8,624.38	1,069,190
Dec 11, 2020	0.010319	0.010561	0.009968	0.010216	11,753.35	1,019,350
Dec 10, 2020	0.010777	0.010777	0.010135	0.010322	7,253.75	1,029,940
Dec 09, 2020	0.011355	0.012627	0.010444	0.010781	6,208.80	1,075,676
Dec 08, 2020	0.011724	0.012060	0.011240	0.011357	3,064.53	1,133,169
Dec 07, 2020	0.012019	0.012174	0.011598	0.011726	12,740.59	1,169,984
Dec 06, 2020	0.011731	0.012172	0.011467	0.012017	8,581.39	1,199,024
Dec 05, 2020	0.011647	0.012015	0.011229	0.011727	7,946.72	1,170,087
Dec 04, 2020	0.012681	0.013095	0.011354	0.011671	9,869.80	1,164,452
Dec 03, 2020	0.012835	0.013142	0.012234	0.012679	10,137.70	1,265,063
Dec 02, 2020	0.011656	0.013137	0.011307	0.012837	7,540.49	1,280,872
Dec 01, 2020	0.012685	0.012690	0.011156	0.011658	12,821.54	1,163,197
Nov 30, 2020	0.014532	0.014947	0.011223	0.012684	19,527.40	1,265,615
Nov 29, 2020	0.010195	0.015038	0.010008	0.014533	13,201.49	1,450,073
Nov 28, 2020	0.010327	0.011258	0.009938	0.010196	6,714.95	1,017,334
Nov 27, 2020	0.008758	0.011493	0.008533	0.010327	5,599.06	1,030,351
Nov 26, 2020	0.010090	0.013033	0.008547	0.008748	15,047.39	872,862
Nov 25, 2020	0.009822	0.011307	0.009395	0.010092	8,940.41	1,006,925
Nov 24, 2020	0.009690	0.020602	0.009253	0.009822	13,666.16	980,016
Nov 23, 2020	0.010998	0.011144	0.009224	0.009692	10,331.38	967,075
Nov 22, 2020	0.010900	0.011213	0.010253	0.011007	11,477.73	1,098,277
Nov 21, 2020	0.010684	0.011110	0.010477	0.010899	9,528.52	1,087,511
