date	open	high	low	close	volume	market_cap
Dec 16, 2020	29.93	37.78	29.48	37.18	11,566,635	0
Dec 15, 2020	29.43	30.63	28.69	29.97	4,420,580	0
Dec 14, 2020	28.90	29.70	28.31	29.43	2,815,685	0
Dec 13, 2020	27.48	30.00	27.20	28.90	5,268,479	0
Dec 12, 2020	24.46	27.92	24.42	27.48	3,865,150	0
Dec 11, 2020	25.33	25.41	22.79	24.52	4,996,712	0
Dec 10, 2020	26.56	26.56	24.24	25.34	2,842,579	0
Dec 09, 2020	27.31	27.32	23.21	26.56	5,276,096	0
Dec 08, 2020	29.52	29.77	27.04	27.29	3,358,866	0
Dec 07, 2020	30.07	30.35	29.02	29.52	2,410,720	0
Dec 06, 2020	29.25	30.18	28.28	30.10	2,004,601	0
Dec 05, 2020	27.60	29.31	27.03	29.25	2,435,276	0
Dec 04, 2020	30.34	30.54	27.52	27.62	3,839,132	0
Dec 03, 2020	29.67	31.03	28.54	30.38	4,529,716	0
Dec 02, 2020	27.94	30.12	26.55	29.60	4,609,643	0
Dec 01, 2020	30.93	31.73	26.26	27.90	7,626,576	0
Nov 30, 2020	26.20	31.41	26.20	30.87	9,633,037	0
Nov 29, 2020	24.81	26.59	24.15	26.16	3,193,400	0
Nov 28, 2020	22.88	25.24	22.14	24.77	3,648,607	0
Nov 27, 2020	23.03	23.93	21.16	22.86	3,848,936	0
Nov 26, 2020	28.41	28.95	20.36	23.02	10,820,431	0
Nov 25, 2020	30.00	31.32	27.87	28.41	4,540,823	0
Nov 24, 2020	27.36	30.94	26.34	30.05	8,891,221	0
Nov 23, 2020	27.72	28.83	26.39	27.40	3,580,267	0
Nov 22, 2020	28.76	28.94	25.27	27.72	3,623,916	0
Nov 21, 2020	28.69	29.75	28.08	28.76	3,264,976	0
Nov 20, 2020	25.92	29.31	25.82	28.69	5,138,065	0
Nov 19, 2020	25.96	27.19	24.51	25.92	4,467,132	0
Nov 18, 2020	25.68	28.11	24.29	25.96	8,353,245	0
Nov 17, 2020	23.48	26.34	23.18	25.68	4,908,146	0
Nov 16, 2020	21.81	23.96	21.56	23.53	3,375,695	0
Nov 15, 2020	21.95	22.12	21.32	21.81	1,438,930	0
Nov 14, 2020	22.71	22.71	21.22	21.95	1,664,401	0
Nov 13, 2020	22.43	23.00	21.86	22.71	3,666,247	0
Nov 12, 2020	21.19	22.63	20.70	22.43	4,791,995	0
Nov 11, 2020	20.09	21.90	20.09	21.19	3,036,055	0
Nov 10, 2020	20.25	20.52	19.71	20.09	1,377,232	0
Nov 09, 2020	20.76	21.48	19.05	20.25	2,248,599	0
Nov 08, 2020	19.11	21.12	18.88	20.76	2,195,168	0
Nov 07, 2020	21.07	21.50	18.04	19.11	3,852,922	0
Nov 06, 2020	21.09	21.95	20.07	21.07	6,273,978	0
Nov 05, 2020	17.76	21.55	17.72	21.09	7,105,245	0
Nov 04, 2020	17.47	18.00	16.38	17.76	3,033,727	0
Nov 03, 2020	16.31	17.54	15.66	17.47	2,239,016	0
Nov 02, 2020	16.82	16.98	15.61	16.31	1,966,302	0
Nov 01, 2020	16.87	17.18	16.51	16.82	1,524,584	0
Oct 31, 2020	16.24	17.71	16.08	16.87	2,544,676	0
Oct 30, 2020	15.98	16.60	15.09	16.24	1,443,125	0
Oct 29, 2020	15.55	16.41	14.82	15.98	2,217,649	0
Oct 28, 2020	16.55	17.07	14.60	15.55	3,181,516	0
Oct 27, 2020	15.11	16.85	15.01	16.55	2,492,130	0
Oct 26, 2020	15.03	15.56	14.51	15.11	1,749,539	0
Oct 25, 2020	15.29	15.90	14.74	15.03	1,328,807	0
Oct 24, 2020	14.88	15.42	14.70	15.29	729,828	0
Oct 23, 2020	14.91	15.10	14.40	14.88	1,138,349	0
Oct 22, 2020	14.43	15.42	14.28	14.91	3,531,532	0
Oct 21, 2020	12.56	15.46	12.56	14.43	4,510,185	0
Oct 20, 2020	12.39	12.89	12.24	12.56	1,898,737	0
Oct 19, 2020	11.89	12.43	11.77	12.39	1,135,769	0
Oct 18, 2020	11.64	11.89	11.63	11.89	129,596	0
Oct 17, 2020	11.59	11.71	11.51	11.64	253,808	0
Oct 16, 2020	11.95	12.07	11.43	11.59	650,370	0
Oct 15, 2020	11.71	12.08	11.52	11.95	444,464	0
Oct 14, 2020	11.87	12.00	11.52	11.71	659,167	0
Oct 13, 2020	12.07	12.07	11.60	11.87	448,498	0
Oct 12, 2020	11.70	12.37	11.43	12.10	695,380	0
Oct 11, 2020	11.60	11.88	11.54	11.70	362,462	0
Oct 10, 2020	11.10	11.95	11.10	11.60	694,298	0
Oct 09, 2020	10.75	11.22	10.61	11.16	377,745	0
Oct 08, 2020	10.32	10.84	10.08	10.75	637,012	0
Oct 07, 2020	10.17	10.29	10.09	10.29	94,189.45	0
Oct 06, 2020	10.49	10.58	10.03	10.17	243,462	0
Oct 05, 2020	10.31	10.49	10.25	10.49	150,555	0
Oct 04, 2020	10.02	10.36	9.99	10.25	97,150.73	0
Oct 03, 2020	10.02	10.11	9.95	10.02	67,761.15	0
Oct 02, 2020	10.21	10.33	9.75	10.02	438,902	0
Oct 01, 2020	10.50	10.86	9.89	10.19	454,786	0
Sep 30, 2020	10.71	10.74	10.32	10.50	234,005	0
Sep 29, 2020	10.42	10.72	10.30	10.72	220,993	0
Sep 28, 2020	10.58	10.96	10.42	10.42	448,895	0
Sep 27, 2020	10.52	10.60	10.28	10.58	311,247	0
Sep 26, 2020	10.44	10.61	10.31	10.52	330,639	0
Sep 25, 2020	10.54	10.54	10.19	10.44	329,636	0
Sep 24, 2020	9.57	10.54	9.50	10.54	379,339	0
Sep 23, 2020	10.01	10.13	9.44	9.57	274,470	0
Sep 22, 2020	9.92	10.15	9.81	10.07	0	0
Sep 21, 2020	10.83	10.99	9.76	9.91	0	0
Sep 20, 2020	11.13	11.21	10.59	10.83	0	0
Sep 19, 2020	10.84	11.29	10.80	11.13	0	0
Sep 18, 2020	10.96	11.07	10.64	10.84	0	0
Sep 17, 2020	10.90	11.08	10.56	10.96	0	0
Sep 16, 2020	10.63	11.22	10.35	10.90	0	0
Sep 15, 2020	10.40	10.93	10.30	10.62	0	0
