date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001927	0.002457	0.001811	0.002456	7,390.18	89,223.21
Dec 15, 2020	0.002561	0.002574	0.001767	0.001927	7,252.18	70,010.09
Dec 14, 2020	0.002105	0.002697	0.001760	0.002560	9,353.51	92,993.74
Dec 13, 2020	0.001791	0.002654	0.001781	0.002106	6,695.46	76,490.69
Dec 12, 2020	0.001883	0.002544	0.001789	0.001790	5,749.12	65,019.85
Dec 11, 2020	0.002530	0.002533	0.001680	0.001884	8,013.92	68,421.38
Dec 10, 2020	0.002466	0.002552	0.001888	0.002534	7,421.30	92,049.12
Dec 09, 2020	0.002075	0.002611	0.001848	0.002467	6,180.67	89,609.59
Dec 08, 2020	0.002444	0.002592	0.001725	0.002075	5,542.62	75,358.93
Dec 07, 2020	0.002155	0.002712	0.001815	0.002445	8,596.05	88,802.28
Dec 06, 2020	0.002225	0.002675	0.002025	0.002154	11,103.28	78,246.52
Dec 05, 2020	0.001959	0.002618	0.001897	0.002225	5,774.71	80,820.83
Dec 04, 2020	0.002094	0.002534	0.001928	0.001959	8,713.40	71,160.98
Dec 03, 2020	0.002167	0.002196	0.002027	0.002095	46,068.81	76,084.34
Dec 02, 2020	0.002050	0.002183	0.002020	0.002167	39,318.21	78,714.93
Dec 01, 2020	0.002260	0.002264	0.001971	0.002050	49,447.25	74,459.16
Nov 30, 2020	0.001948	0.002266	0.001948	0.002260	34,642.36	82,094.18
Nov 29, 2020	0.001976	0.002049	0.001878	0.001949	47,523.64	70,781.08
Nov 28, 2020	0.001852	0.002009	0.001801	0.001976	37,292.17	71,777.63
Nov 27, 2020	0.001906	0.001940	0.001775	0.001852	33,152.87	67,278.79
Nov 26, 2020	0.002052	0.002052	0.001763	0.001905	32,188.56	69,215.23
Nov 25, 2020	0.002143	0.002156	0.002006	0.002052	42,893.88	74,537.76
Nov 24, 2020	0.002038	0.002178	0.002018	0.002143	48,598.02	77,836.83
Nov 23, 2020	0.002042	0.002222	0.001847	0.002036	41,761.46	73,952.29
Nov 22, 2020	0.002115	0.002132	0.001885	0.002044	52,180.15	74,247.12
Nov 21, 2020	0.002079	0.002127	0.001885	0.002115	47,198.50	76,821.70
Nov 20, 2020	0.001956	0.002079	0.001912	0.002079	35,855.18	75,523.02
Nov 19, 2020	0.001921	0.001970	0.001850	0.001956	39,538.48	71,064.04
Nov 18, 2020	0.001891	0.002016	0.001803	0.001920	35,307.10	69,759.74
Nov 17, 2020	0.001876	0.001914	0.001812	0.001891	41,758.54	68,697.03
Nov 16, 2020	0.001814	0.001864	0.001652	0.001784	35,652.57	64,793.12
Nov 15, 2020	0.001825	0.001841	0.001665	0.001814	32,950.86	65,887.21
Nov 14, 2020	0.001784	0.001851	0.001682	0.001824	31,618.46	66,275.00
Nov 13, 2020	0.001813	0.001877	0.001718	0.001784	35,414.15	64,800.47
Nov 12, 2020	0.001708	0.001850	0.001668	0.001813	43,868.24	65,852.32
Nov 11, 2020	0.001716	0.001834	0.001616	0.001709	38,053.65	62,067.27
Nov 10, 2020	0.001727	0.001754	0.001645	0.001716	32,808.10	62,339.34
Nov 09, 2020	0.001925	0.001938	0.001638	0.001728	39,655.66	62,761.24
