date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003689	0.004077	0.003667	0.004049	0	0
Dec 15, 2020	0.003849	0.003905	0.003679	0.003690	0.000001	0
Dec 14, 2020	0.003828	0.003861	0.003803	0.003849	0	0
Dec 13, 2020	0.003761	0.003876	0.003747	0.003828	0	0
Dec 12, 2020	0.003612	0.003784	0.003609	0.003761	0	0
Dec 11, 2020	0.003653	0.003654	0.003525	0.003611	0	0
Dec 10, 2020	0.003711	0.003711	0.003591	0.003653	0	0
Dec 09, 2020	0.003664	0.003725	0.003588	0.003711	0	0
Dec 08, 2020	0.003839	0.003857	0.003654	0.003666	0	0
Dec 07, 2020	0.003868	0.003882	0.003786	0.003839	0	0
Dec 06, 2020	0.003831	0.003878	0.003780	0.003867	0.000002	0
Dec 05, 2020	0.005237	0.005296	0.003774	0.003829	0.000002	0
Dec 04, 2020	0.003695	0.005355	0.003643	0.005252	0.000020	0
Dec 03, 2020	0.004033	0.005827	0.003657	0.003694	0.000401	0
Dec 02, 2020	0.003761	0.004039	0.002636	0.004033	0.000005	0
Dec 01, 2020	0.003729	0.004366	0.003670	0.003761	9.80e-7	0
Nov 30, 2020	0.003454	0.003752	0.003454	0.003729	0	0
Nov 29, 2020	0.003366	0.003474	0.003336	0.003454	0	0
Nov 28, 2020	0.003251	0.003392	0.003213	0.003366	0	0
Nov 27, 2020	0.003258	0.003315	0.003140	0.003251	0	0
Nov 26, 2020	0.003559	0.003585	0.003107	0.003253	0	0
Nov 25, 2020	0.003630	0.003684	0.003530	0.003559	0	0
Nov 24, 2020	0.003489	0.003676	0.003444	0.003631	0.000001	0
Nov 23, 2020	0.003490	0.003555	0.003420	0.003487	0	0
Nov 22, 2020	0.003542	0.003551	0.003358	0.003491	0	0
Nov 21, 2020	0.003166	0.003583	0.003136	0.003542	0.000002	0
Nov 20, 2020	0.003029	0.003191	0.003020	0.003166	0	0
Nov 19, 2020	0.003027	0.003080	0.002955	0.003029	0	0
Nov 18, 2020	0.003000	0.003127	0.002950	0.003026	0	0
Nov 17, 2020	0.002837	0.003023	0.002816	0.003000	0	0
Nov 16, 2020	0.002712	0.002859	0.002700	0.002842	0	0
Nov 15, 2020	0.002732	0.002741	0.002685	0.002712	0	0
Nov 14, 2020	0.002774	0.002774	0.002677	0.002731	0	0
Nov 13, 2020	0.002767	0.002799	0.002719	0.002774	0	0
Nov 12, 2020	0.002669	0.002772	0.002641	0.002767	0	0
Nov 11, 2020	0.002599	0.002706	0.002599	0.002670	0	0
Nov 10, 2020	0.002607	0.002627	0.002571	0.002600	0	0
Nov 09, 2020	0.002632	0.002683	0.002527	0.002607	0	0
Nov 08, 2020	0.002522	0.002658	0.002507	0.002633	0	0
Nov 07, 2020	0.002646	0.002675	0.002452	0.002524	0	0
Nov 06, 2020	0.003428	0.003496	0.002589	0.002644	3.50e-7	0
Nov 05, 2020	0.003109	0.003455	0.003102	0.003428	0	0
Nov 04, 2020	0.003069	0.003128	0.002988	0.003109	0	0
Nov 03, 2020	0.002981	0.003077	0.002932	0.003061	0	0
Nov 02, 2020	0.002610	0.003023	0.002593	0.002983	3.00e-7	0
Nov 01, 2020	0.002618	0.002634	0.002589	0.002605	0	0
Oct 31, 2020	0.002574	0.002665	0.002557	0.002618	0	0
Oct 30, 2020	0.002553	0.002594	0.002496	0.002574	0	0
Oct 29, 2020	0.002522	0.002586	0.002466	0.002555	0	0
Oct 28, 2020	0.002594	0.002629	0.002457	0.002522	0	0
Oct 27, 2020	0.002484	0.002614	0.002482	0.002591	0	0
Oct 26, 2020	0.002476	0.002513	0.002436	0.002484	0	0
Oct 25, 2020	0.002491	0.002533	0.002453	0.002475	0	0
Oct 24, 2020	0.002457	0.002498	0.002448	0.002491	0	0
Oct 23, 2020	0.002464	0.002473	0.002423	0.002456	0	0
Oct 22, 2020	0.002437	0.002501	0.002416	0.002464	0	0
Oct 21, 2020	0.002264	0.002505	0.002261	0.002437	0	0
Oct 20, 2020	0.002231	0.002280	0.002220	0.002264	0	0
Oct 19, 2020	0.002182	0.002242	0.002168	0.002231	0	0
Oct 18, 2020	0.002158	0.002182	0.002156	0.002182	0	0
Oct 17, 2020	0.003397	0.003416	0.002156	0.002158	0	0
Oct 16, 2020	0.003449	0.003462	0.003367	0.003397	0	0
Oct 15, 2020	0.003429	0.003471	0.003391	0.003449	0	0
Oct 14, 2020	0.003428	0.003462	0.003392	0.003429	0	0
Oct 13, 2020	0.003467	0.003467	0.003396	0.003428	0	0
Oct 12, 2020	0.003415	0.003510	0.003372	0.003467	0	0
Oct 11, 2020	0.003389	0.003429	0.003387	0.003415	0	0
Oct 10, 2020	0.003319	0.003433	0.003317	0.003389	0	0
Oct 09, 2020	0.003275	0.003331	0.003254	0.003319	0	0
Oct 08, 2020	0.003201	0.003284	0.003169	0.003275	0	0
Oct 07, 2020	0.003181	0.003204	0.003169	0.003201	0	0
Oct 06, 2020	0.003238	0.003239	0.003159	0.003181	0	0
Oct 05, 2020	0.003201	0.003238	0.003190	0.003238	0	0
Oct 04, 2020	0.003165	0.003206	0.003160	0.003201	0	0
Oct 03, 2020	0.003173	0.003180	0.003153	0.003165	0	0
Oct 02, 2020	0.003186	0.003197	0.003125	0.003173	0	0
Oct 01, 2020	0.003235	0.003280	0.003142	0.003186	0	0
Sep 30, 2020	0.002060	0.003249	0.002027	0.003235	0	0
Sep 29, 2020	0.002035	0.002063	0.002023	0.002060	0	0
Sep 28, 2020	0.002047	0.002080	0.002034	0.002035	0	0
Sep 27, 2020	0.002043	0.002053	0.002018	0.002047	0	0
Sep 26, 2020	0.002032	0.002047	0.002027	0.002043	0	0
Sep 25, 2020	0.002044	0.002048	0.002010	0.002032	0	0
Sep 24, 2020	0.001947	0.002047	0.001944	0.002044	0	0
Sep 23, 2020	0.002001	0.002002	0.001938	0.001947	0	0
Sep 22, 2020	0.002088	0.002088	0.002088	0.002088	0	0
