date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.14	1.45	1.14	1.44	1,761,020	0
Dec 15, 2020	1.16	1.18	1.07	1.14	1,279,130	0
Dec 14, 2020	1.13	1.21	1.06	1.16	1,279,605	0
Dec 13, 2020	1.18	1.18	1.05	1.13	1,287,814	0
Dec 12, 2020	1.03	1.19	1.02	1.18	1,464,023	0
Dec 11, 2020	1.07	1.24	0.981828	1.03	1,293,028	0
Dec 10, 2020	1.24	1.24	1.06	1.07	1,259,212	0
Dec 09, 2020	1.10	1.30	0.991167	1.24	1,537,797	0
Dec 08, 2020	1.54	1.56	1.10	1.10	1,367,409	0
Dec 07, 2020	1.76	2.05	1.39	1.54	1,435,692	0
Dec 06, 2020	0.976768	1.83	0.976768	1.76	1,753,838	0
Dec 05, 2020	0.627590	0.976748	0.537569	0.976748	921,513	0
Dec 04, 2020	0.712896	0.715048	0.621761	0.627611	676,236	0
Dec 03, 2020	0.668820	0.727906	0.665247	0.712900	794,869	0
Dec 02, 2020	0.538273	0.669353	0.536483	0.668812	304,220	0
Dec 01, 2020	0.813978	0.826443	0.508996	0.538290	256,240	0
Nov 30, 2020	0.801136	0.836736	0.801136	0.813960	664,581	0
Nov 29, 2020	0.749800	0.827292	0.749696	0.801147	513,938	0
Nov 28, 2020	0.701312	0.754702	0.701312	0.749806	498,661	0
Nov 27, 2020	0.916621	0.916675	0.695815	0.701295	474,900	0
Nov 26, 2020	0.996558	0.997442	0.757065	0.916543	742,614	0
Nov 25, 2020	1.03	1.03	0.993026	0.996574	759,159	0
Nov 24, 2020	1.03	1.05	0.940606	1.03	3,928,058	0
Nov 23, 2020	0.903218	1.05	0.902383	1.03	840,866	0
Nov 22, 2020	0.967890	1.11	0.871206	0.903221	740,983	0
Nov 21, 2020	0.898364	1.14	0.848893	0.967890	739,454	0
Nov 20, 2020	0.999938	1.19	0.809824	0.898381	679,521	0
Nov 19, 2020	1.05	1.07	0.862344	0.999938	741,881	0
Nov 18, 2020	0.765103	1.11	0.765058	1.05	2,649,518	0
Nov 17, 2020	0.895384	0.955153	0.765065	0.765103	631,283	0
Nov 16, 2020	0.764119	0.957802	0.659772	0.874037	710,650	0
Nov 15, 2020	0.749415	1.01	0.499334	0.764119	527,130	0
Nov 14, 2020	0.724436	0.762998	0.604704	0.749415	538,059	0
Nov 13, 2020	0.641683	0.769965	0.629190	0.724431	410,287	0
Nov 12, 2020	0.607809	0.891752	0.602843	0.641688	307,935	0
Nov 11, 2020	0.528213	0.623956	0.521123	0.607809	258,247	0
Nov 10, 2020	0.564638	0.584424	0.517237	0.528217	187,110	0
Nov 09, 2020	0.525921	0.647339	0.516012	0.564642	265,826	0
Nov 08, 2020	0.520537	0.576400	0.508885	0.525920	227,571	0
