date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007573	0.008369	0.007526	0.008310	0	9,110.85
Dec 15, 2020	0.007506	0.007615	0.007441	0.007574	0	8,303.83
Dec 14, 2020	0.006126	0.007529	0.006084	0.007506	1.74	8,229.70
Dec 13, 2020	0.005829	0.006202	0.005808	0.006125	0.006127	6,715.22
Dec 12, 2020	0.005598	0.005865	0.005594	0.005830	0	6,391.41
Dec 11, 2020	0.007123	0.007125	0.005564	0.005598	0.028011	6,137.16
Dec 10, 2020	0.007236	0.007236	0.004848	0.007123	0.152817	7,809.17
Dec 09, 2020	0.007145	0.007264	0.006996	0.007236	0	7,933.07
Dec 08, 2020	0.005182	0.007364	0.005035	0.007148	11.48	7,836.51
Dec 07, 2020	0.004835	0.005198	0.002707	0.005183	16.87	5,682.64
Dec 06, 2020	0.005938	0.005992	0.002669	0.004834	17.33	5,300.15
Dec 05, 2020	0.005798	0.005940	0.005763	0.005935	0	6,506.98
Dec 04, 2020	0.006029	0.006049	0.005796	0.005815	0	6,375.58
Dec 03, 2020	0.007105	0.007130	0.004921	0.006027	11.65	6,607.99
Dec 02, 2020	0.006957	0.007144	0.006789	0.007107	0	7,791.26
Dec 01, 2020	0.007262	0.007343	0.006779	0.006958	0	7,628.02
Nov 30, 2020	0.006726	0.007307	0.006726	0.007262	0	7,961.85
Nov 29, 2020	0.005315	0.006765	0.001258	0.006726	26.58	7,374.01
Nov 28, 2020	0.007186	0.007219	0.005079	0.005315	0.100772	5,827.52
Nov 27, 2020	0.005144	0.007198	0.005005	0.007186	0.429179	7,877.98
Nov 26, 2020	0.005994	0.006037	0.004905	0.005137	1.03	5,631.75
Nov 25, 2020	0.007261	0.007337	0.005946	0.005995	12.19	6,572.40
Nov 24, 2020	0.006978	0.007352	0.006889	0.007262	0.725400	7,961.22
Nov 23, 2020	0.006981	0.007110	0.006840	0.006974	0	7,645.73
Nov 22, 2020	0.007643	0.007662	0.006861	0.006981	9.20	7,653.76
Nov 21, 2020	0.008752	0.008900	0.007589	0.007643	1.81	8,379.60
Nov 20, 2020	0.008374	0.008823	0.008350	0.008752	0	9,595.68
Nov 19, 2020	0.008368	0.008516	0.008170	0.008374	0	9,181.14
Nov 18, 2020	0.008293	0.008645	0.008156	0.008367	0	9,173.30
Nov 17, 2020	0.007510	0.008526	0.007454	0.008293	0.337512	9,092.06
Nov 16, 2020	0.006861	0.008744	0.006829	0.007522	22.76	8,246.43
Nov 15, 2020	0.007712	0.008514	0.006791	0.006864	0.986730	7,525.04
Nov 14, 2020	0.005222	0.007729	0.005048	0.007716	12.00	8,459.70
Nov 13, 2020	0.007975	0.008067	0.005178	0.005220	0.005220	5,722.61
Nov 12, 2020	0.007537	0.007989	0.004665	0.007978	10.44	8,746.58
Nov 11, 2020	0.008869	0.008982	0.007532	0.007538	55.58	8,263.83
Nov 10, 2020	0.008893	0.008961	0.008772	0.008869	0	9,723.90
Nov 09, 2020	0.008978	0.009155	0.008622	0.008893	0	9,750.03
Nov 08, 2020	0.008604	0.009070	0.008552	0.008978	0	9,842.75
Nov 07, 2020	0.009028	0.009128	0.008365	0.008603	0	9,432.43
Nov 06, 2020	0.008725	0.009143	0.008640	0.009028	7.33	9,898.11
Nov 05, 2020	0.007915	0.008796	0.007897	0.008712	0	9,551.13
Nov 04, 2020	0.007672	0.007963	0.007469	0.007915	3.00	8,677.28
Nov 03, 2020	0.007181	0.007692	0.007062	0.007653	1.97	8,390.54
Nov 02, 2020	0.007143	0.007283	0.007019	0.007186	7.70	7,878.55
Nov 01, 2020	0.007166	0.007208	0.007087	0.007130	0	7,817.36
Oct 31, 2020	0.007315	0.007315	0.006998	0.007165	3.91	7,855.48
Oct 30, 2020	0.009541	0.009676	0.006568	0.007327	35.95	8,032.52
Oct 29, 2020	0.010883	0.010908	0.009216	0.009549	13.61	10,469.25
Oct 28, 2020	0.010104	0.010906	0.009570	0.010885	1.74	11,933.51
Oct 27, 2020	0.010460	0.010502	0.009672	0.010093	0.363333	11,065.00
Oct 26, 2020	0.008992	0.011361	0.008970	0.010458	11.19	11,465.44
Oct 25, 2020	0.008258	0.009000	0.008133	0.008992	17.93	9,858.00
Oct 24, 2020	0.008147	0.008281	0.008118	0.008258	0	9,053.86
Oct 23, 2020	0.008169	0.008200	0.008034	0.008145	0	8,929.69
Oct 22, 2020	0.008720	0.008934	0.008169	0.008169	3.62	8,955.57
Oct 21, 2020	0.008103	0.008966	0.008093	0.008720	0	9,560.34
Oct 20, 2020	0.007397	0.008160	0.007359	0.008103	2.04	8,883.86
Oct 19, 2020	0.007579	0.008150	0.006617	0.007397	1.88	8,110.24
Oct 18, 2020	0.013403	0.013513	0.002398	0.007579	141.73	8,309.27
Oct 17, 2020	0.014266	0.014336	0.011207	0.013403	2.42	14,693.93
Oct 16, 2020	0.014484	0.014540	0.014141	0.014266	0	15,640.43
Oct 15, 2020	0.014401	0.014578	0.014243	0.014484	0	15,879.43
Oct 14, 2020	0.013483	0.014540	0.013481	0.014401	0.100602	15,788.80
Oct 13, 2020	0.011902	0.013625	0.011793	0.013483	2.35	14,781.64
Oct 12, 2020	0.013433	0.014126	0.011578	0.011902	5.41	13,048.80
Oct 11, 2020	0.012991	0.013486	0.012982	0.013433	5.09	14,727.71
Oct 10, 2020	0.012724	0.013159	0.012715	0.012991	0	14,242.52
Oct 09, 2020	0.012553	0.012768	0.012474	0.012724	1.11	13,950.13
Oct 08, 2020	0.012269	0.012588	0.012147	0.012553	0	13,762.46
Oct 07, 2020	0.012195	0.012283	0.012147	0.012269	0	13,451.54
Oct 06, 2020	0.013923	0.013929	0.012108	0.012195	1.06	13,370.05
Oct 05, 2020	0.015042	0.015127	0.011222	0.013923	17.27	15,264.60
Oct 04, 2020	0.011604	0.015067	0.011588	0.015042	11.73	16,490.90
Oct 03, 2020	0.015758	0.015827	0.011586	0.011604	10.55	12,722.36
Oct 02, 2020	0.015292	0.017003	0.014249	0.015758	27.50	17,276.54
Oct 01, 2020	0.009706	0.016517	0.009706	0.015292	31.86	16,765.47
Sep 30, 2020	0.009435	0.009723	0.009105	0.009167	10.78	10,050.47
Sep 29, 2020	0.009317	0.009448	0.009265	0.009435	0	10,343.91
Sep 28, 2020	0.009374	0.009522	0.009312	0.009317	0	10,215.16
Sep 27, 2020	0.009031	0.009399	0.008923	0.009375	2.16	10,277.95
Sep 26, 2020	0.009517	0.009588	0.008973	0.009031	0	9,900.73
Sep 25, 2020	0.009576	0.009592	0.009415	0.009517	0	10,433.46
Sep 24, 2020	0.009324	0.009740	0.009311	0.009576	1.08	10,499.18
Sep 23, 2020	0.009586	0.009589	0.009280	0.009324	0	10,222.42
Sep 22, 2020	0.009942	0.009942	0.009942	0.009942	0	10,899.89
Sep 21, 2020	0.009942	0.009942	0.009942	0.009942	0	10,899.89
Sep 20, 2020	0.010091	0.010091	0.009829	0.009942	0	10,899.89
Sep 19, 2020	0.009952	0.010142	0.009928	0.010091	1.65	11,062.91
Sep 18, 2020	0.009690	0.009992	0.009690	0.009950	0.119185	10,909.04
Sep 17, 2020	0.009690	0.009690	0.009690	0.009690	0	10,623.71
Sep 16, 2020	0.009690	0.009690	0.009690	0.009690	0	10,623.71
Sep 15, 2020	0.009610	0.009837	0.009580	0.009690	0	10,623.71
Sep 14, 2020	0.009400	0.009780	0.009349	0.009610	1.83	10,536.12
Sep 13, 2020	0.009407	0.010250	0.009313	0.009399	2.05	10,304.56
Sep 12, 2020	0.009361	0.009435	0.009271	0.009407	0.009388	10,312.88
Sep 11, 2020	0.010143	0.010168	0.009256	0.009358	1.31	10,259.66
Sep 10, 2020	0.008084	0.010268	0.008084	0.010142	3.00	11,119.53
Sep 09, 2020	0.011723	0.011723	0.008063	0.008084	10.59	8,862.93
Sep 08, 2020	0.012027	0.012102	0.011539	0.011723	0	12,852.67
Sep 07, 2020	0.012317	0.012370	0.011730	0.012023	1.31	13,181.25
Sep 06, 2020	0.012403	0.012651	0.012241	0.012316	1.63	13,502.95
Sep 05, 2020	0.014154	0.014262	0.011019	0.012403	15.50	13,598.15
Sep 04, 2020	0.019804	0.020064	0.011217	0.014157	29.68	15,520.99
Sep 03, 2020	0.018702	0.020944	0.002573	0.019796	201.92	21,703.35
Sep 02, 2020	0.018702	0.018702	0.018702	0.018702	0	20,504.53
Sep 01, 2020	0.018315	0.018760	0.018184	0.018702	0	20,504.53
Aug 31, 2020	0.018151	0.018956	0.017967	0.018321	0.353931	20,086.10
Aug 30, 2020	0.017467	0.025596	0.017451	0.018147	14.57	19,895.16
Aug 29, 2020	0.020987	0.021006	0.017413	0.017477	0.734034	19,160.95
Aug 28, 2020	0.019455	0.021561	0.012000	0.020983	60.31	23,004.81
Aug 27, 2020	0.018483	0.031138	0.018463	0.019454	32.95	21,328.74
Aug 26, 2020	0.030753	0.030891	0.018448	0.018489	16.26	20,270.22
Aug 25, 2020	0.014490	0.034719	0.014490	0.030791	546.93	33,757.31
Aug 24, 2020	0.014490	0.014490	0.014490	0.014490	0	15,885.89
Aug 23, 2020	0.014593	0.014600	0.014471	0.014490	0	15,885.89
Aug 22, 2020	0.010056	0.014597	0.009953	0.014595	36.14	16,000.83
Aug 21, 2020	0.008667	0.012702	0.008618	0.010051	10.60	11,018.98
Aug 20, 2020	0.017372	0.017372	0.008639	0.008668	36.10	9,503.08
Aug 19, 2020	0.017372	0.017372	0.017372	0.017372	0	19,046.32
Aug 18, 2020	0.017755	0.017888	0.017293	0.017372	0	19,046.32
Aug 17, 2020	0.016548	0.017932	0.016396	0.017759	0.141790	19,470.30
Aug 16, 2020	0.014846	0.016548	0.014773	0.016548	5.47	18,142.64
Aug 15, 2020	0.017297	0.017565	0.014718	0.014849	1.42	16,279.64
Aug 14, 2020	0.015816	0.017873	0.015321	0.017291	67.24	18,957.19
Aug 13, 2020	0.015978	0.016079	0.015593	0.015816	0	17,340.42
Aug 12, 2020	0.015634	0.016028	0.015098	0.015977	3.55	17,516.67
Aug 11, 2020	0.016287	0.016346	0.015574	0.015634	0	17,140.72
Aug 10, 2020	0.015432	0.016317	0.015395	0.016281	1.41	17,849.94
Aug 09, 2020	0.014937	0.017057	0.014785	0.015426	3.76	16,912.46
Aug 08, 2020	0.019722	0.019810	0.014835	0.014932	14.81	16,371.23
Aug 07, 2020	0.016365	0.022865	0.016339	0.019716	39.52	21,615.20
Aug 06, 2020	0.020553	0.020640	0.016187	0.016367	4.82	17,944.42
Aug 05, 2020	0.014448	0.020622	0.014285	0.020553	5.35	22,533.81
Aug 04, 2020	0.013046	0.014519	0.013035	0.014446	4.98	15,838.32
Aug 03, 2020	0.012561	0.014416	0.012561	0.013047	1.98	14,303.91
Aug 02, 2020	0.013180	0.013475	0.012224	0.012561	0	13,771.33
Aug 01, 2020	0.012880	0.015125	0.011868	0.013182	78.55	14,451.83
Jul 31, 2020	0.012654	0.013014	0.012513	0.012880	0	14,120.60
Jul 30, 2020	0.013316	0.013321	0.011443	0.012655	78.98	13,874.72
Jul 29, 2020	0.012659	0.013575	0.012529	0.013316	12.63	14,599.30
Jul 28, 2020	0.011972	0.013258	0.011806	0.012654	14.83	13,873.52
Jul 27, 2020	0.010895	0.012357	0.010528	0.011973	36.19	13,126.32
Jul 26, 2020	0.013551	0.013571	0.010717	0.010895	10.44	11,944.63
Jul 25, 2020	0.010585	0.013575	0.010576	0.013549	30.72	14,854.30
Jul 24, 2020	0.009529	0.010722	0.009529	0.010583	0.010562	11,603.13
Jul 23, 2020	0.009529	0.009529	0.009529	0.009529	0	10,446.70
Jul 22, 2020	0.009529	0.009529	0.009529	0.009529	0	10,446.70
Jul 21, 2020	0.009529	0.009529	0.009529	0.009529	0	10,446.70
Jul 20, 2020	0.009565	0.009646	0.009521	0.009529	0	10,446.70
Jul 19, 2020	0.010250	0.010256	0.009450	0.009550	6.52	10,470.38
Jul 18, 2020	0.013352	0.013460	0.009927	0.010250	17.44	11,237.76
Jul 17, 2020	0.010366	0.018322	0.010366	0.013355	17.13	14,642.19
Jul 16, 2020	0.010366	0.010366	0.010366	0.010366	0	11,364.53
Jul 15, 2020	0.010366	0.010366	0.010366	0.010366	0	11,364.53
Jul 14, 2020	0.010366	0.010366	0.010366	0.010366	0	11,364.53
Jul 13, 2020	0.010390	0.010459	0.010317	0.010366	0	11,364.53
Jul 12, 2020	0.010230	0.010435	0.010230	0.010390	0.031108	11,391.21
Jul 11, 2020	0.010304	0.010350	0.010207	0.010230	0	11,215.27
Jul 10, 2020	0.010655	0.010681	0.010177	0.010303	3.15	11,295.48
Jul 09, 2020	0.010187	0.010953	0.009545	0.010654	9.58	11,680.67
Jul 08, 2020	0.009404	0.010225	0.007223	0.010186	37.73	11,167.40
Jul 07, 2020	0.009404	0.009404	0.009404	0.009404	0	10,310.54
Jul 06, 2020	0.009404	0.009404	0.009404	0.009404	0	10,310.54
Jul 05, 2020	0.009479	0.009599	0.009329	0.009404	0	10,310.54
Jul 04, 2020	0.009994	0.009994	0.009440	0.009479	0.009479	10,392.18
Jul 03, 2020	0.010014	0.010085	0.009967	0.009994	0	10,957.27
Jul 02, 2020	0.010239	0.010245	0.009917	0.010016	5.19	10,980.97
Jul 01, 2020	0.009287	0.011887	0.009107	0.010235	73.72	11,220.93
Jun 30, 2020	0.009287	0.009287	0.009287	0.009287	0	10,181.90
Jun 29, 2020	0.009303	0.009375	0.009262	0.009287	0	10,181.90
Jun 28, 2020	0.009134	0.009392	0.009134	0.009303	0.148848	10,199.34
Jun 27, 2020	0.009134	0.009134	0.009134	0.009134	0	10,013.75
Jun 26, 2020	0.009249	0.009316	0.009122	0.009134	0	10,013.75
Jun 25, 2020	0.009709	0.010215	0.009203	0.009251	0.350985	10,142.39
Jun 24, 2020	0.009709	0.009709	0.009709	0.009709	0	10,644.15
Jun 23, 2020	0.009709	0.009709	0.009709	0.009709	0	10,644.15
Jun 22, 2020	0.009709	0.009709	0.009709	0.009709	0	10,644.15
Jun 21, 2020	0.009693	0.009790	0.009684	0.009709	0	10,644.15
Jun 20, 2020	0.009401	0.009783	0.009401	0.009699	3.87	10,633.12
Jun 19, 2020	0.009515	0.009515	0.009368	0.009401	0	10,306.61
Jun 18, 2020	0.009377	0.009569	0.009323	0.009503	3.80	10,419.09
Jun 17, 2020	0.009048	0.009445	0.008965	0.009377	19.40	10,280.49
Jun 16, 2020	0.010757	0.010914	0.009048	0.009048	8.47	9,919.34
Jun 15, 2020	0.010219	0.010832	0.009768	0.010754	0.837167	11,790.58
Jun 14, 2020	0.011361	0.011371	0.010178	0.010219	0.255486	11,204.10
Jun 13, 2020	0.011021	0.011386	0.010887	0.011369	1.41	12,464.61
Jun 12, 2020	0.010806	0.011038	0.010748	0.011021	0	12,082.50
Jun 11, 2020	0.011148	0.011226	0.010656	0.010810	1.12	11,851.93
Jun 10, 2020	0.012172	0.012172	0.011034	0.011148	2.74	12,222.31
