date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.560217	0.603397	0.549185	0.570673	90,613.01	6,674,112
Dec 15, 2020	0.554046	0.640467	0.545746	0.561986	127,009	6,570,935
Dec 14, 2020	0.519465	0.560874	0.500332	0.554158	27,943.23	6,477,932
Dec 13, 2020	0.483020	0.524793	0.483020	0.519317	15,979.23	6,069,259
Dec 12, 2020	0.493045	0.517950	0.482920	0.482987	23,990.63	5,643,302
Dec 11, 2020	0.554755	0.578779	0.456637	0.493040	163,155	5,759,440
Dec 10, 2020	0.522361	0.610511	0.507156	0.554819	317,871	6,479,732
Dec 09, 2020	0.519839	0.551236	0.501022	0.522196	42,215.05	6,097,305
Dec 08, 2020	0.544083	0.560931	0.517494	0.519705	34,835.05	6,066,764
Dec 07, 2020	0.576046	0.578304	0.527244	0.544133	62,791.09	6,350,436
Dec 06, 2020	0.605590	0.614075	0.566927	0.575916	47,086.35	6,719,741
Dec 05, 2020	0.607609	0.608033	0.584247	0.605453	25,282.47	7,062,696
Dec 04, 2020	0.591367	0.640752	0.560478	0.607685	81,632.50	7,087,061
Dec 03, 2020	0.594737	0.695338	0.585344	0.591355	68,013.40	6,894,963
Dec 02, 2020	0.553993	0.601750	0.543846	0.594651	51,116.53	6,931,732
Dec 01, 2020	0.592068	0.596217	0.532503	0.554255	42,106.04	6,459,298
Nov 30, 2020	0.550851	0.596547	0.536145	0.596547	28,605.34	6,950,507
Nov 29, 2020	0.554026	0.563814	0.532700	0.550877	30,097.81	6,416,815
Nov 28, 2020	0.568649	0.568649	0.531727	0.554032	42,105.70	6,452,046
Nov 27, 2020	0.488509	0.566059	0.466293	0.566059	71,485.69	6,590,556
Nov 26, 2020	0.587994	0.595279	0.445505	0.488608	115,842	5,687,443
Nov 25, 2020	0.633471	0.661190	0.567982	0.588239	191,034	6,845,695
Nov 24, 2020	0.646380	0.693904	0.587688	0.633032	204,266	7,365,173
Nov 23, 2020	0.588327	0.678143	0.586238	0.646459	146,007	7,519,935
Nov 22, 2020	0.602963	0.625022	0.544621	0.588372	247,791	6,842,647
Nov 21, 2020	0.632735	0.657471	0.568008	0.602950	153,785	7,010,547
Nov 20, 2020	0.536036	0.697226	0.524026	0.632767	460,947	7,355,576
Nov 19, 2020	0.555347	0.555878	0.515556	0.536052	87,223.24	6,230,024
Nov 18, 2020	0.606275	0.621816	0.513414	0.555286	185,342	6,450,025
Nov 17, 2020	0.539764	0.623928	0.530251	0.606247	227,240	7,036,983
Nov 16, 2020	0.482816	0.585313	0.469795	0.562643	483,297	6,526,264
Nov 15, 2020	0.507042	0.525247	0.463339	0.482818	206,182	5,596,420
Nov 14, 2020	0.481633	0.523009	0.459049	0.507016	190,620	5,872,745
Nov 13, 2020	0.405385	0.521827	0.405378	0.481635	400,389	5,574,765
Nov 12, 2020	0.387193	0.449275	0.382893	0.405354	199,706	4,695,866
Nov 11, 2020	0.385403	0.403648	0.385367	0.387197	38,229.60	4,482,406
Nov 10, 2020	0.371799	0.391356	0.367645	0.385430	32,453.24	4,458,754
Nov 09, 2020	0.366834	0.385935	0.355665	0.371823	86,830.44	4,295,205
Nov 08, 2020	0.364756	0.375802	0.351048	0.366818	33,591.15	4,227,022
Nov 07, 2020	0.398997	0.404826	0.357025	0.364751	36,212.93	4,192,017
Nov 06, 2020	0.394658	0.403043	0.386222	0.398995	18,328.30	4,574,327
Nov 05, 2020	0.374852	0.429323	0.369868	0.394665	61,033.58	4,514,419
Nov 04, 2020	0.364905	0.382543	0.364721	0.374802	14,397,411	4,276,699
Nov 03, 2020	0.401550	0.401650	0.364766	0.364905	14,125,462	4,153,390
Nov 02, 2020	0.398462	0.401596	0.398452	0.401550	15,094,750	4,559,249
Nov 01, 2020	0.426831	0.429335	0.398448	0.398462	14,631,201	4,512,968
Oct 31, 2020	0.424640	0.426963	0.418731	0.426831	15,343,347	4,822,267
Oct 30, 2020	0.443168	0.489252	0.405438	0.424640	14,775,693	4,785,493
Oct 29, 2020	0.444078	0.444129	0.418853	0.443168	15,695,452	4,980,895
Oct 28, 2020	0.428156	0.528680	0.401300	0.444078	16,235,487	4,979,834
Oct 27, 2020	0.409734	0.441943	0.355737	0.428156	14,996,760	4,790,104
Oct 26, 2020	0.443311	0.446588	0.400089	0.409734	14,992,862	4,572,675
Oct 25, 2020	0.454693	0.454811	0.416824	0.443311	14,917,447	3,210,599
Oct 24, 2020	0.416999	0.454824	0.416158	0.454693	15,897,484	3,293,032
Oct 23, 2020	0.437757	0.442683	0.416962	0.416999	14,378,687	3,020,041
Oct 22, 2020	0.439437	0.452061	0.385582	0.437799	106,861	3,170,683
Oct 21, 2020	0.434226	0.588811	0.397311	0.439437	127,239	3,182,544
Oct 20, 2020	0.415960	0.457184	0.411583	0.434069	82,361.96	3,143,668
Oct 19, 2020	0.389694	0.437566	0.385757	0.415959	51,905.62	3,012,506
Oct 18, 2020	0.435849	0.454883	0.386382	0.389694	93,840.94	2,822,289
Oct 17, 2020	0.447534	0.488337	0.430346	0.435953	69,599.08	3,157,314
Oct 16, 2020	0.472564	0.488490	0.428549	0.447534	61,347.48	3,241,186
Oct 15, 2020	0.448230	0.556468	0.430355	0.472564	159,248	3,422,458
Oct 14, 2020	0.481673	0.512201	0.437188	0.448230	105,017	3,246,227
Oct 13, 2020	0.472392	0.499396	0.444477	0.481169	96,781.38	3,484,784
Oct 12, 2020	0.473452	0.493865	0.441604	0.472392	117,692	3,421,214
Oct 11, 2020	0.429784	0.473453	0.420512	0.473452	135,829	3,428,889
Oct 10, 2020	0.406054	0.449910	0.389245	0.429784	46,096.79	3,112,631
Oct 09, 2020	0.410870	0.467051	0.367597	0.406195	68,542.96	2,941,796
Oct 08, 2020	0.403960	0.439061	0.350380	0.410870	101,029	2,975,655
Oct 07, 2020	0.437700	0.437700	0.386777	0.403960	9,978,669	2,925,612
Oct 06, 2020	0.512252	0.520804	0.437700	0.437700	10,044,578	3,169,965
Oct 05, 2020	0.495223	0.513322	0.466352	0.512252	134,805	3,709,895
Oct 04, 2020	0.496369	0.545479	0.492242	0.495222	319,037	3,586,558
Oct 03, 2020	0.417820	0.512142	0.383917	0.496369	342,849	3,594,866
Oct 02, 2020	0.488848	0.492850	0.394281	0.417820	210,775	3,025,987
Oct 01, 2020	0.592059	0.592059	0.480098	0.488848	231,754	3,540,393
Sep 30, 2020	0.656126	0.656628	0.584250	0.592059	250,212	4,287,884
Sep 29, 2020	0.651288	0.745399	0.447192	0.661427	274,985	4,790,266
Sep 28, 2020	0.736460	0.761831	0.546415	0.651288	451,635	0
Sep 27, 2020	0.838553	0.851241	0.687329	0.736461	348,077	0
Sep 26, 2020	0.806739	0.839113	0.633273	0.838553	591,626	0
Sep 25, 2020	0.882898	8.54	0.769163	0.806739	775,415	0
Sep 24, 2020	1.74	1.74	0.709556	0.884867	2,133,737	0
