date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.010630	0.010673	0.010595	0.010629	344,555	10,629,099
Dec 15, 2020	0.010639	0.010681	0.010588	0.010640	267,463	10,640,060
Dec 14, 2020	0.010619	0.010674	0.010607	0.010639	299,702	10,639,044
Dec 13, 2020	0.010635	0.010677	0.010450	0.010620	268,358	10,619,616
Dec 12, 2020	0.010645	0.010680	0.010614	0.010635	284,437	10,635,308
Dec 11, 2020	0.010472	0.010674	0.010390	0.010645	258,901	10,644,795
Dec 10, 2020	0.010294	0.010537	0.010204	0.010472	351,723	10,472,178
Dec 09, 2020	0.009477	0.010525	0.009279	0.010293	211,301	10,293,415
Dec 08, 2020	0.010346	0.010356	0.009358	0.009477	130,742	9,477,302
Dec 07, 2020	0.010321	0.010366	0.010023	0.010335	527,948	10,335,402
Dec 06, 2020	0.011396	0.011457	0.004758	0.010321	124,186	10,321,034
Dec 05, 2020	0.011062	0.011517	0.010896	0.011416	693,206	11,416,228
Dec 04, 2020	0.011800	0.011990	0.010709	0.011062	188,523	11,062,426
Dec 03, 2020	0.012078	0.012089	0.011686	0.011800	183,628	11,799,987
Dec 02, 2020	0.014889	0.015198	0.011557	0.012067	365,547	12,067,466
Dec 01, 2020	0.014656	0.015723	0.014464	0.014889	727,631	14,888,509
Nov 30, 2020	0.013942	0.015311	0.013453	0.014656	699,364	14,656,224
Nov 29, 2020	0.013844	0.014609	0.013677	0.013942	573,775	13,942,465
Nov 28, 2020	0.014137	0.014534	0.013723	0.013784	539,485	13,783,723
Nov 27, 2020	0.015702	0.016027	0.013668	0.014067	273,044	14,066,721
Nov 26, 2020	0.015351	0.016840	0.014012	0.015701	318,713	15,700,503
Nov 25, 2020	0.014797	0.017222	0.013823	0.015351	1,288,383	15,351,071
Nov 24, 2020	0.015651	0.015935	0.014092	0.014877	1,232,098	14,876,728
Nov 23, 2020	0.014252	0.015942	0.013219	0.015761	391,942	15,760,792
Nov 22, 2020	0.014484	0.014969	0.013226	0.014252	31,814.45	14,252,184
Nov 21, 2020	0.015128	0.015641	0.013856	0.014484	11,158.43	14,484,344
Nov 20, 2020	0.015772	0.016695	0.015059	0.015128	302,019	15,128,191
Nov 19, 2020	0.017086	0.018417	0.012781	0.015772	502,012	15,772,091
Nov 18, 2020	0.016164	0.018971	0.015119	0.017086	1,649,357	17,085,896
Nov 17, 2020	0.016816	0.017323	0.014877	0.016164	1,611,041	16,163,619
Nov 16, 2020	0.016380	0.017137	0.014550	0.016807	1,979,780	16,806,640
Nov 15, 2020	0.016315	0.016657	0.014635	0.016380	80,271.81	16,380,463
Nov 14, 2020	0.016416	0.016779	0.014710	0.016315	80,970.38	16,314,595
Nov 13, 2020	0.017267	0.017340	0.015357	0.016416	55,524.86	16,415,635
Nov 12, 2020	0.018333	0.018809	0.016201	0.017267	35,766.70	17,266,861
Nov 11, 2020	0.014069	0.018349	0.013147	0.018333	23,227.48	18,332,862
Nov 10, 2020	0.015317	0.017903	0.014068	0.014069	25,109.37	14,068,557
Nov 09, 2020	0.013612	0.015609	0.013451	0.015317	42,353.52	15,316,560
Nov 08, 2020	0	0.014198	0	0.013612	36,425.67	13,611,505
Nov 07, 2020	0.013988	0.014026	0	0	0	0
Nov 06, 2020	0.012511	0.018011	0.012104	0.013988	12,028.41	13,988,182
Nov 05, 2020	0.011826	0.015012	0.010756	0.012511	14,089.86	12,511,383
Nov 04, 2020	0.011447	0.014094	0.010752	0.011826	5,872.96	11,825,810
Nov 03, 2020	0.014958	0.015356	0.009718	0.011445	14,484.03	11,445,035
Nov 02, 2020	0.015416	0.016156	0.014444	0.014958	35,995.24	14,957,825
Nov 01, 2020	0.017039	0.017076	0.015114	0.015416	1,294.06	15,415,837
Oct 31, 2020	0.017255	0.017338	0.015142	0.017039	1,172.17	17,039,038
Oct 30, 2020	0.017127	0.019566	0.015370	0.017255	19,389.47	17,254,609
