date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.244345	0.266558	0.235655	0.252777	11,778,333	35,542,957
Dec 15, 2020	0.230634	0.244351	0.225384	0.244351	7,242,626	34,358,254
Dec 14, 2020	0.217669	0.230546	0.214848	0.230546	7,431,862	32,417,076
Dec 13, 2020	0.211268	0.221946	0.205307	0.217675	6,675,296	30,607,270
Dec 12, 2020	0.191286	0.215449	0.191065	0.211241	7,307,501	29,702,547
Dec 11, 2020	0.210805	0.211875	0.185446	0.191687	8,517,572	26,953,166
Dec 10, 2020	0.227838	0.228408	0.203038	0.210792	7,526,849	29,639,514
Dec 09, 2020	0.236313	0.236667	0.207146	0.227596	11,950,597	32,002,327
Dec 08, 2020	0.267051	0.267437	0.233155	0.236320	14,873,396	33,229,026
Dec 07, 2020	0.257477	0.273923	0.255214	0.267038	8,723,338	37,548,190
Dec 06, 2020	0.268426	0.270170	0.244428	0.257472	8,331,145	36,203,160
Dec 05, 2020	0.246561	0.272711	0.241132	0.268458	11,900,685	37,747,934
Dec 04, 2020	0.291013	0.313233	0.239695	0.246350	16,164,736	34,639,344
Dec 03, 2020	0.288405	0.296960	0.271316	0.291078	15,189,952	40,928,431
Dec 02, 2020	0.232590	0.291613	0.226995	0.288046	18,885,363	40,502,135
Dec 01, 2020	0.244095	0.274008	0.231600	0.232678	14,016,206	32,716,933
Nov 30, 2020	0.254952	0.256055	0.234273	0.243949	13,702,928	34,301,659
Nov 29, 2020	0.215315	0.255055	0.212114	0.254813	12,775,730	35,829,331
Nov 28, 2020	0.214969	0.229832	0.203666	0.215366	8,968,366	30,282,683
Nov 27, 2020	0.224190	0.237410	0.202129	0.214966	12,225,276	30,226,435
Nov 26, 2020	0.262265	0.275607	0.180531	0.223554	30,109,505	31,433,957
Nov 25, 2020	0.300111	0.322475	0.249373	0.263119	20,442,579	36,997,205
Nov 24, 2020	0.344055	0.371466	0.285692	0.300107	23,446,213	42,198,111
Nov 23, 2020	0.330116	0.352409	0.306115	0.344082	18,057,135	48,381,388
Nov 22, 2020	0.356370	0.357094	0.297720	0.330116	22,066,306	46,417,655
Nov 21, 2020	0.316913	0.363349	0.296059	0.356370	22,749,529	50,109,172
Nov 20, 2020	0.255716	0.328456	0.254889	0.316913	31,816,042	44,561,094
Nov 19, 2020	0.222265	0.256257	0.215014	0.255716	13,749,818	35,956,296
Nov 18, 2020	0.243921	0.245246	0.201169	0.222265	19,705,072	31,252,684
Nov 17, 2020	0.216834	0.244349	0.206764	0.243921	19,920,985	34,297,688
Nov 16, 2020	0.183280	0.224027	0.166885	0.212771	20,011,172	29,917,686
Nov 15, 2020	0.169053	0.195593	0.165421	0.183280	21,886,402	25,771,049
Nov 14, 2020	0.151322	0.169053	0.132819	0.169053	9,428,132	23,770,615
Nov 13, 2020	0.132305	0.151455	0.131410	0.151322	6,544,701	21,277,367
Nov 12, 2020	0.133833	0.144370	0.127029	0.132305	7,698,606	18,603,482
Nov 11, 2020	0.148777	0.155884	0.133201	0.133833	8,261,154	18,818,206
Nov 10, 2020	0.117785	0.154493	0.115646	0.148777	9,328,956	20,919,559
Nov 09, 2020	0.130020	0.132803	0.117274	0.117785	6,467,683	16,561,782
Nov 08, 2020	0.117574	0.133238	0.114165	0.130020	6,500,509	18,282,170
Nov 07, 2020	0.116036	0.138791	0.109948	0.117574	10,293,808	16,532,017
Nov 06, 2020	0.103880	0.117716	0.102046	0.116036	5,252,422	16,315,800
Nov 05, 2020	0.091621	0.108242	0.088477	0.103880	5,929,415	14,606,636
Nov 04, 2020	0.100151	0.101085	0.089613	0.091621	6,548,313	12,882,825
Nov 03, 2020	0.104847	0.105740	0.099248	0.100151	5,884,309	14,082,180
Nov 02, 2020	0.111504	0.117293	0.104840	0.104847	6,616,122	14,742,473
Nov 01, 2020	0.111170	0.112772	0.107541	0.111500	4,261,087	15,677,986
Oct 31, 2020	0.107325	0.117640	0.107123	0.111172	7,265,782	15,631,963
Oct 30, 2020	0.112489	0.116520	0.101475	0.107323	8,586,682	15,090,747
Oct 29, 2020	0.129078	0.135358	0.111237	0.112491	12,260,489	15,817,394
Oct 28, 2020	0.131809	0.139964	0.119625	0.129078	19,491,117	18,149,698
Oct 27, 2020	0.103566	0.131813	0.101865	0.131809	15,880,713	18,533,700
Oct 26, 2020	0.107942	0.115349	0.098164	0.103566	8,636,664	14,562,372
Oct 25, 2020	0.112540	0.115899	0.107639	0.107942	5,469,825	15,177,734
Oct 24, 2020	0.114461	0.114505	0.110625	0.112540	5,915,649	15,824,262
Oct 23, 2020	0.116458	0.122776	0.111938	0.114461	6,829,859	16,094,356
Oct 22, 2020	0.113393	0.122911	0.113393	0.116329	6,425,942	16,357,054
Oct 21, 2020	0.110172	0.117810	0.110172	0.113565	7,861,635	15,968,434
Oct 20, 2020	0.123471	0.123561	0.107379	0.110209	6,996,990	15,496,515
Oct 19, 2020	0.129902	0.129924	0.122194	0.123657	7,324,995	17,387,378
Oct 18, 2020	0.125578	0.131755	0.123846	0.129908	7,351,770	18,266,378
Oct 17, 2020	0.110549	0.126492	0.108608	0.125706	6,511,558	17,675,575
Oct 16, 2020	0.121371	0.125083	0.110099	0.110473	7,202,192	15,533,545
Oct 15, 2020	0.119397	0.121410	0.111568	0.121281	8,847,074	17,053,378
Oct 14, 2020	0.129673	0.132654	0.115532	0.119506	8,486,859	16,803,778
Oct 13, 2020	0.134095	0.136142	0.126075	0.129805	9,549,331	18,251,823
Oct 12, 2020	0.141148	0.144042	0.131075	0.134143	10,224,486	18,861,911
Oct 11, 2020	0.140754	0.144221	0.131864	0.141233	10,523,943	19,858,780
Oct 10, 2020	0.143648	0.158378	0.140008	0.140439	12,570,268	19,747,144
Oct 09, 2020	0.124168	0.147608	0.120578	0.143634	17,829,012	20,196,450
Oct 08, 2020	0.116649	0.125217	0.102993	0.123512	14,056,165	17,366,999
Oct 07, 2020	0.114214	0.116941	0.105974	0.116181	14,125,350	16,336,178
Oct 06, 2020	0.152495	0.152533	0.111849	0.114278	14,533,935	16,068,662
Oct 05, 2020	0.156814	0.160971	0.147698	0.152077	11,796,920	21,383,576
Oct 04, 2020	0.163650	0.168781	0.155765	0.156755	9,071,641	22,041,380
Oct 03, 2020	0.165732	0.171949	0.162433	0.164134	9,593,456	23,078,825
Oct 02, 2020	0.183748	0.187116	0.159825	0.165786	15,495,207	23,311,115
Oct 01, 2020	0.196353	0.207456	0.178958	0.184458	15,127,418	25,936,667
Sep 30, 2020	0.197326	0.197353	0.186373	0.195526	12,497,431	27,492,865
Sep 29, 2020	0.198426	0.204862	0.187921	0.197288	14,184,289	27,740,644
Sep 28, 2020	0.207048	0.219278	0.198054	0.198446	19,719,587	27,903,537
Sep 27, 2020	0.223598	0.232117	0.197208	0.207080	20,173,403	29,117,503
Sep 26, 2020	0.208396	0.236248	0.208042	0.224335	23,398,111	31,543,778
Sep 25, 2020	0.198411	0.215513	0.187174	0.208438	22,371,210	29,308,549
Sep 24, 2020	0.175665	0.201979	0.173649	0.197373	21,464,591	27,752,677
Sep 23, 2020	0.214285	0.221445	0.171648	0.174822	20,208,518	24,581,757
Sep 22, 2020	0.214185	0.223767	0.194663	0.213761	20,598,830	30,056,946
Sep 21, 2020	0.263922	0.271628	0.203915	0.212016	42,057,164	29,811,614
Sep 20, 2020	0.309182	0.310219	0.251612	0.263922	30,081,792	37,110,094
Sep 19, 2020	0.291334	0.316584	0.268910	0.308269	37,395,748	43,345,764
Sep 18, 2020	0.278535	0.341258	0.277144	0.290274	50,086,011	40,815,508
Sep 17, 2020	0.273023	0.301949	0.258867	0.278587	32,448,297	39,172,089
Sep 16, 2020	0.333779	0.333779	0.258135	0.273023	48,011,084	38,389,782
Sep 15, 2020	0.429354	0.444711	0.323713	0.334229	66,588,291	46,995,957
Sep 14, 2020	0.463826	0.531426	0.423016	0.429354	108,066,871	60,371,504
Sep 13, 2020	0.674995	0.692632	0.406706	0.462144	105,909,245	64,982,116
Sep 12, 2020	0.615083	0.682108	0.569425	0.674320	44,576,613	94,816,194
Sep 11, 2020	0.618447	0.637730	0.521509	0.614285	51,960,862	86,374,717
Sep 10, 2020	0.643576	0.755291	0.617758	0.617758	53,621,712	86,863,016
Sep 09, 2020	0.519445	0.687587	0.519398	0.643576	33,716,877	90,493,240
Sep 08, 2020	0.554416	0.562720	0.484617	0.518994	19,165,207	72,975,751
Sep 07, 2020	0.623204	0.637307	0.453470	0.554187	26,043,583	77,924,329
Sep 06, 2020	0.468649	0.633434	0.453528	0.622216	36,498,041	87,489,808
Sep 05, 2020	0.700657	0.792383	0.393853	0.466875	32,102,423	65,647,294
Sep 04, 2020	0.737786	0.781463	0.637913	0.699181	29,831,005	98,311,839
Sep 03, 2020	0.934521	1.10	0.714604	0.737827	43,648,111	103,745,931
Sep 02, 2020	1.04	1.16	0.915021	0.933829	46,936,581	131,305,749
Sep 01, 2020	1.27	1.53	1.03	1.04	65,765,726	146,414,518
Aug 31, 2020	1.38	1.66	1.19	1.27	102,863,109	178,608,842
Aug 30, 2020	1.12	1.41	1.09	1.38	75,727,387	193,778,431
Aug 29, 2020	0.875906	1.17	0.874389	1.12	65,737,878	158,109,981
Aug 28, 2020	0.768057	0.876330	0.759740	0.876200	13,728,450	123,202,592
Aug 27, 2020	0.721024	0.817315	0.712593	0.768431	10,440,707	108,049,115
Aug 26, 2020	0.592599	0.793433	0.588159	0.721259	12,707,675	101,416,269
Aug 25, 2020	0.664341	0.667591	0.564147	0.592943	8,839,882	83,373,770
Aug 24, 2020	0.564727	0.669266	0.561879	0.658999	9,300,064	92,661,931
Aug 23, 2020	0.530923	0.598071	0.514767	0.564501	5,985,309	79,374,499
Aug 22, 2020	0.524391	0.534549	0.506033	0.530994	4,985,592	74,663,159
Aug 21, 2020	0.500716	0.600416	0.486320	0.524634	8,798,886	73,768,840
Aug 20, 2020	0.502253	0.510503	0.483083	0.499875	5,546,617	70,287,463
Aug 19, 2020	0.524458	0.526351	0.494269	0.502253	4,978,834	70,621,815
Aug 18, 2020	0.531699	0.540997	0.506444	0.524359	6,311,828	73,730,128
