date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000465	0.000575	0.000415	0.000575	12,370.48	381,293
Dec 15, 2020	0.000469	0.000477	0.000409	0.000465	2,036.23	308,696
Dec 14, 2020	0.000416	0.000527	0.000410	0.000469	15,628.79	310,935
Dec 13, 2020	0.000407	0.000530	0.000404	0.000416	11,169.36	276,078
Dec 12, 2020	0.000487	0.000501	0.000393	0.000407	1,128.31	270,079
Dec 11, 2020	0.000501	0.000502	0.000433	0.000487	4,583.26	322,901
Dec 10, 2020	0.000513	0.000515	0.000458	0.000502	12,287.69	332,631
Dec 09, 2020	0.000499	0.000564	0.000451	0.000513	11,278.22	340,054
Dec 08, 2020	0.000588	0.000588	0.000462	0.000499	20,385.72	331,106
Dec 07, 2020	0.000539	0.000639	0.000522	0.000588	9,440.49	390,312
Dec 06, 2020	0.000450	0.000593	0.000436	0.000539	17,305.17	357,512
Dec 05, 2020	0.000454	0.000484	0.000416	0.000450	1,592.31	298,288
Dec 04, 2020	0.000548	0.000550	0.000427	0.000454	9,393.64	301,160
Dec 03, 2020	0.000535	0.000550	0.000461	0.000548	16,466.15	363,572
Dec 02, 2020	0.000523	0.000541	0.000477	0.000535	18,947.21	354,955
Dec 01, 2020	0.000548	0.000550	0.000445	0.000523	12,883.54	346,817
Nov 30, 2020	0.000502	0.000549	0.000471	0.000548	18,308.41	363,701
Nov 29, 2020	0.000485	0.000540	0.000479	0.000502	817.91	332,660
Nov 28, 2020	0.000516	0.000546	0.000484	0.000485	35,967.25	321,527
Nov 27, 2020	0.000516	0.000529	0.000455	0.000516	29,303.23	342,385
Nov 26, 2020	0.000571	0.000576	0.000437	0.000515	16,575.94	341,838
Nov 25, 2020	0.000605	0.000646	0.000540	0.000571	31,525.72	378,613
Nov 24, 2020	0.000667	0.000678	0.000549	0.000605	1,598.58	401,045
Nov 23, 2020	0.000533	0.000666	0.000514	0.000666	42,103.93	441,594
Nov 22, 2020	0.000547	0.000577	0.000499	0.000533	1,945.76	353,646
Nov 21, 2020	0.000555	0.000586	0.000508	0.000547	1,509.76	363,065
Nov 20, 2020	0.000522	0.000661	0.000518	0.000555	3,155.66	368,035
Nov 19, 2020	0.000622	0.000624	0.000498	0.000522	23,442.31	346,387
Nov 18, 2020	0.000528	0.000696	0.000514	0.000621	6,146.59	412,190
Nov 17, 2020	0.000598	0.000621	0.000507	0.000528	12,482.01	350,391
Nov 16, 2020	0.000514	0.000598	0.000464	0.000506	11,518.03	335,441
Nov 15, 2020	0.000547	0.000547	0.000490	0.000514	1,061.29	341,123
Nov 14, 2020	0.000540	0.000562	0.000488	0.000547	9,839.93	363,037
Nov 13, 2020	0.000504	0.000594	0.000458	0.000540	6,404.23	358,330
Nov 12, 2020	0.000462	0.000510	0.000408	0.000504	34,815.17	334,287
Nov 11, 2020	0.000537	0.000561	0.000456	0.000462	32,285.75	306,312
Nov 10, 2020	0.000488	0.000542	0.000445	0.000537	23,157.48	356,278
Nov 09, 2020	0.000423	0.000495	0.000406	0.000488	20,387.79	323,431
Nov 08, 2020	0.000490	0.000513	0.000422	0.000423	5,208.61	280,393
Nov 07, 2020	0.000514	0.000551	0.000423	0.000490	4,538.59	325,148
Nov 06, 2020	0.000539	0.000621	0.000490	0.000514	6,835.59	341,026
Nov 05, 2020	0.000602	0.000686	0.000526	0.000539	11,612.59	357,406
Nov 04, 2020	0.000646	0.000647	0.000560	0.000602	15,065.16	399,331
Nov 03, 2020	0.000690	0.000771	0.000570	0.000646	6,014.70	428,259
Nov 02, 2020	0.000688	0.000696	0.000643	0.000690	400.43	457,758
Nov 01, 2020	0.000797	0.000809	0.000581	0.000687	10,059.58	455,616
Oct 31, 2020	0.000824	0.000883	0.000780	0.000797	180.47	528,464
Oct 30, 2020	0.000708	0.000837	0.000704	0.000824	2,087.07	546,790
Oct 29, 2020	0.000742	0.000765	0.000690	0.000708	1,046.72	469,491
Oct 28, 2020	0.000771	0.000810	0.000731	0.000742	1,141.07	491,981
