date	open	high	low	close	volume	market_cap
Dec 16, 2020	87.30	88.65	87.02	88.11	675,145	1,560,238,004
Dec 15, 2020	87.21	87.31	87.21	87.30	701,591	1,545,902,377
Dec 14, 2020	87.22	87.26	87.18	87.21	625,152	1,544,255,866
Dec 13, 2020	87.26	87.28	87.20	87.22	785,800	1,544,365,994
Dec 12, 2020	87.26	87.30	87.25	87.26	702,292	1,545,164,842
Dec 11, 2020	87.23	87.27	87.18	87.26	499,260	1,545,088,773
Dec 10, 2020	87.25	90.04	87.19	87.23	393,592	1,544,539,741
Dec 09, 2020	87.19	88.30	51.53	87.26	496,800	1,545,048,512
Dec 08, 2020	87.27	87.27	87.18	87.20	416,975	1,543,987,551
Dec 07, 2020	87.32	92.09	87.24	87.26	449,476	1,547,568,455
Dec 06, 2020	87.26	87.33	87.24	87.32	492,962	1,548,654,248
Dec 05, 2020	47.18	90.15	47.17	87.26	738,466	1,547,467,730
Dec 04, 2020	87.29	87.32	47.18	47.18	217,095	836,745,306
Dec 03, 2020	86.98	92.33	56.53	87.29	548,217	1,548,105,563
Dec 02, 2020	87.02	87.04	86.94	86.98	558,755	1,542,486,778
Dec 01, 2020	86.84	87.08	86.79	87.02	446,518	1,543,246,221
Nov 30, 2020	85.20	86.91	85.16	86.84	428,772	1,540,076,806
Nov 29, 2020	83.79	85.21	83.78	85.20	548,952	1,510,880,229
Nov 28, 2020	83.81	83.84	83.79	83.79	397,051	1,485,982,969
Nov 27, 2020	83.88	83.89	83.77	83.81	510,097	1,486,287,976
Nov 26, 2020	77.25	83.90	77.21	83.87	644,820	1,487,415,125
Nov 25, 2020	67.02	77.34	66.99	77.26	331,678	1,370,055,201
Nov 24, 2020	67.04	67.10	66.95	67.02	550,329	1,188,485,216
Nov 23, 2020	66.98	67.07	66.97	67.04	528,734	1,188,817,441
Nov 22, 2020	66.96	67.06	66.90	66.98	482,505	1,187,781,121
Nov 21, 2020	67.06	67.06	66.94	66.96	504,494	1,187,390,091
Nov 20, 2020	67.08	67.09	67.04	67.06	449,449	1,189,236,407
Nov 19, 2020	67.06	67.09	67.02	67.08	437,304	1,189,657,147
Nov 18, 2020	60.37	67.08	60.32	67.06	193,684	1,189,221,158
Nov 17, 2020	60.34	60.37	60.13	60.37	168,230	1,070,518,919
Nov 16, 2020	60.33	60.52	22.87	60.34	161,843	1,070,072,853
Nov 15, 2020	60.31	60.33	60.29	60.33	458,476	1,069,871,150
Nov 14, 2020	60.31	60.32	60.28	60.31	166,248	1,069,605,207
Nov 13, 2020	60.31	60.35	60.10	60.31	434,813	1,069,499,818
Nov 12, 2020	60.31	60.35	60.11	60.31	617,446	1,069,408,768
Nov 11, 2020	60.35	60.36	60.09	60.31	214,255	1,069,452,966
Nov 10, 2020	60.25	60.35	60.19	60.35	450,256	1,070,091,775
Nov 09, 2020	59.23	60.38	59.20	60.25	485,300	1,068,378,999
Nov 08, 2020	59.35	59.37	59.22	59.23	255,191	1,050,331,036
Nov 07, 2020	59.31	59.37	58.98	59.35	383,451	1,052,477,007
Nov 06, 2020	59.31	59.32	59.20	59.31	438,897	1,051,754,559
Nov 05, 2020	59.33	59.35	59.25	59.31	390,024	1,051,784,220
Nov 04, 2020	59.31	59.33	59.17	59.33	279,067	1,052,060,356
Nov 03, 2020	59.25	59.34	59.19	59.31	256,117	1,051,736,449
Nov 02, 2020	58.15	59.25	58.02	59.25	362,314	1,050,647,516
Nov 01, 2020	50.33	58.16	50.31	58.15	372,876	1,031,202,092
Oct 31, 2020	52.25	52.26	50.31	50.33	192,997	892,459,836
Oct 30, 2020	47.20	52.26	47.12	52.25	353,859	926,540,805
Oct 29, 2020	48.01	48.21	47.12	47.20	655,165	836,886,011
Oct 28, 2020	40.22	48.20	38.08	48.01	197,214	851,363,938
Oct 27, 2020	40.91	42.31	38.04	40.22	276,292	713,174,641
Oct 26, 2020	41.34	41.35	39.28	40.91	377,486	725,376,194
Oct 25, 2020	37.96	41.35	37.84	41.34	241,087	733,007,342
Oct 24, 2020	37.90	37.96	37.82	37.96	260,818	673,041,559
Oct 23, 2020	37.82	37.96	37.80	37.90	377,013	672,060,712
Oct 22, 2020	37.93	37.97	37.82	37.82	380,710	670,632,342
Oct 21, 2020	39.54	39.56	37.91	37.93	361,557	672,510,236
Oct 20, 2020	35.83	39.55	35.82	39.54	336,318	701,186,762
Oct 19, 2020	35.81	35.84	35.76	35.83	318,494	635,412,390
Oct 18, 2020	35.82	35.83	35.76	35.81	379,197	635,065,018
Oct 17, 2020	35.83	35.85	35.76	35.82	307,045	635,198,255
Oct 16, 2020	35.43	35.83	35.43	35.83	346,206	635,327,462
Oct 15, 2020	35.80	35.83	35.43	35.43	504,256	628,311,509
Oct 14, 2020	35.07	35.81	35.05	35.80	387,805	634,976,548
Oct 13, 2020	32.73	35.07	32.65	35.07	585,379	621,921,810
Oct 12, 2020	35.07	35.08	32.72	32.73	0	580,505,880
Oct 11, 2020	33.58	35.07	33.58	35.07	461,383	621,979,164
Oct 10, 2020	35.52	35.52	33.57	33.58	372,143	595,564,669
Oct 09, 2020	33.59	35.52	33.58	35.52	335,503	630,052,061
Oct 08, 2020	33.58	33.60	33.57	33.59	334,168	595,750,293
Oct 07, 2020	33.58	33.59	33.53	33.58	417,105	595,539,039
Oct 06, 2020	33.58	33.59	33.57	33.58	528,540	595,670,088
Oct 05, 2020	31.52	33.59	31.52	33.58	326,821	595,674,776
Oct 04, 2020	31.37	31.55	31.37	31.52	531,806	559,210,542
Oct 03, 2020	31.19	31.38	31.18	31.37	494,105	556,535,441
Oct 02, 2020	31.06	31.23	31.06	31.19	518,810	553,211,487
Oct 01, 2020	30.06	31.12	30.04	31.06	516,875	550,906,891
Sep 30, 2020	23.13	30.06	23.12	30.06	638,689	532,962,540
Sep 29, 2020	20.42	23.13	20.41	23.13	718,436	410,128,595
Sep 28, 2020	20.43	20.44	20.19	20.42	682,401	362,071,787
Sep 27, 2020	20.43	20.46	20.18	20.43	859,437	362,397,676
Sep 26, 2020	20.43	20.45	20.23	20.43	731,371	362,486,834
