date	open	high	low	close	volume	market_cap
Dec 16, 2020	59.77	60.54	59.40	60.35	441,388	2,649,641
Dec 15, 2020	58.77	59.81	58.58	59.66	121,243	2,619,177
Dec 14, 2020	59.04	59.28	58.47	58.88	118,699	2,585,182
Dec 13, 2020	59.10	59.51	58.85	59.11	134,363	2,595,447
Dec 12, 2020	59.25	59.59	58.93	58.97	126,788	2,589,186
Dec 11, 2020	59.05	59.50	58.56	59.19	241,582	2,598,955
Dec 10, 2020	58.93	59.50	58.63	59.03	151,994	2,591,687
Dec 09, 2020	59.91	60.22	58.90	59.04	187,943	2,592,345
Dec 08, 2020	59.94	60.30	59.44	59.94	318,883	2,632,002
Dec 07, 2020	59.14	60.22	58.72	59.99	127,605	2,634,121
Dec 06, 2020	59.13	59.36	58.84	59.13	103,805	2,596,306
Dec 05, 2020	58.84	59.32	58.73	59.07	118,025	2,593,771
Dec 04, 2020	59.19	59.39	58.75	59.01	202,257	2,591,082
Dec 03, 2020	59.26	59.49	58.56	59.19	227,286	2,598,923
Dec 02, 2020	58.34	59.30	57.84	59.27	1,864,482	2,602,554
Dec 01, 2020	57.68	58.76	56.89	58.39	1,633,367	2,563,794
Nov 30, 2020	57.43	57.83	56.42	57.69	688,842	2,533,359
Nov 29, 2020	57.48	58.02	57.28	57.35	107,800	2,512,728
Nov 28, 2020	57.99	58.13	57.44	57.63	264,038	2,525,181
Nov 27, 2020	58.26	58.63	56.89	57.96	860,800	2,537,332
Nov 26, 2020	58.08	58.95	56.74	58.22	2,363,291	2,548,746
Nov 25, 2020	58.13	58.48	57.79	58.10	274,862	2,543,354
Nov 24, 2020	59.05	59.18	57.71	58.16	203,331	2,546,121
Nov 23, 2020	60.26	60.40	58.77	59.13	194,190	2,583,582
Nov 22, 2020	59.92	60.30	59.68	60.26	128,395	2,632,954
Nov 21, 2020	60.11	60.40	59.87	59.92	139,156	2,618,234
Nov 20, 2020	59.81	60.50	59.71	60.11	144,068	2,626,617
Nov 19, 2020	60.22	60.32	59.60	59.81	137,254	2,613,384
Nov 18, 2020	60.47	60.82	50.38	60.22	419,274	2,631,220
Nov 17, 2020	60.89	60.99	60.26	60.46	168,484	2,641,977
Nov 16, 2020	60.73	61.12	50.87	60.74	169,582	2,654,131
Nov 15, 2020	60.65	60.93	60.44	60.74	90,731.40	2,653,823
Nov 14, 2020	60.73	60.99	41.72	60.67	131,890	2,650,576
Nov 13, 2020	60.33	61.11	60.09	60.71	120,421	2,652,652
Nov 12, 2020	59.92	60.41	51.55	60.33	250,139	2,635,870
Nov 11, 2020	60.34	60.69	59.67	59.93	157,660	2,618,203
Nov 10, 2020	60.08	60.71	53.26	60.34	152,153	2,636,289
Nov 09, 2020	62.79	63.30	52.59	60.08	392,990	2,624,876
Nov 08, 2020	62.71	62.99	62.34	62.78	133,729	2,743,299
Nov 07, 2020	62.80	63.09	62.41	62.71	189,968	2,739,931
Nov 06, 2020	62.96	63.22	62.25	62.80	197,354	2,744,112
Nov 05, 2020	61.34	63.31	31.72	62.91	329,754	2,749,111
Nov 04, 2020	61.33	61.60	60.56	61.34	198,471	2,680,529
Nov 03, 2020	61.00	61.66	60.59	61.33	142,310	2,680,341
Nov 02, 2020	60.24	61.15	60.09	61.00	147,613	2,665,780
Nov 01, 2020	60.42	60.56	60.10	60.19	122,490	2,630,379
Oct 31, 2020	60.29	60.91	60.17	60.42	227,532	2,640,432
Oct 30, 2020	60.12	60.79	59.82	60.34	161,919	2,636,953
Oct 29, 2020	60.47	60.67	59.78	60.14	167,297	2,628,670
Oct 28, 2020	61.32	61.63	60.02	60.47	190,576	2,643,066
Oct 27, 2020	61.13	61.62	60.92	61.28	174,004	2,678,395
Oct 26, 2020	60.97	61.45	60.84	61.13	154,537	2,671,585
Oct 25, 2020	61.12	61.63	60.77	60.96	241,557	2,664,316
Oct 24, 2020	61.09	61.44	60.88	61.13	128,090	2,671,795
Oct 23, 2020	60.96	61.59	60.77	61.08	130,974	2,669,654
Oct 22, 2020	62.44	62.44	60.95	60.97	171,666	2,691,557
Oct 21, 2020	61.56	62.81	61.26	62.42	933,819	2,755,428
Oct 20, 2020	61.26	61.74	61.00	61.59	249,744	2,719,050
Oct 19, 2020	61.22	61.70	60.94	61.29	159,733	2,705,590
Oct 18, 2020	61.03	61.27	60.88	61.19	118,914	2,701,062
Oct 17, 2020	61.25	61.31	60.94	60.95	112,422	2,690,500
Oct 16, 2020	61.36	61.61	61.00	61.14	174,569	2,699,013
Oct 15, 2020	61.07	61.54	60.77	61.39	115,012	2,709,913
Oct 14, 2020	60.93	61.68	60.63	61.10	130,731	2,697,330
Oct 13, 2020	62.02	62.02	60.73	60.90	137,690	2,688,445
Oct 12, 2020	62.12	62.27	61.49	61.92	260,664	2,733,445
