date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001608	0.001653	0.001530	0.001536	92,459.38	1,059,815
Dec 15, 2020	0.001623	0.001655	0.001578	0.001614	148,532	1,113,626
Dec 14, 2020	0.001664	0.001687	0.001597	0.001623	177,316	1,119,619
Dec 13, 2020	0.001595	0.001683	0.001551	0.001652	209,233	1,140,153
Dec 12, 2020	0.001537	0.001614	0.001511	0.001595	214,716	1,100,563
Dec 11, 2020	0.001596	0.001606	0.001496	0.001538	164,167	1,061,331
Dec 10, 2020	0.001607	0.001639	0.001563	0.001596	222,440	1,101,135
Dec 09, 2020	0.001572	0.001624	0.001409	0.001605	248,624	1,107,418
Dec 08, 2020	0.001711	0.001728	0.001517	0.001572	200,360	1,084,741
Dec 07, 2020	0.001790	0.001790	0.001682	0.001713	194,485	1,181,833
Dec 06, 2020	0.001764	0.001855	0.001752	0.001786	244,375	1,232,076
Dec 05, 2020	0.001793	0.002062	0.001746	0.001764	257,032	1,217,486
Dec 04, 2020	0.001698	0.001859	0.001683	0.001791	258,425	1,235,630
Dec 03, 2020	0.001799	0.001808	0.001681	0.001701	217,617	1,173,890
Dec 02, 2020	0.001771	0.001854	0.001751	0.001800	199,972	1,241,672
Dec 01, 2020	0.001768	0.001838	0.001657	0.001774	260,254	1,223,888
Nov 30, 2020	0.001577	0.001782	0.001564	0.001775	207,384	1,224,628
Nov 29, 2020	0.001561	0.001645	0.001517	0.001578	135,301	1,088,592
Nov 28, 2020	0.001552	0.001624	0.001518	0.001575	98,961.69	1,086,473
Nov 27, 2020	0.001736	0.001780	0.001509	0.001552	138,813	1,071,024
Nov 26, 2020	0.002086	0.002086	0.001651	0.001735	144,903	1,197,109
Nov 25, 2020	0.001950	0.002178	0.001895	0.002086	230,036	1,439,309
Nov 24, 2020	0.001668	0.002510	0.001668	0.001950	265,278	1,345,227
Nov 23, 2020	0.001516	0.001812	0.001444	0.001668	186,103	1,151,035
Nov 22, 2020	0.001431	0.001634	0.001405	0.001517	214,978	1,046,807
Nov 21, 2020	0.001501	0.001606	0.001381	0.001431	222,845	987,521
Nov 20, 2020	0.001415	0.001601	0.001399	0.001501	104,021	1,035,447
Nov 19, 2020	0.001452	0.001589	0.001350	0.001415	76,597.13	976,308
Nov 18, 2020	0.001480	0.001613	0.001310	0.001452	135,159	1,002,059
Nov 17, 2020	0.001521	0.001571	0.001310	0.001480	145,465	1,020,861
Nov 16, 2020	0.001543	0.001663	0.001461	0.001511	116,676	1,042,902
Nov 15, 2020	0.001542	0.001628	0.001460	0.001543	118,417	1,064,639
Nov 14, 2020	0.001559	0.001608	0.001454	0.001541	103,163	1,063,589
Nov 13, 2020	0.001525	0.001572	0.001471	0.001558	117,020	1,075,234
Nov 12, 2020	0.001524	0.001554	0.001493	0.001525	94,955.01	1,052,245
Nov 11, 2020	0.001517	0.001559	0.001506	0.001524	73,849.41	1,051,566
Nov 10, 2020	0.001526	0.001559	0.001495	0.001517	99,739.39	1,046,768
