date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.026660	0.027679	0.026328	0.026887	2,973,775	11,549,635
Dec 15, 2020	0.026971	0.028067	0.026572	0.026659	2,177,969	11,451,912
Dec 14, 2020	0.026801	0.027206	0.026255	0.026945	1,740,129	11,574,647
Dec 13, 2020	0.026796	0.027491	0.026475	0.026802	1,300,474	11,513,246
Dec 12, 2020	0.025770	0.027378	0.025735	0.026796	1,852,626	11,510,705
Dec 11, 2020	0.027307	0.027382	0.024622	0.025795	2,833,158	11,080,375
Dec 10, 2020	0.027876	0.029793	0.026527	0.027308	4,895,801	11,730,572
Dec 09, 2020	0.025482	0.029136	0.023606	0.027778	4,007,239	11,932,547
Dec 08, 2020	0.027670	0.028742	0.025388	0.025447	2,813,529	10,931,136
Dec 07, 2020	0.026714	0.028065	0.025709	0.027667	2,340,177	11,884,877
Dec 06, 2020	0.027455	0.027846	0.026015	0.026715	2,375,801	11,475,766
Dec 05, 2020	0.026108	0.027905	0.025733	0.027454	1,875,688	11,793,344
Dec 04, 2020	0.029142	0.029945	0.025719	0.026192	3,152,308	11,250,971
Dec 03, 2020	0.029066	0.030198	0.028237	0.029139	3,600,605	12,516,981
Dec 02, 2020	0.026271	0.029242	0.025855	0.029062	2,516,533	12,484,037
Dec 01, 2020	0.027324	0.028259	0.025290	0.026268	2,688,161	11,283,900
Nov 30, 2020	0.027017	0.028299	0.026622	0.027328	2,472,626	11,738,922
Nov 29, 2020	0.026327	0.027642	0.025775	0.027020	2,128,977	11,606,721
Nov 28, 2020	0.026702	0.027329	0.025442	0.026331	1,799,809	11,310,926
Nov 27, 2020	0.025076	0.027041	0.024746	0.026700	2,419,257	11,469,125
Nov 26, 2020	0.030281	0.031036	0.023238	0.025066	10,250,651	10,767,385
Nov 25, 2020	0.029043	0.032804	0.028618	0.030292	5,811,468	13,012,170
Nov 24, 2020	0.028476	0.030517	0.027953	0.029043	3,705,171	12,475,798
Nov 23, 2020	0.026620	0.029359	0.026034	0.028483	2,839,510	12,235,050
Nov 22, 2020	0.027308	0.027571	0.024902	0.026620	1,781,421	11,435,115
Nov 21, 2020	0.025720	0.027890	0.025399	0.027308	1,739,494	11,730,376
Nov 20, 2020	0.025191	0.027194	0.025157	0.025720	2,301,715	11,048,134
Nov 19, 2020	0.025703	0.026233	0.024725	0.025191	2,367,383	10,821,198
Nov 18, 2020	0.026321	0.026789	0.024505	0.025703	3,480,607	11,041,015
