date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.078910	0.095768	0.074313	0.095725	71,624.99	0
Dec 15, 2020	0.083622	0.085114	0.078340	0.078918	56,951.50	0
Dec 14, 2020	0.085823	0.086875	0.082322	0.083623	56,616.02	0
Dec 13, 2020	0.084747	0.088491	0.081818	0.085821	67,375.02	0
Dec 12, 2020	0.092356	0.092356	0.081826	0.084753	77,004.36	0
Dec 11, 2020	0.096496	0.098103	0.089076	0.092352	81,155.67	0
Dec 10, 2020	0.098201	0.098439	0.093390	0.096489	89,775.38	0
Dec 09, 2020	0.093816	0.101063	0.086091	0.098202	100,067	0
Dec 08, 2020	0.102335	0.102552	0.093026	0.093839	84,859.71	0
Dec 07, 2020	0.103951	0.104507	0.099993	0.102343	73,828.18	0
Dec 06, 2020	0.098206	0.105154	0.098140	0.103946	94,995.58	0
Dec 05, 2020	0.093684	0.100093	0.092637	0.098182	130,509	0
Dec 04, 2020	0.106138	0.106425	0.092075	0.093825	98,556.30	0
Dec 03, 2020	0.105665	0.107541	0.103500	0.106124	89,637.98	0
Dec 02, 2020	0.103065	0.106643	0.100226	0.105675	116,570	0
Dec 01, 2020	0.119318	0.120071	0.099246	0.103067	196,166	0
Nov 30, 2020	0.109017	0.121437	0.108422	0.119323	162,827	0
Nov 29, 2020	0.112423	0.114383	0.105592	0.109020	147,934	0
Nov 28, 2020	0.100701	0.116485	0.097781	0.112424	156,310	0
Nov 27, 2020	0.098221	0.108062	0.091580	0.100701	194,886	0
Nov 26, 2020	0.152205	0.155852	0.085767	0.098149	397,386	0
Nov 25, 2020	0.190498	0.193980	0.141163	0.152316	535,398	0
Nov 24, 2020	0.189681	0.222915	0.160885	0.190382	783,799	0
Nov 23, 2020	0.136161	0.189595	0.133686	0.189595	303,801	0
Nov 22, 2020	0.141573	0.151404	0.127218	0.136166	281,211	0
Nov 21, 2020	0.101138	0.143268	0.101138	0.141572	199,215	0
Nov 20, 2020	0.093354	0.101602	0.091641	0.101140	95,128.83	0
Nov 19, 2020	0.090677	0.094208	0.087584	0.093355	111,266	0
Nov 18, 2020	0.093089	0.094503	0.087366	0.090673	118,532	0
Nov 17, 2020	0.090015	0.093805	0.089819	0.093087	109,296	0
Nov 16, 2020	0.083070	0.088823	0.082504	0.088024	77,340.82	0
Nov 15, 2020	0.082656	0.085159	0.081507	0.083070	70,775.58	0
Nov 14, 2020	0.081595	0.085269	0.080759	0.082654	83,529.86	0
Nov 13, 2020	0.078446	0.081862	0.078214	0.081596	76,408.55	0
Nov 12, 2020	0.078843	0.079459	0.077786	0.078445	64,718.39	0
Nov 11, 2020	0.078242	0.079916	0.077887	0.078847	55,179.79	0
Nov 10, 2020	0.077305	0.081273	0.076526	0.078245	62,397.48	0
Nov 09, 2020	0.078221	0.078863	0.075840	0.077314	59,285.10	0
Nov 08, 2020	0.076713	0.079133	0.076339	0.078238	68,138.37	0
Nov 07, 2020	0.079653	0.082135	0.075522	0.076749	93,361.61	0
Nov 06, 2020	0.075675	0.080457	0.075447	0.079622	110,560	0
Nov 05, 2020	0.073122	0.076066	0.073081	0.075676	105,222	0
Nov 04, 2020	0.073676	0.073926	0.071867	0.073121	66,295.57	0
Nov 03, 2020	0.072469	0.074774	0.070447	0.073586	69,666.50	0
Nov 02, 2020	0.073865	0.075282	0.071936	0.072492	56,416.21	0
Nov 01, 2020	0.073774	0.074309	0.072961	0.073801	56,688.35	0
Oct 31, 2020	0.073614	0.074958	0.073146	0.073768	67,466.10	0
Oct 30, 2020	0.074541	0.075241	0.071422	0.073614	68,283.43	0
Oct 29, 2020	0.075579	0.076099	0.073950	0.074573	64,203.18	0
Oct 28, 2020	0.077819	0.078902	0.075227	0.075589	71,644.09	0
Oct 27, 2020	0.076606	0.078160	0.076376	0.077775	65,243.93	0
Oct 26, 2020	0.077942	0.079689	0.075236	0.076599	52,745.41	0
Oct 25, 2020	0.078936	0.079222	0.077527	0.077924	55,954.46	0
Oct 24, 2020	0.078478	0.079374	0.077829	0.078949	56,992.41	0
Oct 23, 2020	0.079240	0.079871	0.077242	0.078468	73,077.25	0
Oct 22, 2020	0.077498	0.081192	0.077412	0.079094	115,909	0
Oct 21, 2020	0.074967	0.078617	0.074869	0.077494	117,863	0
Oct 20, 2020	0.075653	0.076839	0.074629	0.074967	84,640.90	0
Oct 19, 2020	0.074525	0.076826	0.073981	0.075756	48,099.67	0
Oct 18, 2020	0.074153	0.074909	0.073993	0.074579	42,889.74	0
Oct 17, 2020	0.073956	0.074758	0.073635	0.074153	49,893.56	0
Oct 16, 2020	0.075752	0.076232	0.073454	0.073956	55,381.73	0
Oct 15, 2020	0.076897	0.077096	0.075055	0.075751	53,224.47	0
Oct 14, 2020	0.078964	0.079542	0.075995	0.076897	56,639.12	0
Oct 13, 2020	0.078959	0.080015	0.078072	0.078912	62,362.37	0
Oct 12, 2020	0.078761	0.079566	0.077015	0.078953	62,619.26	0
Oct 11, 2020	0.078285	0.079559	0.078124	0.078761	53,840.11	0
Oct 10, 2020	0.078044	0.080050	0.077582	0.078284	56,603.16	0
Oct 09, 2020	0.077494	0.079019	0.076930	0.078044	55,290.48	0
Oct 08, 2020	0.076423	0.077895	0.074735	0.077494	66,701.14	0
Oct 07, 2020	0.075573	0.077389	0.074462	0.076426	91,683.40	0
Oct 06, 2020	0.077170	0.079708	0.074461	0.075622	211,958	0
Oct 05, 2020	0.076352	0.078282	0.076056	0.077164	104,921	0
Oct 04, 2020	0.071759	0.077056	0.071471	0.076346	86,106.40	0
Oct 03, 2020	0.072147	0.072369	0.071732	0.071759	59,379.85	0
Oct 02, 2020	0.073406	0.073695	0.070667	0.072150	54,355.77	0
Oct 01, 2020	0.074511	0.075436	0.072364	0.073359	43,695.89	0
Sep 30, 2020	0.074854	0.074854	0.073501	0.074413	49,748.82	0
Sep 29, 2020	0.074446	0.075943	0.073559	0.074854	56,174.03	0
Sep 28, 2020	0.074948	0.076393	0.074316	0.074454	60,854.60	0
Sep 27, 2020	0.074519	0.075370	0.073337	0.074741	601,523	0
Sep 26, 2020	0.074465	0.075602	0.073520	0.074569	530,663	0
Sep 25, 2020	0.071833	0.075409	0.070851	0.074465	418,847	0
Sep 24, 2020	0.068101	0.072006	0.067857	0.071833	356,544	0
Sep 23, 2020	0.071851	0.072401	0.068075	0.068100	287,572	0
Sep 22, 2020	0.071344	0.072306	0.070889	0.071878	232,725	0
Sep 21, 2020	0.076003	0.076453	0.070882	0.071400	155,139	0
Sep 20, 2020	0.077525	0.077548	0.075016	0.076002	67,055.35	0
Sep 19, 2020	0.077137	0.078413	0.076457	0.077418	76,449.07	0
Sep 18, 2020	0.077804	0.078725	0.076038	0.077132	93,406.83	0
Sep 17, 2020	0.076278	0.079604	0.076088	0.077804	1,106,867	0
Sep 16, 2020	0.075045	0.077318	0.072442	0.076278	962,075	0
Sep 15, 2020	0.075811	0.076771	0.074787	0.074981	820,182	0
Sep 14, 2020	0.074497	0.076763	0.073878	0.075811	707,193	0
Sep 13, 2020	0.076383	0.078049	0.073371	0.074481	630,046	0
Sep 12, 2020	0.074892	0.076659	0.074315	0.076391	569,600	0
Sep 11, 2020	0.074914	0.075378	0.073160	0.074827	511,257	0
Sep 10, 2020	0.073739	0.076696	0.073721	0.074914	443,384	0
Sep 09, 2020	0.072850	0.074878	0.071976	0.073739	369,267	0
Sep 08, 2020	0.074454	0.075094	0.071484	0.072835	290,337	0
Sep 07, 2020	0.073997	0.074856	0.071086	0.074515	192,436	0
Sep 06, 2020	0.073007	0.074969	0.071041	0.073994	1,464,683	0
Sep 05, 2020	0.078611	0.079882	0.071686	0.073007	1,320,311	0
Sep 04, 2020	0.075646	0.081792	0.074528	0.078662	1,197,568	0
Sep 03, 2020	0.085010	0.085071	0.075138	0.075651	1,020,644	0
Sep 02, 2020	0.091042	0.093654	0.082601	0.084951	905,168	0
Sep 01, 2020	0.086811	0.092046	0.085574	0.091073	738,794	0
Aug 31, 2020	0.087195	0.087697	0.085756	0.086833	590,946	0
Aug 30, 2020	0.084553	0.087435	0.084532	0.087148	486,212	0
Aug 29, 2020	0.083711	0.085348	0.082890	0.084546	378,167	0
Aug 28, 2020	0.081461	0.084194	0.080364	0.083727	305,381	0
Aug 27, 2020	0.085334	0.085845	0.079093	0.081511	216,564	0
Aug 26, 2020	0.085543	0.086422	0.084577	0.085340	133,445	0
Aug 25, 2020	0.089029	0.089235	0.083963	0.085557	181,236	0
Aug 24, 2020	0.087881	0.089770	0.087123	0.089064	117,171	0
Aug 23, 2020	0.088239	0.088566	0.085721	0.088039	203,974	0
Aug 22, 2020	0.086229	0.088285	0.084794	0.088285	178,737	0
Aug 21, 2020	0.090114	0.091039	0.086126	0.086280	117,223	0
Aug 20, 2020	0.089276	0.090702	0.088013	0.090178	143,516	0
Aug 19, 2020	0.093409	0.094151	0.086737	0.089276	217,667	0
Aug 18, 2020	0.096754	0.098910	0.092589	0.093364	252,567	0
Aug 17, 2020	0.093703	0.100320	0.091964	0.096742	243,478	0
Aug 16, 2020	0.092318	0.093808	0.090463	0.093703	171,496	0
Aug 15, 2020	0.092472	0.093803	0.090829	0.092357	174,981	0
Aug 14, 2020	0.091657	0.094711	0.090151	0.092458	257,803	0
Aug 13, 2020	0.087661	0.091903	0.084320	0.091726	121,534	0
Aug 12, 2020	0.087287	0.090654	0.084267	0.087550	98,544.45	0
Aug 11, 2020	0.090658	0.094501	0.084159	0.087435	108,198	0
Aug 10, 2020	0.088909	0.092310	0.088833	0.090666	100,050	0
Aug 09, 2020	0.090762	0.114828	0.087255	0.088946	100,274	0
Aug 08, 2020	0.090798	0.095460	0.089588	0.090611	113,417	0
Aug 07, 2020	0.093449	0.095524	0.087677	0.090732	120,510	0
Aug 06, 2020	0.093317	0.096450	0.091834	0.093449	120,759	0
Aug 05, 2020	0.092664	0.094905	0.090033	0.093317	135,372	0
Aug 04, 2020	0.095621	0.098204	0.090153	0.092563	157,157	0
Aug 03, 2020	0.088593	0.098558	0.087783	0.095565	142,485	0
Aug 02, 2020	0.089307	0.099210	0.082010	0.088421	172,500	0
Aug 01, 2020	0.079815	0.091158	0.078840	0.089374	122,817	0
Jul 31, 2020	0.075356	0.080024	0.074469	0.079770	91,029.94	0
Jul 30, 2020	0.074936	0.076762	0.073054	0.075356	113,096	0
Jul 29, 2020	0.070942	0.076956	0.070673	0.074936	177,315	0
Jul 28, 2020	0.069011	0.072167	0.067078	0.070976	234,243	0
Jul 27, 2020	0.066151	0.070182	0.064887	0.068940	241,447	0
Jul 26, 2020	0.065983	0.069124	0.065565	0.066151	107,388	0
Jul 25, 2020	0.062861	0.066835	0.062707	0.065950	59,551.38	0
Jul 24, 2020	0.063955	0.064131	0.062326	0.062834	52,567.92	0
Jul 23, 2020	0.062765	0.064553	0.062141	0.063955	56,121.27	0
Jul 22, 2020	0.061293	0.062854	0.060552	0.062765	55,064.14	0
Jul 21, 2020	0.059972	0.061768	0.059689	0.061290	75,683.79	0
Jul 20, 2020	0.061339	0.065243	0.059451	0.059919	114,364	0
