date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.089488	0.097501	0.088616	0.097209	0	0
Dec 15, 2020	0.088867	0.090278	0.088068	0.089491	0	0
Dec 14, 2020	0.089024	0.089367	0.087698	0.088864	0	0
Dec 13, 2020	0.086462	0.089734	0.085999	0.089055	0	0
Dec 12, 2020	0.082993	0.087078	0.082926	0.086406	0	0
Dec 11, 2020	0.084671	0.084743	0.081481	0.083038	0	0
Dec 10, 2020	0.086474	0.086566	0.083201	0.084773	0	0
Dec 09, 2020	0.084310	0.086889	0.081682	0.086516	0	0
Dec 08, 2020	0.089323	0.089757	0.083998	0.084295	0	0
Dec 07, 2020	0.090541	0.090746	0.088263	0.089333	0	0
Dec 06, 2020	0.089707	0.090966	0.088109	0.090509	0	0
Dec 05, 2020	0.065075	0.089696	0.064694	0.089696	0	0
Dec 04, 2020	0.092211	0.092541	0.065066	0.065083	80.96	0
Dec 03, 2020	0.067012	0.092965	0.066051	0.092221	0	0
Dec 02, 2020	0.088407	0.089968	0.065593	0.067018	41.39	0
Dec 01, 2020	0.092448	0.094752	0.086223	0.088430	0	0
Nov 30, 2020	0.086220	0.092597	0.086167	0.092439	0	0
Nov 29, 2020	0.081868	0.086328	0.081001	0.086225	0	0
Nov 28, 2020	0.059879	0.083013	0.059187	0.081878	0	0
Nov 27, 2020	0.071230	0.072736	0.058234	0.059880	336.74	0
Nov 26, 2020	0.078188	0.078818	0.067093	0.071186	0	0
Nov 25, 2020	0.049488	0.080180	0.048341	0.078202	0	0
Nov 24, 2020	0.089544	0.091516	0.048803	0.049493	78.66	0
Nov 23, 2020	0.084793	0.089780	0.083506	0.089564	0	0
Nov 22, 2020	0.084457	0.087221	0.079458	0.084799	0	0
Nov 21, 2020	0.080666	0.084568	0.079890	0.084451	0	0
Nov 20, 2020	0.075661	0.081060	0.075590	0.080673	0	0
Nov 19, 2020	0.076376	0.076795	0.074342	0.075627	0	0
Nov 18, 2020	0.061776	0.089447	0.060746	0.076389	0	0
Nov 17, 2020	0.075600	0.079054	0.061163	0.061854	96.90	0
Nov 16, 2020	0.072634	0.075765	0.072309	0.075206	0	0
Nov 15, 2020	0.074087	0.074228	0.071637	0.072645	0	0
Nov 14, 2020	0.075971	0.076024	0.072818	0.074099	0	0
Nov 13, 2020	0.074538	0.076044	0.073985	0.075960	0	0
Nov 12, 2020	0.073730	0.074925	0.072633	0.074547	0	0
Nov 11, 2020	0.071682	0.075109	0.071666	0.073714	0	0
Nov 10, 2020	0.071203	0.072338	0.070552	0.071687	0	0
Nov 09, 2020	0.054178	0.071911	0.053225	0.071207	0	0
Nov 08, 2020	0.051325	0.054731	0.049835	0.054176	15,093.83	0
Nov 07, 2020	0.052457	0.054296	0.048904	0.051324	63,918.59	0
