date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000077	0.000083	0.000076	0.000083	0.662967	0
Dec 15, 2020	0.000059	0.000077	0.000058	0.000077	38.24	0
Dec 14, 2020	0.000112	0.000112	0.000047	0.000059	42.46	0
Dec 13, 2020	0.000148	0.000153	0.000018	0.000112	6.40	0
Dec 12, 2020	0.000104	0.000149	0.000104	0.000148	0	0
Dec 11, 2020	0.000112	0.000112	0.000082	0.000104	17.21	0
Dec 10, 2020	0.000206	0.000207	0.000085	0.000112	23.38	0
Dec 09, 2020	0.000197	0.000208	0.000034	0.000206	18.94	0
Dec 08, 2020	0.000225	0.000226	0.000196	0.000197	0	0
Dec 07, 2020	0.000215	0.000233	0.000034	0.000225	200.47	0
Dec 06, 2020	0.000257	0.000261	0.000212	0.000215	14.36	0
Dec 05, 2020	0.000245	0.000416	0.000030	0.000256	5.96	0
Dec 04, 2020	0.000290	0.000291	0.000031	0.000245	13.76	0
Dec 03, 2020	0.000527	0.000528	0.000122	0.000290	47.54	0
Dec 02, 2020	0.000552	0.000562	0.000048	0.000527	45.43	0
Dec 01, 2020	0.000615	0.000798	0.000550	0.000552	5.06	0
Nov 30, 2020	0.000909	0.000930	0.000216	0.000615	98.76	0
Nov 29, 2020	0.000886	0.000932	0.000181	0.000909	26.87	0
Nov 28, 2020	0.001027	0.001061	0.000353	0.000886	21.28	0
Nov 27, 2020	0.001200	0.001221	0.000992	0.001027	8.28	0
Nov 26, 2020	0.000993	0.001210	0.000849	0.001199	3.72	0
Nov 25, 2020	0.001641	0.001645	0.000105	0.000993	15.65	0
Nov 24, 2020	0.002026	0.002097	0.001620	0.001641	4.61	0
Nov 23, 2020	0.002185	0.002334	0.001007	0.002026	21.75	0
Nov 22, 2020	0.002198	0.002802	0.000399	0.002186	229.46	0
Nov 21, 2020	0.002039	0.002201	0.001858	0.002198	7.15	0
Nov 20, 2020	0.003464	0.003684	0.002024	0.002039	15.50	0
Nov 19, 2020	0.002877	0.003507	0.002794	0.003464	0	0
Nov 18, 2020	0.003294	0.003384	0.002821	0.002877	0.446019	0
Nov 17, 2020	0.003060	0.003309	0.002437	0.003294	186.26	0
Nov 16, 2020	0.002627	0.003057	0.001497	0.003031	2.31	0
Nov 15, 2020	0.006893	0.006900	0.000507	0.002627	27.05	0
Nov 14, 2020	0.013229	0.013236	0.004084	0.006893	11.59	0
Nov 13, 2020	0.029170	0.029183	0.001236	0.013229	21.41	0
