date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001942	0.002146	0.001930	0.002133	50.81	94,469.23
Dec 15, 2020	0.002117	0.002146	0.001936	0.001942	536.43	86,027.92
Dec 14, 2020	0.001914	0.002124	0.001901	0.002117	216.30	93,785.96
Dec 13, 2020	0.001872	0.001934	0.001865	0.001914	234.85	84,788.29
Dec 12, 2020	0.001806	0.002036	0.001805	0.001872	99.54	82,939.38
Dec 11, 2020	0.002009	0.002010	0.001795	0.001806	351.58	79,989.18
Dec 10, 2020	0.001855	0.002031	0.001837	0.002009	315.09	88,993.57
Dec 09, 2020	0.002015	0.002019	0.001794	0.001855	389.57	82,186.83
Dec 08, 2020	0.002084	0.002089	0.001863	0.002016	316.07	89,305.16
Dec 07, 2020	0.001934	0.002086	0.001878	0.002085	299.19	92,348.29
Dec 06, 2020	0.001885	0.001939	0.001885	0.001934	316.51	85,659.14
Dec 05, 2020	0.001891	0.001913	0.001753	0.001884	302.05	83,445.58
Dec 04, 2020	0.002091	0.002104	0.001780	0.001897	251.30	84,025.31
Dec 03, 2020	0.002112	0.002128	0.002059	0.002090	295.95	92,584.97
Dec 02, 2020	0.001844	0.002124	0.001821	0.002113	467.74	93,588.94
Dec 01, 2020	0.001903	0.002059	0.001807	0.001844	116.87	81,685.83
Nov 30, 2020	0.001818	0.002030	0.001818	0.001903	363.98	84,319.15
Nov 29, 2020	0.001772	0.001828	0.001756	0.001818	125.70	80,524.39
Nov 28, 2020	0.001709	0.001784	0.001686	0.001772	346.12	78,483.15
Nov 27, 2020	0.001886	0.001919	0.001653	0.001709	97.34	75,684.72
Nov 26, 2020	0.002061	0.002075	0.001640	0.001884	209.28	83,433.55
Nov 25, 2020	0.002250	0.002327	0.002044	0.002061	29.72	91,283.46
Nov 24, 2020	0.002119	0.002262	0.002065	0.002250	243.74	99,679.44
Nov 23, 2020	0.002021	0.002209	0.001980	0.002119	328.94	93,866.95
Nov 22, 2020	0.002002	0.002047	0.001831	0.002023	414.18	89,627.72
Nov 21, 2020	0.001862	0.002063	0.001825	0.002002	252.66	88,681.55
Nov 20, 2020	0.001631	0.001864	0.001611	0.001862	221.70	82,475.28
Nov 19, 2020	0.001958	0.001983	0.001592	0.001631	142.86	72,251.91
Nov 18, 2020	0.001764	0.002023	0.001762	0.001959	190.94	86,793.47
Nov 17, 2020	0.001516	0.001951	0.001504	0.001767	84.83	78,261.50
Nov 16, 2020	0.001755	0.001790	0.001513	0.001519	154.44	67,267.23
Nov 15, 2020	0.001574	0.001759	0.001556	0.001756	267.16	77,778.34
Nov 14, 2020	0.001662	0.001762	0.001574	0.001575	107.72	69,779.79
Nov 13, 2020	0.001789	0.001810	0.001515	0.001661	326.53	73,585.71
