date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002800	0.065664	0.002781	0.065258	28.09	0
Dec 15, 2020	0.011260	0.011275	0.002787	0.002800	237.40	0
Dec 14, 2020	0.030219	0.030447	0.010133	0.011260	35.18	0
Dec 13, 2020	0.004709	0.059308	0.004297	0.030217	26.61	0
Dec 12, 2020	0.005584	0.031917	0.004648	0.004709	67.95	0
Dec 11, 2020	0.025259	0.025264	0.005414	0.005583	51.72	0
Dec 10, 2020	0.025479	0.056578	0.024845	0.025257	28.04	0
Dec 09, 2020	0.007267	0.025578	0.007236	0.025478	31.75	0
Dec 08, 2020	0.058740	0.058873	0.007253	0.007267	37.41	0
Dec 07, 2020	0.008113	0.058789	0.008040	0.058746	25.27	0
Dec 06, 2020	0.058612	0.059144	0.007979	0.008111	38.79	0
Dec 05, 2020	0.013049	0.058611	0.012980	0.058611	25.19	0
Dec 04, 2020	0.059503	0.059705	0.013048	0.013051	38.04	0
Dec 03, 2020	0.030622	0.059745	0.030196	0.059510	25.58	0
Dec 02, 2020	0.005071	0.058070	0.005004	0.030625	27.35	0
Dec 01, 2020	0.032521	0.032878	0.004994	0.005071	46.28	0
Nov 30, 2020	0.004123	0.060160	0.004043	0.032523	28.20	0
Nov 29, 2020	0.030872	0.031301	0.004074	0.004123	66.22	0
Nov 28, 2020	0.003345	0.054293	0.003336	0.030872	24.18	0
Nov 27, 2020	0.003401	0.003410	0.003053	0.003344	136.16	0
Nov 26, 2020	0.038622	0.055066	0.002124	0.003399	752.34	0
Nov 25, 2020	0.285466	0.286249	0.038531	0.038624	83.81	0
Nov 24, 2020	0.071761	0.289063	0.066695	0.285494	2.85	0
Nov 23, 2020	0.046848	0.098282	0.036514	0.071773	10.64	0
Nov 22, 2020	0.047064	0.051967	0.041343	0.046875	53.91	0
Nov 21, 2020	0.278202	0.282913	0.046845	0.047064	66.53	0
Nov 20, 2020	0.037508	0.278407	0.037300	0.278214	2.78	0
Nov 19, 2020	0.048611	0.268546	0.034870	0.037501	218.68	0
Nov 18, 2020	0.039830	0.048646	0.037440	0.048609	40.62	0
Nov 17, 2020	0.039703	0.057756	0.034822	0.039829	138.31	0
Nov 16, 2020	0.059644	0.067090	0.039479	0.039662	247.14	0
Nov 15, 2020	0.056109	0.240310	0.043660	0.059644	22.53	0
Nov 14, 2020	0.072939	0.077971	0.042685	0.056108	389.08	0
Nov 13, 2020	0.039569	0.242249	0.036483	0.072939	6.40	0
Nov 12, 2020	0.090534	0.091164	0.038032	0.039572	203.08	0
Nov 11, 2020	0.048736	0.236319	0.044680	0.090491	6.42	0
Nov 10, 2020	0.045874	0.064054	0.042390	0.048738	119.84	0
Nov 09, 2020	0.037302	0.046032	0.036339	0.045878	44.85	0
Nov 08, 2020	0.048586	0.100814	0.037222	0.037305	163.45	0
Nov 07, 2020	0.049861	0.050853	0.040064	0.048605	7.84	0
Nov 06, 2020	0.113159	0.233188	0.049239	0.049841	17.94	0
Nov 05, 2020	0.045950	0.114062	0.043997	0.113161	3.78	0
Nov 04, 2020	0.043306	0.063840	0.043063	0.045950	20.13	0
Nov 03, 2020	0.063932	0.065946	0.043277	0.043286	11.43	0
Nov 02, 2020	0.052537	0.080622	0.043448	0.063971	150.76	0
Nov 01, 2020	0.052618	0.052777	0.052324	0.052490	4.08	0
Oct 31, 2020	0.202385	0.209582	0.052430	0.052614	4.09	0
Oct 30, 2020	0.092668	0.203953	0.090572	0.202382	2.03	0
Oct 29, 2020	0.051284	0.202840	0.051091	0.092744	4.57	0
Oct 28, 2020	0.067837	0.068538	0.044483	0.051294	19.36	0
Oct 27, 2020	0.036953	0.203758	0.036440	0.067782	6.39	0
Oct 26, 2020	0.059839	0.062293	0.035132	0.036952	186.67	0
