date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.420228	0.456292	0.404734	0.423066	51,906.57	7,615,190
Dec 15, 2020	0.410245	0.437762	0.392626	0.419956	42,063.92	7,559,213
Dec 14, 2020	0.390756	0.420546	0.378388	0.410237	47,122.47	7,384,275
Dec 13, 2020	0.429268	0.430799	0.370455	0.390725	96,354.75	7,033,051
Dec 12, 2020	0.452846	0.466949	0.400918	0.429316	42,037.10	7,727,679
Dec 11, 2020	0.480450	0.529686	0.414681	0.452811	41,506.24	8,150,598
Dec 10, 2020	0.564038	0.569593	0.467223	0.480428	46,884.94	8,647,701
Dec 09, 2020	0.548615	0.734197	0.452679	0.564023	360,671	10,152,408
Dec 08, 2020	0.538516	0.574008	0.527050	0.548567	38,869.79	9,874,199
Dec 07, 2020	0.557202	0.568049	0.525682	0.538556	22,974.90	9,694,007
Dec 06, 2020	0.552313	0.580327	0.501607	0.557052	25,433.31	10,026,940
Dec 05, 2020	0.507157	0.578828	0.477327	0.552287	31,967.75	9,941,162
Dec 04, 2020	0.581673	0.622858	0.474546	0.507216	109,409	9,129,892
Dec 03, 2020	0.523068	0.583529	0.496878	0.581733	25,749.18	10,471,190
Dec 02, 2020	0.509635	0.550881	0.494263	0.523114	17,645.33	9,416,047
Dec 01, 2020	0.574618	0.582033	0.495618	0.509720	22,219.36	9,174,954
Nov 30, 2020	0.505572	0.582534	0.505572	0.574642	54,974.49	10,343,559
Nov 29, 2020	0.445583	0.567310	0.444245	0.505593	51,064.10	9,100,667
Nov 28, 2020	0.488088	0.519479	0.436674	0.445604	58,306.65	8,020,873
Nov 27, 2020	0.499602	0.500543	0.450597	0.488081	3,682.84	8,785,465
Nov 26, 2020	0.444497	0.502696	0.406698	0.499474	34,864.14	8,990,524
Nov 25, 2020	0.614705	0.614705	0.436714	0.444918	61,759.28	8,008,516
Nov 24, 2020	0.509025	0.671088	0.502824	0.614339	54,840.06	11,058,102
Nov 23, 2020	0.423700	0.608554	0.401366	0.508607	102,857	9,154,934
Nov 22, 2020	0.499677	0.622023	0.379024	0.423730	185,084	7,627,142
Nov 21, 2020	0.622577	0.632412	0.489396	0.499671	92,309.77	8,994,072
Nov 20, 2020	0.708959	0.715846	0.510696	0.622607	151,922	11,206,920
Nov 19, 2020	0.698088	0.758618	0.688173	0.708975	19,875.37	12,761,553
Nov 18, 2020	0.716222	0.738758	0.630765	0.698020	58,415.63	12,564,355
Nov 17, 2020	0.718652	0.756291	0.681770	0.716223	55,149.25	12,892,008
Nov 16, 2020	0.743522	0.765966	0.700988	0.722107	50,515.15	12,997,925
Nov 15, 2020	0.744400	0.779625	0.706196	0.743512	27,227.53	13,383,222
Nov 14, 2020	0.709775	0.778950	0.654503	0.744364	67,146.53	13,398,556
Nov 13, 2020	0.695256	0.765392	0.633845	0.709676	143,470	12,774,177
Nov 12, 2020	0.582689	0.823210	0.560226	0.695383	125,398	12,516,894
Nov 11, 2020	0.542934	0.618760	0.533143	0.582750	19,852.35	10,489,500
Nov 10, 2020	0.549384	0.573296	0.520212	0.543053	12,289.94	9,774,960
Nov 09, 2020	0.572236	0.575596	0.513214	0.549409	6,651.09	9,889,356
Nov 08, 2020	0.548285	0.578067	0.528891	0.572468	9,449.08	10,304,421
Nov 07, 2020	0.575210	0.601919	0.523990	0.548834	16,486.03	9,879,013
Nov 06, 2020	0.536947	0.604278	0.514874	0.574742	49,561.46	10,345,351
Nov 05, 2020	0.469514	0.554406	0.469514	0.536209	29,122.77	9,651,771
Nov 04, 2020	0.506132	0.518808	0.461585	0.469502	25,272.89	8,451,032
Nov 03, 2020	0.512748	0.512748	0.447522	0.504960	45,650.01	9,089,283
Nov 02, 2020	0.537842	0.545763	0.503534	0.512991	29,916.18	9,233,840
Nov 01, 2020	0.528134	0.537832	0.494010	0.537825	11,664.38	9,680,841
