date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001804	0.008780	0.001793	0.002162	7,079.51	30,845.32
Dec 15, 2020	0.002132	0.010799	0.001799	0.001804	10,511.23	25,739.42
Dec 14, 2020	0.002512	0.005441	0.001921	0.002132	14,444.99	30,420.98
Dec 13, 2020	0.001901	0.002858	0.001894	0.002512	14,657.50	35,830.83
Dec 12, 2020	0.001995	0.002847	0.001664	0.001901	6,710.83	27,117.80
Dec 11, 2020	0.001836	0.003548	0.001771	0.001995	10,360.88	28,459.92
Dec 10, 2020	0.002295	0.004096	0.001806	0.001836	7,279.09	26,188.58
Dec 09, 2020	0.004487	0.012163	0.002262	0.002295	22,620.70	32,742.57
Dec 08, 2020	0.001794	0.006742	0.001570	0.004488	2,767.53	64,026.06
Dec 07, 2020	0.003674	0.005685	0.001784	0.001795	5,981.78	25,603.36
Dec 06, 2020	0.001926	0.005652	0.001926	0.003673	11,714.38	52,393.04
Dec 05, 2020	0.001934	0.002010	0.001830	0.001925	16,214.09	27,468.96
Dec 04, 2020	0.001954	0.001972	0.001882	0.001940	18,811.97	27,679.61
Dec 03, 2020	0.001933	0.001966	0.001901	0.001953	17,353.77	27,865.08
Dec 02, 2020	0.001893	0.002014	0.001846	0.001934	17,262.32	27,584.31
Dec 01, 2020	0.002112	0.002203	0.001889	0.001893	11,094.45	27,009.10
Nov 30, 2020	0.002183	0.019324	0.001940	0.002113	6,580.30	30,138.47
Nov 29, 2020	0.011881	0.017736	0.001939	0.002183	8,072.83	31,138.30
Nov 28, 2020	0.002038	0.016019	0.001646	0.011883	1.89	169,520
Nov 27, 2020	0.002050	0.002085	0.001563	0.002038	2,715.27	29,076.26
Nov 26, 2020	0.002116	0.002258	0.001683	0.002047	8,979.35	29,207.87
Nov 25, 2020	0.002456	0.002464	0.001810	0.002117	198.25	30,198.95
Nov 24, 2020	0.002709	0.002709	0.001898	0.002457	4,933.63	35,045.97
Nov 23, 2020	0.003646	0.015453	0.002649	0.002705	165.51	38,594.34
Nov 22, 2020	0.003424	0.003732	0.003192	0.003644	217.34	51,985.25
Nov 21, 2020	0.002656	0.003427	0.002655	0.003423	192.87	48,833.48
Nov 20, 2020	0.002855	0.003328	0.002546	0.002656	2,349.16	37,887.10
Nov 19, 2020	0.002845	0.003184	0.002819	0.002855	13,418.58	40,725.68
Nov 18, 2020	0.002834	0.003133	0.002783	0.002845	204.26	40,586.65
Nov 17, 2020	0.002550	0.003382	0.002536	0.002834	4,729.45	40,429.50
Nov 16, 2020	0.002873	0.003185	0.002464	0.002560	1,968.33	36,522.28
Nov 15, 2020	0.002893	0.003054	0.002859	0.002874	17,627.17	41,001.57
Nov 14, 2020	0.003045	0.003094	0.002301	0.002894	25,039.50	41,287.05
Nov 13, 2020	0.003349	0.003944	0.002903	0.003045	173.07	43,439.85
Nov 12, 2020	0.003126	0.003356	0.002879	0.003350	1,578.19	47,794.46
Nov 11, 2020	0.002926	0.003319	0.002825	0.003125	2,609.28	44,574.81
