date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.082353	0.086274	0.081189	0.085592	3,202,811	21,392,718
Dec 15, 2020	0.082222	0.084165	0.081688	0.082509	2,765,268	20,622,150
Dec 14, 2020	0.084389	0.084424	0.081314	0.082281	3,107,599	20,565,127
Dec 13, 2020	0.085316	0.092294	0.083748	0.084328	4,680,848	21,076,798
Dec 12, 2020	0.079878	0.097734	0.079621	0.085302	6,364,427	21,320,380
Dec 11, 2020	0.080333	0.080594	0.077839	0.079876	3,016,933	19,964,228
Dec 10, 2020	0.082088	0.082219	0.079489	0.080325	2,883,174	20,076,380
Dec 09, 2020	0.083397	0.083550	0.079873	0.082120	3,059,477	20,524,971
Dec 08, 2020	0.083233	0.087194	0.082963	0.083345	3,199,423	20,831,220
Dec 07, 2020	0.084193	0.084992	0.082255	0.083175	2,095,018	20,788,689
Dec 06, 2020	0.083731	0.085330	0.082609	0.084030	2,667,125	21,002,406
Dec 05, 2020	0.080215	0.083833	0.080030	0.083668	1,859,819	20,911,962
Dec 04, 2020	0.085465	0.086446	0.080241	0.080241	2,897,678	20,055,390
Dec 03, 2020	0.083515	0.085738	0.082260	0.085408	3,501,229	21,346,719
Dec 02, 2020	0.080835	0.084003	0.079955	0.083578	1,790,545	20,889,405
Dec 01, 2020	0.085232	0.085605	0.078552	0.080894	1,527,925	20,218,451
Nov 30, 2020	0.084967	0.087435	0.082375	0.085299	1,731,746	21,319,440
Nov 29, 2020	0.084297	0.086682	0.082591	0.085018	3,072,502	21,249,180
Nov 28, 2020	0.081838	0.085833	0.080761	0.084594	2,481,156	21,143,417
Nov 27, 2020	0.082873	0.084266	0.078320	0.081902	3,205,919	20,470,390
Nov 26, 2020	0.093627	0.094861	0.078236	0.082715	3,930,542	20,673,793
Nov 25, 2020	0.093254	0.100018	0.089604	0.093503	5,367,806	23,369,901
Nov 24, 2020	0.085017	0.093309	0.084202	0.093265	5,095,302	23,310,547
Nov 23, 2020	0.082745	0.087483	0.081011	0.085073	3,528,609	21,263,113
Nov 22, 2020	0.084764	0.090116	0.077396	0.082745	4,222,353	20,681,204
Nov 21, 2020	0.079033	0.085181	0.077753	0.084762	2,538,409	21,185,250
Nov 20, 2020	0.077582	0.080112	0.077465	0.079036	1,884,973	19,754,209
Nov 19, 2020	0.079298	0.079594	0.076497	0.077573	2,223,543	19,388,550
Nov 18, 2020	0.080379	0.081013	0.076112	0.079298	2,253,858	19,819,544
Nov 17, 2020	0.080378	0.081861	0.079315	0.080390	2,155,212	20,092,577
Nov 16, 2020	0.076752	0.080089	0.076311	0.078481	1,973,956	19,615,489
Nov 15, 2020	0.079460	0.080138	0.075921	0.076757	1,766,106	19,184,601
Nov 14, 2020	0.082694	0.082991	0.077599	0.079463	2,648,254	19,860,899
Nov 13, 2020	0.079183	0.083936	0.079183	0.082692	2,666,960	20,667,969
Nov 12, 2020	0.082437	0.082486	0.078110	0.079185	2,751,389	19,791,319
Nov 11, 2020	0.088167	0.093181	0.082138	0.082433	3,531,806	20,603,104
Nov 10, 2020	0.079385	0.091068	0.079076	0.088167	5,898,424	22,036,460
Nov 09, 2020	0.079733	0.084137	0.077996	0.079388	2,946,028	19,842,060
Nov 08, 2020	0.076631	0.081136	0.076552	0.079733	1,639,951	19,928,378
Nov 07, 2020	0.080377	0.083698	0.075493	0.076631	2,823,181	19,153,039
Nov 06, 2020	0.075822	0.080377	0.073808	0.080377	2,510,094	20,089,393
Nov 05, 2020	0.074489	0.075880	0.072739	0.075822	1,938,152	18,950,893
Nov 04, 2020	0.075552	0.076350	0.072867	0.074489	1,786,549	18,617,729
Nov 03, 2020	0.076503	0.076815	0.072540	0.075551	2,467,082	18,883,163
Nov 02, 2020	0.079148	0.082648	0.075885	0.076503	2,514,652	19,120,955
Nov 01, 2020	0.076785	0.079247	0.076046	0.079148	1,698,557	19,782,220
Oct 31, 2020	0.076024	0.077999	0.076012	0.076785	1,607,141	19,191,433
Oct 30, 2020	0.074895	0.086153	0.074868	0.076024	6,011,871	19,001,368
Oct 29, 2020	0.074245	0.082926	0.072918	0.074895	2,147,676	18,719,263
Oct 28, 2020	0.082223	0.082558	0.073439	0.074244	2,074,785	18,556,340
Oct 27, 2020	0.082807	0.084266	0.081086	0.082222	1,952,086	20,550,559
Oct 26, 2020	0.085448	0.085470	0.081393	0.082807	2,216,174	20,696,751
Oct 25, 2020	0.087500	0.087834	0.085260	0.085448	1,772,232	21,356,683
Oct 24, 2020	0.088392	0.088974	0.087227	0.087500	1,534,780	21,869,548
Oct 23, 2020	0.088052	0.089106	0.087348	0.088392	2,290,603	22,092,568
Oct 22, 2020	0.089271	0.090303	0.087513	0.087906	2,545,391	21,971,234
Oct 21, 2020	0.086690	0.091664	0.086690	0.089430	2,814,363	22,352,114
Oct 20, 2020	0.087939	0.088651	0.086017	0.086928	3,100,478	21,726,640
Oct 19, 2020	0.089056	0.089120	0.086517	0.087992	2,705,260	21,992,530
Oct 18, 2020	0.088058	0.090197	0.086986	0.089072	2,512,085	22,262,664
Oct 17, 2020	0.087245	0.088303	0.086564	0.088094	968,760	22,018,171
Oct 16, 2020	0.089595	0.090423	0.085662	0.086812	2,646,759	21,697,706
Oct 15, 2020	0.089827	0.090202	0.088196	0.089634	3,042,107	22,403,023
Oct 14, 2020	0.090596	0.091490	0.088750	0.089936	3,409,873	22,478,580
Oct 13, 2020	0.090335	0.091622	0.089484	0.090534	3,045,111	22,627,874
Oct 12, 2020	0.092493	0.092493	0.088074	0.090340	3,474,834	22,579,533
Oct 11, 2020	0.094112	0.094115	0.092332	0.092545	2,482,989	23,130,669
Oct 10, 2020	0.092283	0.094463	0.091865	0.094008	2,960,490	23,496,157
Oct 09, 2020	0.089176	0.093195	0.086707	0.092398	2,955,025	23,093,886
Oct 08, 2020	0.085681	0.089196	0.084498	0.089117	2,520,523	22,273,826
Oct 07, 2020	0.084859	0.086520	0.082921	0.085681	3,378,959	21,414,876
Oct 06, 2020	0.089857	0.091265	0.084184	0.084765	3,051,806	21,186,158
Oct 05, 2020	0.089924	0.090593	0.088504	0.089863	2,629,970	22,460,163
Oct 04, 2020	0.089705	0.090355	0.088074	0.089899	2,915,290	22,469,198
Oct 03, 2020	0.089310	0.090683	0.087825	0.089751	3,469,221	22,432,350
Oct 02, 2020	0.092816	0.093223	0.086671	0.089156	4,274,040	22,283,659
Oct 01, 2020	0.094437	0.096661	0.090129	0.092807	3,917,532	23,195,980
Sep 30, 2020	0.094602	0.094948	0.092274	0.094407	3,897,247	23,596,011
Sep 29, 2020	0.094390	0.094962	0.093149	0.094633	4,248,626	23,652,456
Sep 28, 2020	0.096975	0.098798	0.094265	0.094389	4,083,417	23,591,535
Sep 27, 2020	0.095936	0.097832	0.091856	0.096840	4,661,165	24,203,985
Sep 26, 2020	0.093318	0.096079	0.092764	0.095936	3,855,413	23,978,091
Sep 25, 2020	0.092870	0.095464	0.089765	0.093323	5,271,911	23,324,941
Sep 24, 2020	0.086352	0.093028	0.086336	0.092864	4,822,291	23,210,346
Sep 23, 2020	0.093014	0.093421	0.086349	0.086349	4,964,166	21,581,942
Sep 22, 2020	0.091031	0.094412	0.089387	0.093013	4,786,720	23,247,474
