date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000418	0.000419	0.000375	0.000408	175.67	0
Dec 15, 2020	0.000393	0.000424	0.000393	0.000418	484.31	0
Dec 14, 2020	0.000391	0.000395	0.000385	0.000393	5.27	0
Dec 13, 2020	0.000397	0.000399	0.000381	0.000391	12.79	0
Dec 12, 2020	0.000387	0.000406	0.000386	0.000397	9.68	0
Dec 11, 2020	0.000392	0.000393	0.000379	0.000387	2.75	0
Dec 10, 2020	0.000400	0.000401	0.000388	0.000392	0	0
Dec 09, 2020	0.000388	0.000402	0.000377	0.000400	42.06	0
Dec 08, 2020	0.000485	0.000485	0.000353	0.000388	715.16	0
Dec 07, 2020	0.000499	0.000500	0.000481	0.000485	2.47	0
Dec 06, 2020	0.000498	0.000505	0.000485	0.000499	54.84	0
Dec 05, 2020	0.000488	0.000500	0.000466	0.000498	32.55	0
Dec 04, 2020	0.000509	0.000510	0.000482	0.000488	165.04	0
Dec 03, 2020	0.000475	0.000518	0.000475	0.000509	261.46	0
Dec 02, 2020	0.000301	0.000477	0.000297	0.000475	0.209105	0
Dec 01, 2020	0.000322	0.000338	0.000295	0.000301	29.20	0
Nov 30, 2020	0.000292	0.000328	0.000292	0.000322	32.40	0
Nov 29, 2020	0.000344	0.000346	0.000279	0.000292	89.74	0
Nov 28, 2020	0.000323	0.000346	0.000319	0.000344	21.76	0
Nov 27, 2020	0.000329	0.000337	0.000311	0.000322	5.14	0
Nov 26, 2020	0.000371	0.000377	0.000304	0.000329	36.75	0
Nov 25, 2020	0.000506	0.000536	0.000360	0.000371	409.39	0
Nov 24, 2020	0.000232	0.000508	0.000232	0.000506	386.00	0
Nov 23, 2020	0.000196	0.000240	0.000183	0.000233	542.22	0
Nov 22, 2020	0.000652	0.000659	0.000196	0.000196	235.99	0
Nov 21, 2020	0.000564	0.000655	0.000562	0.000652	152,196	0
Nov 20, 2020	0.000554	0.000569	0.000554	0.000564	4.23	0
Nov 19, 2020	0.000576	0.000577	0.000544	0.000554	32.83	0
Nov 18, 2020	0.000574	0.000581	0.000542	0.000575	1,534.01	0
Nov 17, 2020	0.000561	0.000578	0.000559	0.000574	19.51	0
Nov 16, 2020	0.000551	0.000561	0.000547	0.000555	37.37	0
Nov 15, 2020	0.000546	0.000561	0.000544	0.000551	4.29	0
Nov 14, 2020	0.000550	0.000550	0.000542	0.000546	349.41	0
Nov 13, 2020	0.000545	0.000552	0.000538	0.000550	645.27	0
Nov 12, 2020	0.000547	0.000551	0.000543	0.000545	24.94	0
Nov 11, 2020	0.000543	0.000553	0.000543	0.000547	44.43	0
Nov 10, 2020	0.000542	0.000552	0.000539	0.000543	12.97	0
Nov 09, 2020	0.000558	0.000564	0.000541	0.000542	467.76	0
Nov 08, 2020	0.000549	0.000564	0.000544	0.000558	134.99	0
Nov 07, 2020	0.000587	0.000598	0.000540	0.000549	50,080.56	0
Nov 06, 2020	0.000563	0.000587	0.000562	0.000587	211.30	0
Nov 05, 2020	0.000555	0.000570	0.000553	0.000563	1,682.54	0
Nov 04, 2020	0.000564	0.000564	0.000546	0.000555	668.23	0
Nov 03, 2020	0.000564	0.000565	0.000535	0.000564	60.78	0
