date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003469	0.003637	0.003380	0.003517	721.71	1,247,333
Dec 15, 2020	0.003337	0.003549	0.003314	0.003469	4,777.27	1,230,471
Dec 14, 2020	0.003345	0.003423	0.003245	0.003337	5,019.60	1,183,604
Dec 13, 2020	0.003320	0.003418	0.003320	0.003345	464.11	1,186,266
Dec 12, 2020	0.003312	0.003391	0.003247	0.003320	891.99	1,177,508
Dec 11, 2020	0.003333	0.003423	0.003248	0.003312	1,628.56	1,174,555
Dec 10, 2020	0.003404	0.003424	0.003318	0.003333	903.99	1,182,267
Dec 09, 2020	0.003444	0.003535	0.003320	0.003404	4,073.78	1,207,429
Dec 08, 2020	0.003475	0.003547	0.003388	0.003444	5,501.94	1,221,400
Dec 07, 2020	0.003548	0.003693	0.003391	0.003475	9,622.39	1,232,496
Dec 06, 2020	0.003605	0.003888	0.003464	0.003548	46,305.37	1,258,437
Dec 05, 2020	0.003538	0.003817	0.003398	0.003605	20,458.19	1,278,544
Dec 04, 2020	0.003402	0.003828	0.003321	0.003538	24,698.91	1,254,802
Dec 03, 2020	0.003406	0.003490	0.003310	0.003380	4,482.08	1,198,887
Dec 02, 2020	0.003913	0.004077	0.003308	0.003406	2,626.05	1,207,869
Dec 01, 2020	0.003508	0.003946	0.003414	0.003913	8,018.27	1,387,768
Nov 30, 2020	0.003484	0.003569	0.003317	0.003508	7,726.63	1,244,183
Nov 29, 2020	0.003654	0.004606	0.003339	0.003484	13,704.54	1,235,686
Nov 28, 2020	0.003553	0.003727	0.003553	0.003654	1,536.20	1,295,825
Nov 27, 2020	0.004030	0.004111	0.003535	0.003553	1,520.40	1,259,966
Nov 26, 2020	0.003554	0.004322	0.003284	0.004030	10,554.38	1,429,206
Nov 25, 2020	0.003614	0.003701	0.003506	0.003554	4,826.36	1,260,540
Nov 24, 2020	0.004370	0.004810	0.003582	0.003614	11,851.29	1,281,862
Nov 23, 2020	0.003653	0.004375	0.003566	0.004366	4,565.79	1,548,458
Nov 22, 2020	0.003807	0.003807	0.003329	0.003653	4,216.46	1,295,744
Nov 21, 2020	0.003431	0.003807	0.003401	0.003807	6,610.95	1,350,387
Nov 20, 2020	0.003367	0.003884	0.003143	0.003431	18,692.54	1,216,930
Nov 19, 2020	0.004283	0.004796	0.003071	0.003367	28,373.01	1,194,332
Nov 18, 2020	0.003410	0.004972	0.003282	0.004275	87,756.22	1,516,225
Nov 17, 2020	0.003322	0.004298	0.002997	0.003419	10,081.78	1,212,533
Nov 16, 2020	0.003378	0.003686	0.002904	0.003457	12,983.40	1,225,907
Nov 15, 2020	0.003123	0.003609	0.002890	0.003378	7,218.26	1,197,997
Nov 14, 2020	0.003601	0.003601	0.003079	0.003123	3,273.46	1,107,517
Nov 13, 2020	0.003269	0.003672	0.003194	0.003601	6,558.08	1,277,240
Nov 12, 2020	0.003685	0.003797	0.003228	0.003268	7,529.40	1,159,165
Nov 11, 2020	0.003771	0.003899	0.003586	0.003686	6,260.60	1,307,151
Nov 10, 2020	0.003633	0.003845	0.003551	0.003771	16,694.23	1,337,347
Nov 09, 2020	0.003593	0.003983	0.003426	0.003633	49,602.29	1,288,419
Nov 08, 2020	0.003481	0.003728	0.003436	0.003593	6,345.28	1,274,450
Nov 07, 2020	0.003929	0.003931	0.003303	0.003481	40,786.01	1,234,580
Nov 06, 2020	0.003242	0.004123	0.003066	0.003868	37,631.59	1,371,827
Nov 05, 2020	0.003580	0.003755	0.002901	0.003271	18,427.69	1,160,257
Nov 04, 2020	0.003436	0.004258	0.003409	0.003580	26,312.63	1,269,669
Nov 03, 2020	0.003520	0.003576	0.003419	0.003436	1,965.75	1,218,473
Nov 02, 2020	0.003423	0.003583	0.003277	0.003520	1,756.60	1,248,340
Nov 01, 2020	0.003495	0.003564	0.003299	0.003422	1,695.67	1,213,805
Oct 31, 2020	0.003489	0.003633	0.003290	0.003495	5,184.94	1,239,715
Oct 30, 2020	0.003479	0.003919	0.003232	0.003489	9,757.49	1,237,439
Oct 29, 2020	0.003584	0.003659	0.003299	0.003479	1,581.14	1,233,743
Oct 28, 2020	0.003821	0.003886	0.003523	0.003584	2,411.76	1,271,235
Oct 27, 2020	0.004059	0.004064	0.003752	0.003821	3,186.33	1,355,049
Oct 26, 2020	0.004370	0.004371	0.003932	0.004059	6,628.67	1,439,584
Oct 25, 2020	0.003958	0.004547	0.003205	0.004370	15,560.59	1,550,011
Oct 24, 2020	0.003922	0.003989	0.003850	0.003958	1,137.06	1,403,797
Oct 23, 2020	0.003745	0.004104	0.003630	0.003922	4,797.42	1,390,833
Oct 22, 2020	0.003725	0.004075	0.003641	0.003746	8,902.79	1,328,464
Oct 21, 2020	0.004098	0.004239	0.003664	0.003726	7,222.25	1,321,430
Oct 20, 2020	0.004080	0.004368	0.003993	0.004100	3,692.83	1,454,308
Oct 19, 2020	0.004084	0.004143	0.003713	0.004016	5,021.68	1,424,501
Oct 18, 2020	0.003604	0.004154	0.003540	0.004084	2,429.44	1,448,526
Oct 17, 2020	0.003727	0.004131	0.003518	0.003604	3,443.26	1,278,153
Oct 16, 2020	0.004226	0.004444	0.003720	0.003726	1,365.52	1,321,395
Oct 15, 2020	0.004173	0.004256	0.003684	0.004226	2,111.43	1,498,783
Oct 14, 2020	0.004183	0.004464	0.004070	0.004172	11,801.23	1,479,763
Oct 13, 2020	0.004041	0.004290	0.003764	0.004183	7,740.29	1,483,496
Oct 12, 2020	0.003610	0.004348	0.003517	0.004070	39,462.30	1,443,561
Oct 11, 2020	0.003688	0.003746	0.003461	0.003719	6,549.06	1,319,020
Oct 10, 2020	0.004290	0.004340	0.003689	0.003693	5,979.84	1,309,680
