date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.51	1.72	1.28	1.46	203.68	0
Dec 15, 2020	1.31	1.87	1.15	1.51	3,929.69	0
Dec 14, 2020	1.91	2.18	1.31	1.31	616.57	0
Dec 13, 2020	1.75	2.06	1.74	1.91	32.87	0
Dec 12, 2020	1.78	1.84	1.66	1.75	307.41	0
Dec 11, 2020	1.83	1.83	1.60	1.78	206.43	0
Dec 10, 2020	1.73	1.84	1.47	1.83	437.91	0
Dec 09, 2020	1.86	2.20	1.38	1.73	154.71	0
Dec 08, 2020	2.26	2.27	1.85	1.86	405.57	0
Dec 07, 2020	2.66	2.67	2.25	2.26	349.24	0
Dec 06, 2020	2.26	2.90	2.23	2.66	173.85	0
Dec 05, 2020	2.25	2.35	2.06	2.26	883.00	0
Dec 04, 2020	2.17	2.53	2.17	2.26	282.62	0
Dec 03, 2020	2.30	2.34	2.02	2.17	630.35	0
Dec 02, 2020	2.05	2.36	2.03	2.30	1,172.81	0
Dec 01, 2020	2.21	2.23	2.00	2.05	76.64	0
Nov 30, 2020	2.18	2.32	2.00	2.21	196.34	0
Nov 29, 2020	1.83	2.19	1.81	2.18	175.40	0
Nov 28, 2020	1.93	2.13	1.80	1.83	245.63	0
Nov 27, 2020	2.23	2.25	1.81	1.93	559.39	0
Nov 26, 2020	2.19	2.30	2.08	2.23	389.62	0
Nov 25, 2020	1.60	2.47	1.60	2.19	52.19	0
Nov 24, 2020	1.51	1.63	1.47	1.60	2,838.85	0
Nov 23, 2020	3.98	4.50	1.48	1.51	4,082.51	0
Nov 22, 2020	2.40	4.33	2.36	3.98	234.49	0
Nov 21, 2020	2.32	2.56	2.00	2.40	945.68	0
Nov 20, 2020	2.27	3.21	2.26	2.32	731.17	0
Nov 19, 2020	2.60	2.70	2.21	2.27	586.92	0
Nov 18, 2020	2.81	3.55	2.60	2.60	1,335.82	0
Nov 17, 2020	2.92	3.25	2.71	2.81	1,183.73	0
