date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.064510	0.065151	0.060474	0.063794	152,850	5,812,074
Dec 15, 2020	0.061926	0.067650	0.060025	0.064512	4,874.66	5,877,492
Dec 14, 2020	0.060149	0.065100	0.058577	0.061924	3,778.25	5,632,898
Dec 13, 2020	0.055437	0.060730	0.055001	0.060147	218,377	5,471,274
Dec 12, 2020	0.053662	0.057159	0.053267	0.055447	43,890.17	5,043,678
Dec 11, 2020	0.054301	0.056125	0.051045	0.053660	118,846	4,881,133
Dec 10, 2020	0.055967	0.057641	0.053755	0.054302	229,834	4,939,266
Dec 09, 2020	0.054643	0.057817	0.053959	0.055966	211,661	5,090,551
Dec 08, 2020	0.058521	0.060458	0.053009	0.054640	164,697	4,969,961
Dec 07, 2020	0.060248	0.060248	0.055747	0.058524	153,378	5,323,208
Dec 06, 2020	0.056020	0.061021	0.052299	0.060244	286,801	5,479,678
Dec 05, 2020	0.056059	0.059263	0.055680	0.056019	266,304	5,095,206
Dec 04, 2020	0.063131	0.063504	0.055207	0.056062	162,427	5,099,115
Dec 03, 2020	0.060836	0.063413	0.054088	0.063132	313,777	5,742,192
Dec 02, 2020	0.061302	0.063116	0.057394	0.060838	191,398	5,533,566
Dec 01, 2020	0.068370	0.068542	0.059471	0.061301	229,615	5,575,045
Nov 30, 2020	0.065062	0.070455	0.062767	0.068371	284,312	6,152,831
Nov 29, 2020	0.065808	0.067157	0.063662	0.065063	3,700.86	5,855,150
Nov 28, 2020	0.062533	0.067479	0.062250	0.065811	120,651	5,920,487
Nov 27, 2020	0.065134	0.068036	0.060694	0.062530	171,344	5,625,313
Nov 26, 2020	0.069354	0.069655	0.057308	0.065128	7,636.38	5,859,062
Nov 25, 2020	0.068616	0.075722	0.067263	0.069357	257,542	6,239,492
Nov 24, 2020	0.073759	0.077690	0.063645	0.068615	378,111	6,172,760
Nov 23, 2020	0.081301	0.084678	0.070423	0.073748	392,401	6,634,533
Nov 22, 2020	0.079240	0.087511	0.077752	0.081305	389,067	7,314,405
Nov 21, 2020	0.083832	0.089335	0.079186	0.079240	3,815.93	7,128,573
Nov 20, 2020	0.086706	0.090210	0.082337	0.083837	330,625	7,540,480
Nov 19, 2020	0.083543	0.089053	0.079980	0.086706	305,921	7,798,524
Nov 18, 2020	0.092248	0.092248	0.079251	0.083535	219,504	7,501,458
Nov 17, 2020	0.095105	0.095442	0.083204	0.092287	399,738	8,287,133
Nov 16, 2020	0.092454	0.100892	0.071282	0.095499	768,080	8,572,475
