date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.460721	0.594446	0.460684	0.594432	123,391	0
Dec 15, 2020	0.394729	0.532775	0.390292	0.460733	75,164.74	0
Dec 14, 2020	0.426040	0.426053	0.394722	0.394733	40,174.60	0
Dec 13, 2020	0.444659	0.444674	0.408598	0.426041	26,939.35	0
Dec 12, 2020	0.447540	0.448190	0.433469	0.444658	8,833.05	0
Dec 11, 2020	0.468597	0.468609	0.438669	0.447542	38,850.90	0
Dec 10, 2020	0.444702	0.485668	0.443992	0.468796	19,639.77	0
Dec 09, 2020	0.446041	0.467865	0.425540	0.444702	33,738.50	0
Dec 08, 2020	0.494019	0.494048	0.444728	0.446036	51,055.93	0
Dec 07, 2020	0.599133	0.599247	0.465912	0.494018	98,418.31	0
Dec 06, 2020	0.536283	0.618682	0.535909	0.599122	34,214.12	0
Dec 05, 2020	0.546607	0.558060	0.509647	0.536303	40,892.83	0
Dec 04, 2020	0.511285	0.546651	0.470508	0.546618	43,592.17	0
Dec 03, 2020	0.531901	0.560285	0.498336	0.511289	56,894.19	0
Dec 02, 2020	0.409780	0.545168	0.407254	0.531893	61,838.51	0
Dec 01, 2020	0.419168	0.455316	0.395099	0.409781	90,497.18	0
Nov 30, 2020	0.533285	0.536922	0.418529	0.419203	94,895.74	0
Nov 29, 2020	0.615509	0.691714	0.530826	0.533230	209,019	0
Nov 28, 2020	0.495685	0.672898	0.495685	0.615500	117,003	0
Nov 27, 2020	0.454792	0.497748	0.419070	0.495666	69,457.96	0
Nov 26, 2020	0.371973	0.448189	0.366483	0.448189	100,694	0
Nov 25, 2020	0.356652	0.375817	0.331816	0.371235	42,910.70	0
Nov 24, 2020	0.342440	0.395673	0.341677	0.356648	28,576.25	0
Nov 23, 2020	0.338535	0.350433	0.318169	0.342430	29,798.04	0
Nov 22, 2020	0.322263	0.345029	0.299543	0.338533	30,521.16	0
Nov 21, 2020	0.353585	0.354532	0.319750	0.322264	28,703.98	0
Nov 20, 2020	0.377435	0.385994	0.352171	0.352171	47,770.52	0
Nov 19, 2020	0.426440	0.426841	0.374008	0.377425	66,471.03	0
Nov 18, 2020	0.471630	0.471719	0.426435	0.426471	49,981.45	0
Nov 17, 2020	0.521489	0.521489	0.469837	0.471712	61,754.29	0
Nov 16, 2020	0.629793	0.642409	0.521050	0.521050	159,418	0
Nov 15, 2020	0.707270	0.707270	0.629508	0.629508	74,706.88	0
Nov 14, 2020	0.854892	0.857505	0.706512	0.706512	217,291	0
Nov 13, 2020	1.01	1.01	0.854990	0.857922	237,449	0
Nov 12, 2020	1.09	1.15	1.01	1.01	240,169	0
Nov 11, 2020	1.05	1.10	0.991108	1.09	49,486.34	0
Nov 10, 2020	1.14	1.14	1.03	1.05	100,689	0
Nov 09, 2020	1.29	1.29	1.14	1.14	104,734	0
Nov 08, 2020	1.40	1.42	1.28	1.29	100,204	0
Nov 07, 2020	1.54	1.54	1.40	1.40	110,583	0
Nov 06, 2020	1.80	1.80	1.54	1.55	125,686	0
Nov 05, 2020	2.02	2.02	1.80	1.80	168,945	0
Nov 04, 2020	0	2.13	0	2.02	132,910	0
