date	open	high	low	close	volume	market_cap
Dec 16, 2020	30.99	39.58	30.83	38.81	50,191.87	0
Dec 15, 2020	33.00	34.21	29.85	30.98	33,923.13	0
Dec 14, 2020	32.00	34.92	31.14	33.00	63,049.57	0
Dec 13, 2020	34.58	34.88	30.65	32.00	21,680.07	0
Dec 12, 2020	29.37	39.34	27.83	34.58	63,560.34	0
Dec 11, 2020	30.98	34.62	26.51	29.36	59,535.05	0
Dec 10, 2020	30.20	34.28	26.83	30.98	61,132.61	0
Dec 09, 2020	22.61	55.01	22.20	30.20	288,881	0
Dec 08, 2020	15.12	31.65	15.10	22.61	75,794.42	0
Dec 07, 2020	14.21	15.26	14.18	15.12	9,538.18	0
Dec 06, 2020	18.31	18.40	13.82	14.21	29,361.38	0
Dec 05, 2020	17.94	18.83	17.31	18.31	13,818.61	0
Dec 04, 2020	19.02	19.03	16.41	17.94	18,364.81	0
Dec 03, 2020	20.90	21.55	18.83	19.02	73,076.83	0
