date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.35	1.49	1.19	1.43	5,910.35	5,077,293
Dec 15, 2020	1.38	1.42	1.30	1.35	2,937.09	4,793,230
Dec 14, 2020	1.34	1.39	1.31	1.39	5,514.40	4,922,346
Dec 13, 2020	1.39	1.43	1.28	1.34	2,875.71	4,764,586
Dec 12, 2020	1.21	1.39	1.21	1.39	4,625.26	4,930,751
Dec 11, 2020	1.29	1.29	1.15	1.21	2,571.72	4,309,455
Dec 10, 2020	1.31	1.31	1.14	1.29	5,687.74	4,575,797
Dec 09, 2020	1.28	1.31	1.16	1.31	1,647.81	4,649,732
Dec 08, 2020	1.18	1.31	1.09	1.28	5,596.78	4,530,713
Dec 07, 2020	1.31	1.32	1.10	1.18	2,436.37	4,190,859
Dec 06, 2020	1.30	1.33	1.22	1.31	2,318.07	4,657,700
Dec 05, 2020	1.34	1.39	1.22	1.30	5,038.28	4,616,950
Dec 04, 2020	1.37	1.42	1.30	1.34	2,138.40	4,764,601
Dec 03, 2020	1.37	1.44	1.31	1.37	3,582.77	4,853,376
Dec 02, 2020	1.20	1.38	0.964570	1.37	6,925.94	4,858,484
Dec 01, 2020	1.56	1.56	1.05	1.20	5,267.75	4,260,882
Nov 30, 2020	1.39	1.57	1.35	1.56	10,575.55	5,536,643
Nov 29, 2020	1.30	1.42	1.17	1.39	9,095.71	4,940,921
Nov 28, 2020	1.34	1.52	1.15	1.30	15,260.95	4,611,609
Nov 27, 2020	1.30	1.39	1.22	1.34	5,835.32	4,764,018
Nov 26, 2020	1.40	1.46	1.18	1.30	5,919.56	4,598,799
Nov 25, 2020	1.17	1.45	1.13	1.41	14,168.95	4,990,006
Nov 24, 2020	1.20	1.21	1.03	1.16	4,492.64	4,131,091
Nov 23, 2020	1.20	1.22	1.10	1.20	3,264.72	4,252,311
Nov 22, 2020	1.13	1.22	1.07	1.20	12,510.67	4,273,239
Nov 21, 2020	1.04	1.19	1.02	1.13	5,267.59	4,019,390
Nov 20, 2020	1.04	1.08	1.01	1.04	5,313.66	3,673,733
Nov 19, 2020	0.938243	1.09	0.796848	1.04	20,841.82	3,700,937
Nov 18, 2020	1.02	1.06	0.883951	0.938157	1,588.10	3,326,520
Nov 17, 2020	0.950220	1.02	0.858159	1.02	5,814.57	3,618,903
Nov 16, 2020	0.972057	1.00	0.761895	0.935920	3,303.28	3,318,009
Nov 15, 2020	0.760450	1.03	0.721007	0.972060	17,001.84	3,445,830
Nov 14, 2020	0.766380	0.780833	0.732522	0.760413	882.69	2,695,331
Nov 13, 2020	0.815808	0.824372	0.733888	0.766382	1,483.80	2,716,252
Nov 12, 2020	0.772559	0.835289	0.743513	0.815802	1,884.11	2,891,155
Nov 11, 2020	0.754604	0.812989	0.743126	0.772651	1,701.84	2,737,990
Nov 10, 2020	0.718768	0.804127	0.684523	0.754655	3,565.60	2,673,984
Nov 09, 2020	0.716522	0.758236	0.654793	0.718802	950.42	2,546,723
Nov 08, 2020	0.692951	0.717744	0.648216	0.716859	1,097.79	2,539,617
Nov 07, 2020	0.742334	0.758131	0.664328	0.693676	1,118.60	2,457,271
Nov 06, 2020	0.748058	0.804381	0.684711	0.741710	1,885.26	2,627,190
Nov 05, 2020	0.646045	0.864199	0.595055	0.746934	8,206.27	2,645,461
Nov 04, 2020	0.808773	0.829107	0.639042	0.646030	3,195.71	2,287,881
Nov 03, 2020	0.798083	0.817959	0.696919	0.806749	1,325.23	2,856,807
Nov 02, 2020	0.790135	0.819587	0.689860	0.798612	3,864.14	2,827,740
Nov 01, 2020	0.740391	0.809922	0.720664	0.790109	934.44	2,797,391
Oct 31, 2020	0.754351	0.806434	0.700177	0.740403	888.69	2,621,168
Oct 30, 2020	0.795295	0.817485	0.674707	0.754342	4,317.72	2,670,277
Oct 29, 2020	0.829610	0.839436	0.631510	0.795304	4,166.77	2,815,028
Oct 28, 2020	0.901001	0.908555	0.785025	0.829635	2,762.50	2,936,283
Oct 27, 2020	0.953871	0.958641	0.796540	0.899949	2,508.92	3,184,855
Oct 26, 2020	0.886120	0.954674	0.878671	0.953690	1,490.39	3,374,745
Oct 25, 2020	0.995012	1.01	0.799281	0.885700	2,483.13	3,133,877
Oct 24, 2020	0.952343	0.995350	0.933187	0.995350	1,548.16	3,521,536
Oct 23, 2020	0.919218	0.958320	0.904349	0.952079	5,498.38	3,368,142
Oct 22, 2020	0.784876	0.940827	0.784448	0.911082	4,860.49	3,222,364
Oct 21, 2020	0.963073	0.970886	0.758432	0.784876	5,545.01	2,775,993
Oct 20, 2020	1.01	1.01	0.831087	0.963188	7,672.62	3,406,527
Oct 19, 2020	0.947469	1.01	0.936371	1.01	3,169.83	3,558,113
Oct 18, 2020	0.968486	0.992530	0.886103	0.947469	2,037.07	3,350,332
Oct 17, 2020	0.946024	0.983940	0.938560	0.983731	3,590.47	3,478,243
Oct 16, 2020	0.946452	0.955352	0.920211	0.942354	2,571.39	3,331,649
Oct 15, 2020	0.889491	0.950053	0.837423	0.947105	4,611.57	3,348,143
Oct 14, 2020	0.879059	0.950825	0.854677	0.889491	4,721.54	3,144,185
Oct 13, 2020	0.943201	0.943201	0.863058	0.879070	4,235.62	3,107,071
Oct 12, 2020	1.01	1.01	0.876268	0.933382	6,435.67	3,298,714
Oct 11, 2020	0.993536	1.07	0.966233	1.00	5,296.20	3,535,347
Oct 10, 2020	0.951951	1.06	0.823424	0.999800	10,258.65	3,532,696
Oct 09, 2020	0.988220	1.03	0.947489	0.951951	3,315.48	3,363,321
Oct 08, 2020	0.891722	1.03	0.876823	0.997463	10,142.30	3,523,797
Oct 07, 2020	0.786574	7.83	0.694236	0.891724	13,646.32	3,149,959
Oct 06, 2020	0.726237	0.788959	0.706940	0.786572	4,869.54	2,778,264
Oct 05, 2020	0.717337	0.736204	0.679578	0.735051	6,505.34	2,596,050
Oct 04, 2020	0.665424	0.736210	0.651344	0.717278	6,112.19	2,533,046
Oct 03, 2020	0.666518	0.686577	0.652625	0.665424	4,319.44	2,349,713
Oct 02, 2020	0.599712	0.666760	0.586826	0.666518	4,184.14	2,353,360
Oct 01, 2020	0.603983	0.671544	0.568654	0.599512	5,415.32	2,116,579
Sep 30, 2020	0.598738	0.629050	0.577927	0.604001	4,160.26	2,132,232
Sep 29, 2020	0.592192	0.661747	0.575692	0.598753	6,876.93	2,113,514
Sep 28, 2020	0.549305	0.611440	0.543623	0.592193	6,546.05	2,090,166
Sep 27, 2020	0.488294	0.568678	0.485507	0.548840	6,823.61	1,936,970
Sep 26, 2020	0.536210	0.545103	0.434599	0.512221	6,057.43	1,807,568
Sep 25, 2020	0.531270	0.553048	0.513007	0.536210	3,670.98	1,892,052
Sep 24, 2020	0.475438	0.542947	0.473738	0.537675	2,349.07	1,897,047
Sep 23, 2020	0.509547	0.512417	0.469679	0.475438	3,589.08	1,677,304
Sep 22, 2020	0.479617	0.510303	0.466981	0.509885	2,568.69	1,798,744
Sep 21, 2020	0.475772	0.484004	0.438995	0.479000	1,724.38	1,689,633
Sep 20, 2020	0.505841	0.518549	0.439439	0.475771	5,164.30	1,678,087
Sep 19, 2020	0.507577	0.574105	0.493698	0.505818	4,660.43	1,783,903
Sep 18, 2020	0.479197	0.562080	0.475294	0.507320	5,768.48	1,789,035
Sep 17, 2020	0.471398	0.497214	0.457084	0.479197	2,569.11	1,689,697
Sep 16, 2020	0.423941	0.507378	0.416560	0.471375	1,642.66	1,661,951
Sep 15, 2020	0.447734	0.459148	0.374122	0.423959	2,010.84	1,494,626
Sep 14, 2020	0.431021	0.465468	0.415896	0.447597	1,292.56	1,577,805
Sep 13, 2020	0.448675	0.474839	0.413005	0.430967	1,587.51	1,519,028
Sep 12, 2020	0.468806	0.473853	0.427489	0.448675	947.05	1,581,292
Sep 11, 2020	0.457025	0.476495	0.444788	0.468806	851.61	1,652,070
Sep 10, 2020	0.419207	0.561450	0.419207	0.457025	3,267.29	1,610,394
Sep 09, 2020	0.413309	0.445590	0.403946	0.416765	1,000.97	1,468,386
Sep 08, 2020	0.433318	0.439927	0.402976	0.413296	572.35	1,456,017
Sep 07, 2020	0.430999	0.445080	0.407159	0.433163	682.10	1,525,851
Sep 06, 2020	0.405436	0.461094	0.390099	0.430958	1,002.74	1,517,927
Sep 05, 2020	0.448604	0.452541	0.398222	0.405436	990.97	1,427,888
Sep 04, 2020	0.408116	0.591051	0.396746	0.450623	3,486.94	1,586,866
Sep 03, 2020	0.457348	0.475708	0.400714	0.407945	1,134.67	1,436,430
Sep 02, 2020	0.485643	0.486533	0.437387	0.457348	609.11	1,610,220
Sep 01, 2020	0.486923	0.516789	0.437883	0.485622	1,409.28	1,709,587
Aug 31, 2020	0.585531	0.588563	0.385027	0.487082	4,529.74	1,714,549
Aug 30, 2020	0.494209	0.585422	0.493666	0.585422	350.01	2,060,494
Aug 29, 2020	0.467021	0.496623	0.465072	0.494415	84.10	1,739,997
Aug 28, 2020	0.447915	0.495762	0.447618	0.466930	62.02	1,643,096
Aug 27, 2020	0.482159	0.482583	0.441985	0.447901	1.23	1,575,969
Aug 26, 2020	0.487721	0.487721	0.451316	0.482316	68.56	1,696,881
Aug 25, 2020	0.490739	0.490802	0.487468	0.487721	0	1,715,714
Aug 24, 2020	0.486080	0.491768	0.454378	0.490840	5.33	1,726,503
Aug 23, 2020	0.488002	0.488058	0.462284	0.486226	106.49	1,710,092
Aug 22, 2020	0.444909	0.488130	0.440447	0.488044	1.82	1,716,300
Aug 21, 2020	0.474900	0.488001	0.444351	0.444767	93.39	1,563,940
Aug 20, 2020	0.481406	0.487483	0.473356	0.474954	45.31	1,669,905
Aug 19, 2020	0.466861	0.481775	0.423278	0.481406	54.02	1,692,406
Aug 18, 2020	0.457411	0.471127	0.432923	0.466861	28.61	1,641,097
Aug 17, 2020	0.449027	0.462121	0.440914	0.457508	664.32	1,608,045
Aug 16, 2020	0.462772	0.470680	0.440548	0.449027	606.15	1,578,063
Aug 15, 2020	0.470109	0.475211	0.459867	0.462850	397.07	1,626,464
Aug 14, 2020	0.463374	0.471549	0.451117	0.470124	290.69	1,651,843
Aug 13, 2020	0.450741	0.465369	0.439601	0.463562	374.16	1,628,605
Aug 12, 2020	0.453241	0.463687	0.436435	0.450720	659.61	1,583,313
Aug 11, 2020	0.485098	0.522401	0.442758	0.453008	1,359.73	1,591,173
Aug 10, 2020	0.479685	0.501867	0.449648	0.484968	1,770.70	1,703,243
Aug 09, 2020	0.471724	0.499726	0.443260	0.479494	1,124.90	1,683,827
Aug 08, 2020	0.472752	0.494042	0.467549	0.471568	1,640.91	1,655,809
Aug 07, 2020	0.475887	0.486805	0.464672	0.472602	590.19	1,659,252
Aug 06, 2020	0.493231	0.493467	0.441699	0.475949	830.52	1,670,816
Aug 05, 2020	0.473584	0.494380	0.465940	0.493235	402.16	1,731,301
Aug 04, 2020	0.465147	0.500464	0.462072	0.471966	298.01	1,656,455
Aug 03, 2020	0.480108	0.505575	0.461835	0.465191	465.59	1,632,492
Aug 02, 2020	0.469555	0.521432	0.441808	0.479886	1,239.59	1,683,867
Aug 01, 2020	0.428382	0.518712	0.417464	0.469599	900.50	1,647,583
Jul 31, 2020	0.444883	0.448146	0.411972	0.428382	349.92	1,502,802
Jul 30, 2020	0.406533	0.483862	0.391821	0.444883	844.91	1,560,505
Jul 29, 2020	0.420810	0.428540	0.378847	0.406155	665.17	1,424,495
Jul 28, 2020	0.410947	0.514053	0.345270	0.420660	1,973.58	1,475,196
Jul 27, 2020	0.363441	0.426170	0.363441	0.411508	611.81	1,442,931
Jul 26, 2020	0.355029	0.376965	0.354980	0.363432	320.00	1,274,208
Jul 25, 2020	0.339718	0.380237	0.339587	0.354999	516.35	1,244,495
Jul 24, 2020	0.335473	0.350110	0.332687	0.339692	389.85	1,190,693
