date	open	high	low	close	volume	market_cap
Dec 16, 2020	287.50	327.10	275.60	327.10	1,020.52	0
Dec 15, 2020	293.30	296.20	275.00	287.50	144.20	0
Dec 14, 2020	276.50	293.40	268.00	293.30	223.42	0
Dec 13, 2020	261.20	289.40	256.70	275.10	213.65	0
Dec 12, 2020	231.40	266.70	231.40	261.20	0	0
Dec 11, 2020	261.70	263.00	213.50	231.40	997.57	0
Dec 10, 2020	293.00	294.70	246.60	261.10	1,164.08	0
Dec 09, 2020	267.00	297.20	226.80	293.00	366.14	0
Dec 08, 2020	340.50	340.80	254.60	267.00	3,838.31	0
Dec 07, 2020	341.80	356.90	324.20	340.10	0	0
Dec 06, 2020	351.80	358.20	317.40	342.30	40.48	0
Dec 05, 2020	296.50	351.80	290.60	351.80	298.71	0
Dec 04, 2020	392.80	402.40	291.80	297.40	17,811.73	0
Dec 03, 2020	363.70	395.80	348.50	392.40	4,934.88	0
Dec 02, 2020	322.90	369.80	319.80	362.70	0	0
Dec 01, 2020	386.00	412.80	303.50	322.90	263.30	0
Nov 30, 2020	343.60	396.40	334.40	386.00	639.78	0
Nov 29, 2020	331.10	353.10	306.20	344.00	4.70	0
Nov 28, 2020	304.55	343.30	282.50	331.10	45.47	0
Nov 27, 2020	304.55	304.55	259.80	304.55	0	0
Nov 26, 2020	464.50	493.80	221.60	304.55	988.33	0
Nov 25, 2020	494.20	623.25	427.75	463.20	8,038.80	0
Nov 24, 2020	424.70	547.30	392.40	493.30	5,209.04	0
Nov 23, 2020	330.40	425.70	316.00	425.20	733.00	0
Nov 22, 2020	358.90	373.30	269.50	330.40	100.02	0
Nov 21, 2020	254.90	363.20	254.40	358.90	19.79	0
Nov 20, 2020	236.15	266.50	235.85	254.90	5,719.10	0
Nov 19, 2020	242.20	242.20	214.50	236.15	5,300.94	0
Nov 18, 2020	271.60	278.90	213.25	242.20	2.09	0
Nov 17, 2020	236.95	280.10	234.20	271.60	230.68	0
Nov 16, 2020	207.30	236.20	205.55	230.15	6,931.65	0
Nov 15, 2020	210.60	226.15	200.65	207.30	0	0
Nov 14, 2020	232.65	233.55	204.15	210.60	270.64	0
Nov 13, 2020	205.40	238.05	203.40	232.65	42.34	0
Nov 12, 2020	243.80	248.20	205.40	205.40	523.23	0
Nov 11, 2020	237.30	257.40	227.80	243.80	446.07	0
Nov 10, 2020	201.90	239.35	201.90	237.30	367.04	0
Nov 09, 2020	219.70	223.75	186.40	201.90	2,462.17	0
Nov 08, 2020	185.35	223.20	181.70	219.70	114.41	0
Nov 07, 2020	217.15	255.35	175.65	185.35	16,286.61	0
Nov 06, 2020	166.50	217.15	166.50	217.15	352.16	0
Nov 05, 2020	149.25	171.20	147.40	166.50	945.63	0
Nov 04, 2020	158.05	158.45	134.65	149.25	294.06	0
Nov 03, 2020	181.30	181.30	145.65	158.05	1,558.11	0
Nov 02, 2020	197.65	208.00	177.90	181.30	758.53	0
Nov 01, 2020	188.00	200.00	185.60	197.65	1,130.22	0
Oct 31, 2020	175.00	194.20	175.00	188.00	0	0
Oct 30, 2020	188.60	191.05	159.60	175.00	21.05	0
Oct 29, 2020	212.60	216.30	183.05	188.60	872.56	0
Oct 28, 2020	250.40	251.90	202.90	212.60	6.63	0
Oct 27, 2020	250.30	257.50	242.00	250.40	7.56	0
Oct 26, 2020	278.60	284.90	240.70	250.30	58.91	0
Oct 25, 2020	300.80	303.60	274.40	278.60	1,501.21	0
Oct 24, 2020	294.90	302.80	288.70	300.80	69.30	0
Oct 23, 2020	310.00	310.00	275.80	294.90	63.46	0
Oct 22, 2020	284.80	328.90	281.40	308.80	200.36	0
Oct 21, 2020	248.50	292.30	247.00	285.60	187.86	0
Oct 20, 2020	289.60	289.60	245.60	249.30	813.45	0
Oct 19, 2020	291.10	299.30	275.60	289.80	2,456.69	0
Oct 18, 2020	276.10	297.60	276.10	291.10	586.05	0
Oct 17, 2020	267.70	279.40	262.60	276.10	693.84	0
Oct 16, 2020	311.00	312.10	257.20	267.30	874.93	0
Oct 15, 2020	317.50	324.20	298.60	310.90	962.27	0
Oct 14, 2020	324.90	338.00	310.80	319.00	0	0
Oct 13, 2020	338.00	341.80	316.90	323.90	92.80	0
Oct 12, 2020	328.40	352.70	312.80	338.00	809.98	0
Oct 11, 2020	324.80	338.90	317.30	328.90	36.18	0
Oct 10, 2020	320.70	353.50	320.70	325.40	15.03	0
Oct 09, 2020	292.90	325.30	282.50	321.40	27.97	0
Oct 08, 2020	279.90	296.00	256.40	291.80	18.00	0
Oct 07, 2020	260.80	281.00	236.70	279.40	11.85	0
Oct 06, 2020	339.20	345.00	254.70	260.00	5,879.94	0
Oct 05, 2020	351.60	362.30	332.40	340.00	518.84	0
Oct 04, 2020	344.60	359.40	336.90	351.50	40.37	0
Oct 03, 2020	340.90	367.40	336.90	344.40	13.54	0
Oct 02, 2020	378.50	385.70	295.80	341.10	2,448.41	0
Oct 01, 2020	420.00	447.50	357.70	376.80	61.91	0
Sep 30, 2020	440.00	443.00	396.30	417.60	79.82	0
Sep 29, 2020	442.80	452.30	394.20	438.40	35.21	0
Sep 28, 2020	422.90	496.10	422.90	445.00	37.05	0
Sep 27, 2020	430.80	450.60	380.50	421.90	949.70	0
Sep 26, 2020	420.00	456.00	420.00	431.90	979.07	0
Sep 25, 2020	411.20	436.30	363.10	419.00	398.86	0
Sep 24, 2020	326.00	410.90	318.20	410.90	2,415.21	0
Sep 23, 2020	406.50	427.20	322.20	326.00	239.32	0
Sep 22, 2020	405.10	433.00	363.70	407.40	416.35	0
Sep 21, 2020	629.25	668.75	377.00	407.70	4,341.41	0
Sep 20, 2020	734.25	750.00	583.00	629.25	154.28	0
Sep 19, 2020	741.25	753.25	686.00	738.75	23.29	0
Sep 18, 2020	685.75	790.50	659.00	741.25	14.81	0
Sep 17, 2020	597.00	706.75	586.75	685.75	206.30	0
Sep 16, 2020	637.50	673.25	561.50	593.75	127.19	0
Sep 15, 2020	804.00	869.75	634.25	640.50	111.61	0
Sep 14, 2020	772.75	838.00	704.00	804.00	27.06	0
Sep 13, 2020	929.00	982.50	682.75	777.00	3,016.14	0
Sep 12, 2020	917.00	933.50	831.50	929.00	164.85	0
Sep 11, 2020	863.50	929.50	740.75	917.00	3,300.33	0
Sep 10, 2020	737.00	870.00	731.00	863.50	2,364.27	0
Sep 09, 2020	707.75	769.25	659.50	737.00	438.47	0
Sep 08, 2020	675.00	782.00	611.00	707.75	11,403.12	0
Sep 07, 2020	659.50	687.50	480.50	672.00	12,668.41	0
Sep 06, 2020	513.60	687.10	452.00	659.50	5,181.20	0
Sep 05, 2020	858.75	907.75	441.25	511.80	18,488.70	0
Sep 04, 2020	766.25	916.50	644.00	861.25	8,083.99	0
Sep 03, 2020	1,316.00	1,426.00	728.00	771.25	33,592.23	0
Sep 02, 2020	1,558.50	1,595.50	1,127.00	1,310.00	6,762.36	0
Sep 01, 2020	1,561.00	1,671.50	1,486.50	1,555.00	2,991.56	0
Aug 31, 2020	1,480.00	1,660.00	1,459.00	1,561.00	199.62	0
Aug 30, 2020	1,440.50	1,586.50	1,440.50	1,480.00	1,371.90	0
Aug 29, 2020	1,292.50	1,486.00	1,242.50	1,450.00	600.12	0
Aug 28, 2020	1,136.50	1,336.00	1,123.00	1,290.00	822.96	0
Aug 27, 2020	1,294.00	1,317.00	989.50	1,136.50	4,586.27	0
Aug 26, 2020	1,220.00	1,350.00	1,156.50	1,294.00	1,556.43	0
Aug 25, 2020	1,491.50	1,508.50	1,034.00	1,220.00	1,617.75	0
Aug 24, 2020	1,460.00	1,601.00	1,383.50	1,494.50	141,369	0
Aug 23, 2020	1,622.50	1,645.50	1,400.00	1,465.00	5,045.45	0
Aug 22, 2020	1,313.50	1,640.00	1,154.00	1,622.50	7,348.20	0
Aug 21, 2020	1,748.00	2,063.50	1,313.50	1,313.50	6,060.19	0
Aug 20, 2020	1,405.50	1,748.00	1,405.50	1,748.00	644.51	0
Aug 19, 2020	1,724.00	1,770.50	1,294.50	1,405.50	12,222.23	0
Aug 18, 2020	1,968.00	2,122.50	1,717.00	1,720.00	4,335.57	0
Aug 17, 2020	1,980.50	2,210.50	1,943.50	1,970.50	2,237.96	0
Aug 16, 2020	1,733.50	2,058.50	1,654.00	1,980.50	91.66	0
Aug 15, 2020	1,928.00	2,043.50	1,707.50	1,737.00	19,308.58	0
Aug 14, 2020	1,453.50	2,002.00	1,438.50	1,928.00	3,936.53	0
Aug 13, 2020	1,373.00	1,599.00	1,298.50	1,449.50	897.54	0
Aug 12, 2020	1,297.50	1,453.00	1,122.00	1,376.00	1,843.59	0
Aug 11, 2020	1,815.00	1,815.00	1,132.50	1,302.00	8,046.42	0
Aug 10, 2020	1,405.00	1,815.00	1,304.50	1,815.00	5,078.77	0
Aug 09, 2020	1,403.50	1,457.00	1,308.00	1,405.00	140.04	0
Aug 08, 2020	1,154.50	1,403.50	1,127.00	1,403.50	616.56	0
Aug 07, 2020	1,206.00	1,293.00	1,062.50	1,155.00	5,602.24	0
Aug 06, 2020	1,083.50	1,208.50	1,071.00	1,206.00	185.39	0
Aug 05, 2020	1,044.75	1,090.50	1,012.50	1,083.50	337.01	0
Aug 04, 2020	963.50	1,049.25	963.50	1,045.75	2,344.32	0
Aug 03, 2020	943.00	998.75	938.00	963.50	3,007.46	0
