date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009085	0.009759	0.009010	0.009750	477.97	0
Dec 15, 2020	0.008971	0.009085	0.008787	0.009085	23,600.67	0
Dec 14, 2020	0.009079	0.009079	0.008740	0.008971	25,964.95	0
Dec 13, 2020	0.008954	0.009107	0.008952	0.009079	25,619.83	0
Dec 12, 2020	0.008796	0.008955	0.008787	0.008954	22,072.15	0
Dec 11, 2020	0.008868	0.008868	0.008723	0.008796	23,760.28	0
Dec 10, 2020	0.009092	0.009174	0.008840	0.008868	21,469.82	0
Dec 09, 2020	0.008892	0.009137	0.008840	0.009092	22,762.02	0
Dec 08, 2020	0.009155	0.009164	0.008892	0.008892	23,996.18	0
Dec 07, 2020	0.009152	0.009305	0.009139	0.009154	24,657.89	0
Dec 06, 2020	0.009028	0.009151	0.009028	0.009151	24,178.15	0
Dec 05, 2020	0.009039	0.009147	0.008893	0.009028	24,628.63	0
Dec 04, 2020	0.009244	0.009279	0.009037	0.009040	24,107.99	0
Dec 03, 2020	0.009125	0.009244	0.009080	0.009244	24,955.53	0
Dec 02, 2020	0.009030	0.009131	0.008985	0.009125	23,360.02	0
Dec 01, 2020	0.009077	0.009194	0.009028	0.009030	22,554.39	0
Nov 30, 2020	0.008846	0.009080	0.008829	0.009077	25,217.94	0
Nov 29, 2020	0.008697	0.008878	0.008666	0.008846	23,277.83	0
Nov 28, 2020	0.008661	0.008730	0.008603	0.008697	21,756.66	0
Nov 27, 2020	0.009595	0.009595	0.008660	0.008660	21,065.59	0
Nov 26, 2020	0.012201	0.012263	0.009594	0.009594	21,179.65	0
Nov 25, 2020	0.010610	0.012228	0.010608	0.012201	22,207.15	0
Nov 24, 2020	0.010064	0.010610	0.009479	0.010610	23,564.54	0
Nov 23, 2020	0.028687	0.032168	0.010063	0.010063	25,442.79	0
Nov 22, 2020	0.024011	0.028691	0.023949	0.028687	24,964.44	0
Nov 21, 2020	0.021100	0.024015	0.021099	0.024011	26,610.34	0
Nov 20, 2020	0.022331	0.023184	0.021067	0.021100	23,534.08	0
Nov 19, 2020	0.023935	0.024055	0.021880	0.022331	22,076.08	0
Nov 18, 2020	0.023834	0.024087	0.023777	0.023935	22,523.41	0
Nov 17, 2020	0.022499	0.023835	0.013319	0.023835	21,127.23	0
Nov 16, 2020	0.015310	0.022284	0.015212	0.022284	22,401.58	0
Nov 15, 2020	0.012594	0.015420	0.012218	0.015310	18,323.64	0
Nov 14, 2020	0.016075	0.016087	0.012201	0.012594	23,174.22	0
Nov 13, 2020	0.016811	0.023985	0.014551	0.016070	44,974.81	0
Nov 12, 2020	0.539532	0.548757	0.011815	0.016802	82,041.50	0
Nov 11, 2020	0.560027	0.578007	0.538516	0.539540	50,517.48	0
Nov 10, 2020	0.548107	0.562846	0.543676	0.560203	1,818.85	0
Nov 09, 2020	0.567452	0.568850	0.542342	0.548118	44,829.16	0
Nov 08, 2020	0.587470	0.590397	0.564980	0.567446	47,603.38	0
Nov 07, 2020	0.610074	0.617639	0.581197	0.587457	46,199.09	0
Nov 06, 2020	0.573445	0.610946	0.572604	0.610048	47,253.47	0
Nov 05, 2020	0.551080	0.602587	0.550625	0.573251	55,102.72	0
Nov 04, 2020	0.554058	0.556100	0.537777	0.551074	45,487.37	0
Nov 03, 2020	0.607427	0.607427	0.544465	0.553703	45,951.16	0
Nov 02, 2020	0.630874	0.648598	0.607519	0.607519	50,651.78	0
Nov 01, 2020	0.651440	0.651440	0.627273	0.630607	50,280.81	0
Oct 31, 2020	0.723529	0.732847	0.651390	0.651412	54,645.28	0
Oct 30, 2020	0.763891	0.770188	0.717320	0.723849	55,656.96	0
Oct 29, 2020	0.742734	0.778601	0.741768	0.764002	82,476.26	0
Oct 28, 2020	0.781802	0.933726	0.723841	0.742773	56,279.30	0
Oct 27, 2020	0.366307	0.781817	0.269532	0.781804	17,799.53	0
Oct 26, 2020	1.26	1.28	0.076386	0.366300	46,350.75	0
Oct 25, 2020	1.28	1.32	1.21	1.26	78,190.34	0
Oct 24, 2020	1.43	1.43	1.22	1.28	86,724.23	0
Oct 23, 2020	1.43	1.58	1.31	1.43	86,065.98	0
Oct 22, 2020	1.45	1.55	1.40	1.43	88,304.23	0
Oct 21, 2020	1.45	1.48	1.41	1.45	122,017	0
Oct 20, 2020	1.45	1.45	1.44	1.45	122,891	0
Oct 19, 2020	1.44	1.45	1.44	1.45	123,357	0
Oct 18, 2020	1.46	1.46	1.44	1.44	118,148	0
Oct 17, 2020	1.45	1.46	1.45	1.46	124,821	0
Oct 16, 2020	1.44	1.46	1.44	1.45	120,785	0
Oct 15, 2020	1.46	1.46	1.40	1.44	127,145	0
Oct 14, 2020	1.46	1.47	1.45	1.46	121,862	0
Oct 13, 2020	1.46	1.47	1.45	1.46	121,869	0
Oct 12, 2020	1.43	1.47	1.42	1.46	126,410	0
Oct 11, 2020	1.43	1.43	1.42	1.43	112,953	0
Oct 10, 2020	1.38	1.43	1.38	1.43	116,717	0
Oct 09, 2020	1.33	1.38	1.33	1.38	51,698.62	0
Oct 08, 2020	1.26	1.34	1.26	1.33	49,677.43	0
