date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002227	0.002239	0.001652	0.002196	1,659.65	0
Dec 15, 2020	0.002295	0.002299	0.001724	0.002227	2,320.17	0
Dec 14, 2020	0.001747	0.002727	0.001720	0.002295	3,110.63	0
Dec 13, 2020	0.001738	0.001832	0.001530	0.001747	2,666.56	0
Dec 12, 2020	0.001658	0.001928	0.001649	0.001738	5,725.29	0
Dec 11, 2020	0.001747	0.001751	0.001616	0.001688	1,767.37	0
Dec 10, 2020	0.001898	0.001908	0.001698	0.001747	1,210.52	0
Dec 09, 2020	0.001944	0.001951	0.001559	0.001894	1,612.84	0
Dec 08, 2020	0.001817	0.002259	0.001704	0.001944	2,993.54	0
Dec 07, 2020	0.001580	0.002393	0.001465	0.001835	3,111.33	0
Dec 06, 2020	0.002786	0.003297	0.000955	0.001580	19,061.95	0
Dec 05, 2020	0.003498	0.003783	0.002768	0.003276	2,262.00	0
Dec 04, 2020	0.003782	0.003870	0.003460	0.003523	1,111.66	0
Dec 03, 2020	0.003897	0.004074	0.003764	0.003782	1,571.12	0
Dec 02, 2020	0.003827	0.003900	0.003763	0.003897	1,153.22	0
Dec 01, 2020	0.003850	0.003977	0.003792	0.003827	1,213.10	0
Nov 30, 2020	0.003893	0.003984	0.003761	0.003845	942.63	0
Nov 29, 2020	0.004001	0.004088	0.003721	0.003893	1,129.77	0
Nov 28, 2020	0.004090	0.004116	0.003805	0.004001	1,196.79	0
Nov 27, 2020	0.004093	0.004116	0.003808	0.004090	1,344.89	0
Nov 26, 2020	0.004160	0.004221	0.003993	0.004080	1,403.12	0
Nov 25, 2020	0.004122	0.004217	0.004091	0.004177	2,131.58	0
Nov 24, 2020	0.004299	0.004324	0.004015	0.004088	1,642.83	0
Nov 23, 2020	0.004033	0.004306	0.003933	0.004299	2,056.22	0
Nov 22, 2020	0.004189	0.004279	0.003748	0.004033	1,579.90	0
Nov 21, 2020	0.004103	0.004321	0.003766	0.004189	1,529.50	0
