date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.142306	0.142372	0.124353	0.124354	6,725.45	0
Dec 15, 2020	0.130825	0.156373	0.128039	0.142305	8,607.24	0
Dec 14, 2020	0.141048	0.146560	0.129309	0.130825	9,912.87	0
Dec 13, 2020	0.132809	0.145632	0.128226	0.141048	14,178.69	0
Dec 12, 2020	0.135557	0.161202	0.132809	0.132809	20,485.49	0
Dec 11, 2020	0.126912	0.208466	0.126191	0.135557	147,548	0
Dec 10, 2020	0.129674	0.145215	0.126533	0.126912	4,116.31	0
Dec 09, 2020	0.136296	0.139249	0.125268	0.129672	10,508.81	0
Dec 08, 2020	0.125385	0.136332	0.120621	0.136296	1,756.75	0
Dec 07, 2020	0.132857	0.137930	0.124309	0.125383	2,232.05	0
Dec 06, 2020	0.136548	0.138393	0.119941	0.132857	4,081.25	0
Dec 05, 2020	0.143006	0.143006	0.119941	0.136548	5,156.31	0
Dec 04, 2020	0.145562	0.145974	0.134299	0.143006	825.05	0
Dec 03, 2020	0.142678	0.145622	0.132638	0.145563	3,232.39	0
Dec 02, 2020	0.142805	0.143295	0.129452	0.142678	3,290.44	0
Dec 01, 2020	0.136035	0.150096	0.125487	0.142805	7,828.99	0
Nov 30, 2020	0.135742	0.162595	0.135742	0.136035	13,391.11	0
Nov 29, 2020	0.142983	0.152032	0.135742	0.135742	3,638.65	0
Nov 28, 2020	0.140268	0.169226	0.140268	0.142983	4,690.55	0
Nov 27, 2020	0.137363	0.149361	0.135760	0.140268	2,121.53	0
Nov 26, 2020	0.143700	0.146586	0.133572	0.137360	3,679.28	0
Nov 25, 2020	0.129644	0.147325	0.126468	0.143681	9,250.06	0
Nov 24, 2020	0.135538	0.141333	0.125132	0.129642	15,629.12	0
Nov 23, 2020	0.128250	0.141866	0.125561	0.135538	4,478.48	0
Nov 22, 2020	0.129133	0.129133	0.122856	0.128250	2,130.07	0
Nov 21, 2020	0.116578	0.141688	0.116578	0.129133	7,036.14	0
Nov 20, 2020	0.126541	0.126728	0.115678	0.116578	4,712.61	0
Nov 19, 2020	0.121960	0.130260	0.121337	0.126541	1,466.78	0
Nov 18, 2020	0.120264	0.126660	0.116514	0.121959	9,004.90	0
Nov 17, 2020	0.120127	0.127525	0.118340	0.120259	1,115.94	0
Nov 16, 2020	0.126353	0.131114	0.120794	0.124616	1,655.83	0
Nov 15, 2020	0.124479	0.127185	0.123577	0.126353	1,510.01	0
Nov 14, 2020	0.122674	0.124479	0.118164	0.124479	1,383.81	0
Nov 13, 2020	0.113892	0.122830	0.113733	0.122674	4,953.13	0
Nov 12, 2020	0.121354	0.126041	0.113872	0.113872	3,459.29	0
Nov 11, 2020	0.114578	0.125742	0.113226	0.121351	4,277.37	0
Nov 10, 2020	0.114316	0.120130	0.111874	0.114578	1,704.88	0
Nov 09, 2020	0.112321	0.123100	0.112312	0.114321	824.36	0
Nov 08, 2020	0.122114	0.124788	0.112310	0.112321	2,183.85	0
Nov 07, 2020	0.119440	0.122114	0.117658	0.122114	248.04	0
