date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000020	0.000028	0.000018	0.000026	1,476.30	760,381
Dec 15, 2020	0.000018	0.000032	0.000018	0.000020	3,873.53	571,997
Dec 14, 2020	0.000019	0.000024	0.000018	0.000018	1,038.14	518,048
Dec 13, 2020	0.000030	0.000030	0.000019	0.000019	1,153.79	550,746
Dec 12, 2020	0.000023	0.000033	0.000018	0.000030	1,046.94	873,724
Dec 11, 2020	0.000021	0.000026	0.000018	0.000023	365.51	664,336
Dec 10, 2020	0.000023	0.000029	0.000017	0.000021	7,537.24	610,871
Dec 09, 2020	0.000029	0.000029	0.000020	0.000023	725.18	658,565
Dec 08, 2020	0.000028	0.000031	0.000020	0.000029	1,606.58	824,190
Dec 07, 2020	0.000023	0.000028	0.000019	0.000028	8,626.49	809,012
Dec 06, 2020	0.000032	0.000035	0.000021	0.000023	1,508.06	663,517
Dec 05, 2020	0.000032	0.000035	0.000019	0.000032	2,108.71	922,088
Dec 04, 2020	0.000020	0.000033	0.000018	0.000032	6,434.54	916,798
Dec 03, 2020	0.000028	0.000033	0.000019	0.000020	15,797.49	571,834
Dec 02, 2020	0.000047	0.000052	0.000022	0.000028	19,053.56	808,549
Dec 01, 2020	0.000039	0.000056	0.000027	0.000047	8,906.36	1,359,122
Nov 30, 2020	0.000054	0.000054	0.000032	0.000039	13,420.58	1,110,865
Nov 29, 2020	0.000045	0.000054	0.000036	0.000054	16,684.47	1,537,325
Nov 28, 2020	0.000055	0.000076	0.000039	0.000045	38,574.33	1,283,841
Nov 27, 2020	0.000045	0.000063	0.000034	0.000055	22,926.18	1,592,264
Nov 26, 2020	0.000191	0.000198	0.000029	0.000047	95,388.86	1,356,299
Nov 25, 2020	0.000226	0.000230	0.000177	0.000191	17,221.83	5,472,870
Nov 24, 2020	0.000202	0.000231	0.000200	0.000226	6,195.37	6,480,915
Nov 23, 2020	0.000223	0.000246	0.000183	0.000202	19,155.35	5,792,897
Nov 22, 2020	0.000274	0.000274	0.000188	0.000223	10,332.90	6,412,710
Nov 21, 2020	0.000219	0.000274	0.000202	0.000274	9,722.02	7,864,516
Nov 20, 2020	0.000204	0.000219	0.000195	0.000219	1,938.17	6,291,493
Nov 19, 2020	0.000203	0.000211	0.000190	0.000204	2,618.77	5,872,190
Nov 18, 2020	0.000194	0.000215	0.000185	0.000203	5,873.57	5,827,554
Nov 17, 2020	0.000173	0.000199	0.000162	0.000194	91,509.08	5,577,881
Nov 16, 2020	0.000210	0.000211	0.000191	0.000209	1,150.90	6,003,510
Nov 15, 2020	0.000195	0.000210	0.000180	0.000210	7,099.48	6,019,202
Nov 14, 2020	0.000198	0.000210	0.000177	0.000195	5,848.26	5,595,862
Nov 13, 2020	0.000211	0.000232	0.000195	0.000198	10,094.67	5,676,111
Nov 12, 2020	0.000202	0.000248	0.000199	0.000211	17,524.97	6,066,631
Nov 11, 2020	0.000201	0.000215	0.000189	0.000202	12,159.43	5,794,977
Nov 10, 2020	0.000204	0.000209	0.000189	0.000201	1,902.13	5,772,905
Nov 09, 2020	0.000220	0.000236	0.000195	0.000204	6,295.28	5,851,992
Nov 08, 2020	0.000210	0.000232	0.000199	0.000220	6,941.20	6,318,058
Nov 07, 2020	0.000221	0.000276	0.000209	0.000210	6,650.41	6,024,397
Nov 06, 2020	0.000202	0.000273	0.000200	0.000221	12,226.10	6,343,565
Nov 05, 2020	0.000185	0.000204	0.000162	0.000202	17,615.37	5,795,877
Nov 04, 2020	0.000170	0.000186	0.000151	0.000185	3,651.92	5,307,652
Nov 03, 2020	0.000172	0.000179	0.000161	0.000170	6,197.34	4,869,330
Nov 02, 2020	0.000176	0.000190	0.000163	0.000172	5,342.62	4,932,243
Nov 01, 2020	0.000189	0.000190	0.000168	0.000175	1,176.31	5,035,535
Oct 31, 2020	0.000176	0.000194	0.000175	0.000189	889.03	5,427,561
Oct 30, 2020	0.000186	0.000190	0.000159	0.000176	6,126.94	5,061,385
Oct 29, 2020	0.000177	0.000191	0.000173	0.000186	7,942.90	5,341,596
Oct 28, 2020	0.000173	0.000188	0.000167	0.000177	2,604.58	5,072,735
Oct 27, 2020	0.000180	0.000195	0.000163	0.000173	3,239.01	4,967,683
Oct 26, 2020	0.000182	0.000184	0.000166	0.000180	2,370.69	5,172,927
Oct 25, 2020	0.000169	0.000182	0.000167	0.000182	1,661.18	5,233,529
