date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.065929	0.070215	0.062504	0.069938	492,257	3,218,950
Dec 15, 2020	0.068909	0.069885	0.064131	0.065933	475,398	3,034,605
Dec 14, 2020	0.074676	0.075098	0.067432	0.068933	424,069	3,172,685
Dec 13, 2020	0.073946	0.079976	0.068120	0.074671	462,131	3,436,795
Dec 12, 2020	0.082555	0.083672	0.071161	0.073952	496,230	3,403,707
Dec 11, 2020	0.076464	0.083689	0.074835	0.082549	454,853	3,799,398
Dec 10, 2020	0.090863	0.090913	0.075168	0.076485	237,618	3,520,280
Dec 09, 2020	0.087823	0.094878	0.083120	0.090862	448,992	4,181,982
Dec 08, 2020	0.080788	0.095814	0.075255	0.087853	446,456	4,043,516
Dec 07, 2020	0.073963	0.082982	0.072761	0.080792	354,858	3,718,502
Dec 06, 2020	0.071510	0.074873	0.071273	0.073959	228,690	3,404,026
Dec 05, 2020	0.067554	0.071704	0.066881	0.071485	500,563	3,290,127
Dec 04, 2020	0.070179	0.071428	0.066681	0.067678	264,131	3,114,950
Dec 03, 2020	0.065847	0.073808	0.065519	0.070168	351,763	3,229,549
Dec 02, 2020	0.064052	0.070927	0.063292	0.065848	222,153	3,030,722
Dec 01, 2020	0.063762	0.065982	0.059331	0.064054	178,483	2,948,112
Nov 30, 2020	0.063617	0.075068	0.058836	0.063766	218,982	2,934,869
Nov 29, 2020	0.056189	0.073964	0.053855	0.063619	283,719	2,928,123
Nov 28, 2020	0.053145	0.057525	0.052650	0.056189	253,368	2,586,159
Nov 27, 2020	0.051267	0.053690	0.049032	0.053145	355,743	2,446,058
Nov 26, 2020	0.055060	0.057453	0.048415	0.051220	233,580	2,357,454
Nov 25, 2020	0.055493	0.057390	0.053368	0.055063	291,023	2,534,325
Nov 24, 2020	0.058530	0.059226	0.050780	0.055497	278,987	2,554,271
Nov 23, 2020	0.057899	0.058773	0.053974	0.058492	321,197	2,692,122
Nov 22, 2020	0.055679	0.058186	0.052997	0.057902	222,167	2,664,960
Nov 21, 2020	0.055486	0.057956	0.054253	0.055678	169,093	2,562,611
Nov 20, 2020	0.051816	0.056027	0.050796	0.055488	292,915	2,553,870
Nov 19, 2020	0.050688	0.054988	0.050688	0.051770	377,475	2,382,751
Nov 18, 2020	0.054881	0.057147	0.048965	0.050684	445,914	2,332,777
Nov 17, 2020	0.052644	0.055486	0.046675	0.054879	242,769	2,525,865
Nov 16, 2020	0.048726	0.053174	0.047727	0.052151	327,983	2,400,293
Nov 15, 2020	0.046749	0.049497	0.044515	0.048726	281,522	2,242,664
Nov 14, 2020	0.045433	0.047234	0.043758	0.046747	274,745	2,151,559
Nov 13, 2020	0.044788	0.046944	0.044360	0.045433	317,948	2,091,098
Nov 12, 2020	0.041116	0.045340	0.039576	0.044788	356,015	2,061,407
Nov 11, 2020	0.032996	0.046735	0.030080	0.041120	284,790	1,892,583
Nov 10, 2020	0.039402	0.043759	0.031136	0.032998	239,080	1,518,737
Nov 09, 2020	0.040728	0.051579	0.037317	0.039409	271,198	1,813,843
Nov 08, 2020	0.050831	0.052340	0.035712	0.040727	260,011	1,874,483
Nov 07, 2020	0.061637	0.062062	0.049331	0.050830	305,457	2,339,493
Nov 06, 2020	0.058645	0.063994	0.052055	0.061637	337,755	2,836,876
Nov 05, 2020	0.058286	0.060251	0.056056	0.058577	298,039	2,696,033
Nov 04, 2020	0.060735	0.062530	0.057419	0.058285	326,440	2,682,610
Nov 03, 2020	0.060865	0.061465	0.058925	0.060607	301,337	2,789,498
Nov 02, 2020	0.061076	0.062141	0.057417	0.060898	288,857	2,802,854
Nov 01, 2020	0.074742	0.075564	0.053364	0.061074	214,462	2,810,986
Oct 31, 2020	0.064722	0.081136	0.055317	0.074733	261,180	3,439,651
Oct 30, 2020	0.063795	0.067447	0.061407	0.064721	255,680	2,978,845
Oct 29, 2020	0.050281	0.075695	0.048031	0.063840	284,139	0
Oct 28, 2020	0.063266	0.064044	0.049450	0.050282	262,603	0
Oct 27, 2020	0.079383	0.079383	0.049843	0.063204	309,854	0
