date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000765	0.000765	0.000675	0.000710	1,662,260	2,995,084
Dec 15, 2020	0.000750	0.000772	0.000736	0.000765	876,775	3,229,100
Dec 14, 2020	0.000741	0.000778	0.000738	0.000752	865,230	3,172,324
Dec 13, 2020	0.000745	0.000759	0.000735	0.000741	1,111,256	3,127,338
Dec 12, 2020	0.000752	0.000767	0.000741	0.000743	1,148,439	3,132,690
Dec 11, 2020	0.000704	0.000829	0.000682	0.000754	1,800,785	3,181,885
Dec 10, 2020	0.000721	0.000722	0.000683	0.000705	854,445	2,976,157
Dec 09, 2020	0.000739	0.000752	0.000682	0.000718	1,149,321	3,030,477
Dec 08, 2020	0.000768	0.000802	0.000735	0.000743	1,018,109	3,134,592
Dec 07, 2020	0.000775	0.000784	0.000756	0.000769	705,986	3,242,175
Dec 06, 2020	0.000771	0.000798	0.000756	0.000777	1,300,678	3,277,526
Dec 05, 2020	0.000740	0.000774	0.000737	0.000771	1,051,034	3,251,615
Dec 04, 2020	0.000846	0.000846	0.000736	0.000739	1,754,064	3,118,075
Dec 03, 2020	0.000725	0.000920	0.000705	0.000841	2,421,900	3,548,126
Dec 02, 2020	0.000701	0.000736	0.000689	0.000727	1,000,480	3,067,806
Dec 01, 2020	0.000739	0.000757	0.000699	0.000701	1,077,014	2,955,354
Nov 30, 2020	0.000758	0.000768	0.000734	0.000745	1,220,450	3,142,344
Nov 29, 2020	0.000763	0.000772	0.000750	0.000758	790,833	3,199,089
Nov 28, 2020	0.000756	0.000777	0.000736	0.000764	895,764	3,222,057
Nov 27, 2020	0.000763	0.000774	0.000726	0.000758	1,191,322	3,198,534
Nov 26, 2020	0.000878	0.000899	0.000717	0.000763	2,290,134	3,217,287
Nov 25, 2020	0.000889	0.000918	0.000871	0.000878	1,040,846	3,703,389
Nov 24, 2020	0.000876	0.000935	0.000856	0.000882	2,257,983	3,721,043
Nov 23, 2020	0.000847	0.000893	0.000826	0.000872	2,187,731	3,680,500
Nov 22, 2020	0.000901	0.000958	0.000839	0.000847	2,079,249	3,574,843
Nov 21, 2020	0.000834	0.000911	0.000829	0.000901	805,203	3,799,887
Nov 20, 2020	0.000834	0.000856	0.000825	0.000835	1,398,796	3,520,606
Nov 19, 2020	0.000808	0.000866	0.000804	0.000833	1,475,159	3,515,821
Nov 18, 2020	0.000835	0.000847	0.000783	0.000808	1,796,747	3,406,880
Nov 17, 2020	0.000826	0.000859	0.000808	0.000835	1,630,561	3,520,856
Nov 16, 2020	0.000796	0.000848	0.000784	0.000818	1,556,751	3,449,029
Nov 15, 2020	0.000805	0.000822	0.000789	0.000796	1,801,496	3,360,174
Nov 14, 2020	0.000829	0.000835	0.000780	0.000805	1,905,880	3,396,184
Nov 13, 2020	0.000819	0.000863	0.000812	0.000829	2,058,927	3,498,579
Nov 12, 2020	0.000830	0.000857	0.000803	0.000819	1,815,719	3,456,556
Nov 11, 2020	0.000813	0.000875	0.000807	0.000830	1,941,674	3,502,166
Nov 10, 2020	0.000817	0.000836	0.000799	0.000814	1,792,882	3,432,049
Nov 09, 2020	0.000794	0.000822	0.000794	0.000817	1,432,971	3,446,779
Nov 08, 2020	0.000810	0.000820	0.000787	0.000794	1,558,329	3,350,897
Nov 07, 2020	0.000818	0.000854	0.000800	0.000810	1,372,846	3,418,346
Nov 06, 2020	0.000793	0.000825	0.000787	0.000818	1,130,873	3,452,381
Nov 05, 2020	0.000752	0.000795	0.000746	0.000793	1,006,582	3,345,145
Nov 04, 2020	0.000752	0.000760	0.000736	0.000752	891,781	3,171,950
Nov 03, 2020	0.000779	0.000797	0.000733	0.000752	937,728	3,174,320
Nov 02, 2020	0.000781	0.000800	0.000742	0.000779	1,157,904	3,286,520
Nov 01, 2020	0.000770	0.000783	0.000762	0.000781	1,054,524	3,296,738
Oct 31, 2020	0.000744	0.000779	0.000743	0.000770	895,943	3,247,058
Oct 30, 2020	0.000774	0.000776	0.000732	0.000744	977,372	3,139,382
Oct 29, 2020	0.000800	0.000807	0.000771	0.000774	1,240,217	3,266,456
Oct 28, 2020	0.000808	0.000815	0.000780	0.000800	1,264,451	3,372,977
Oct 27, 2020	0.000879	0.000879	0.000808	0.000808	1,288,480	3,407,783
Oct 26, 2020	0.000889	0.000903	0.000871	0.000879	743,617	3,706,372
Oct 25, 2020	0.000887	0.000916	0.000883	0.000889	1,258,077	3,750,427
