date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.010485	0.011833	0.010421	0.011293	299.01	448,967
Dec 15, 2020	0.010201	0.011233	0.010112	0.010487	181.92	416,565
Dec 14, 2020	0.010145	0.013371	0.009713	0.010201	1,171.67	404,852
Dec 13, 2020	0.009966	0.010583	0.009760	0.010145	78.35	402,235
Dec 12, 2020	0.009932	0.011066	0.009721	0.009967	102.82	394,885
Dec 11, 2020	0.010228	0.010988	0.009693	0.009932	80.01	393,151
Dec 10, 2020	0.010390	0.011924	0.009517	0.010228	975.34	404,524
Dec 09, 2020	0.010442	0.010973	0.010078	0.010396	323.97	410,857
Dec 08, 2020	0.010940	0.011492	0.010414	0.010447	92.24	412,510
Dec 07, 2020	0.010443	0.013267	0.010323	0.010942	540.25	431,715
Dec 06, 2020	0.009002	0.013370	0.009002	0.010442	409.91	411,616
Dec 05, 2020	0.008977	0.012203	0.008913	0.008998	872.56	354,403
Dec 04, 2020	0.007779	0.012903	0.007764	0.009004	567.76	354,327
Dec 03, 2020	0.006721	0.012463	0.006624	0.007777	2,149.90	305,745
Dec 02, 2020	0.006957	0.007004	0.006578	0.006722	141.98	264,054
Dec 01, 2020	0.009617	0.009629	0.006734	0.006958	262.98	273,061
Nov 30, 2020	0.007635	0.009651	0.007601	0.009617	111.80	377,125
Nov 29, 2020	0.007441	0.008841	0.007375	0.007635	47.89	299,018
Nov 28, 2020	0.007014	0.008156	0.006933	0.007442	57.05	291,304
Nov 27, 2020	0.006687	0.009268	0.006503	0.007015	98.89	274,345
Nov 26, 2020	0.006931	0.008452	0.006117	0.006678	788.99	260,956
Nov 25, 2020	0.007070	0.008477	0.006738	0.006931	222.44	270,630
Nov 24, 2020	0.006978	0.007349	0.006792	0.007070	507.02	275,814
Nov 23, 2020	0.007348	0.007485	0.006902	0.006980	98.10	272,035
Nov 22, 2020	0.007643	0.008158	0.006538	0.007349	430.53	286,174
Nov 21, 2020	0.006890	0.008675	0.006889	0.007643	310.22	297,388
Nov 20, 2020	0.006770	0.007134	0.006751	0.006890	127.26	267,861
Nov 19, 2020	0.007655	0.008171	0.006735	0.006771	1,068.13	262,982
Nov 18, 2020	0.007411	0.008547	0.007254	0.007659	149.41	297,251
Nov 17, 2020	0.007343	0.008891	0.006988	0.007420	1,046.62	287,715
Nov 16, 2020	0.004946	0.010735	0.004690	0.006521	1,366.51	252,601
Nov 15, 2020	0.004820	0.004958	0.004607	0.004948	70.36	191,509
Nov 14, 2020	0.004079	0.008133	0.004057	0.004823	281.12	186,478
Nov 13, 2020	0.004069	0.004116	0.003838	0.004078	46.83	157,538
Nov 12, 2020	0.004240	0.005276	0.004039	0.004070	107.72	157,110
Nov 11, 2020	0.004129	0.005405	0.003991	0.004237	93.22	163,412
Nov 10, 2020	0.005366	0.005394	0.004128	0.004128	340.64	159,067
Nov 09, 2020	0.005572	0.006314	0.005203	0.005367	78.70	206,610
Nov 08, 2020	0.005192	0.006137	0.004787	0.005575	106.28	214,440
Nov 07, 2020	0.006382	0.006452	0.005048	0.005197	232.66	199,729
Nov 06, 2020	0.006232	0.008385	0.006091	0.006377	281.01	244,842
Nov 05, 2020	0.005936	0.006308	0.005923	0.006232	449.53	239,075
Nov 04, 2020	0.005719	0.005936	0.005568	0.005936	166.99	227,517
Nov 03, 2020	0.005555	0.005812	0.005495	0.005705	178.56	215,636
Nov 02, 2020	0.005632	0.005874	0.005510	0.005559	295.53	210,119
Nov 01, 2020	0.005650	0.005811	0.005588	0.005622	160.12	212,496
Oct 31, 2020	0.005419	0.005837	0.005383	0.005649	98.30	213,532
Oct 30, 2020	0.005375	0.005461	0.005254	0.005427	75.86	205,130
Oct 29, 2020	0.005441	0.005454	0.005192	0.005380	71.12	203,342
Oct 28, 2020	0.005598	0.005673	0.005302	0.005441	81.15	205,670
Oct 27, 2020	0.005491	0.005641	0.005359	0.005592	124.67	211,356
Oct 26, 2020	0.005213	0.005524	0.005193	0.005490	132.18	207,520
Oct 25, 2020	0.005505	0.005598	0.005209	0.005210	119.86	196,927
Oct 24, 2020	0.005431	0.007006	0.005305	0.005507	288.87	208,160
Oct 23, 2020	0.005446	0.006245	0.005356	0.005430	115.93	205,237
Oct 22, 2020	0.005771	0.005896	0.005338	0.005446	304.81	205,832
Oct 21, 2020	0.005362	0.005933	0.005236	0.005771	149.21	218,116
Oct 20, 2020	0.006576	0.006979	0.005127	0.005362	1,001.87	202,683
Oct 19, 2020	0.005053	0.009395	0.005020	0.006576	3,375.71	127,329
Oct 18, 2020	0.005111	0.005834	0.005000	0.005053	101.88	97,840.41
Oct 17, 2020	0.005208	0.005905	0.004529	0.005111	187.90	98,972.61
Oct 16, 2020	0.005288	0.005308	0.004636	0.005208	553.99	100,852
Oct 15, 2020	0.007201	0.007601	0.004700	0.005288	365.51	102,393
Oct 14, 2020	0.004228	0.014592	0.004116	0.007201	6,997.19	139,432
Oct 13, 2020	0.002080	0.010714	0.001946	0.004228	4,199.40	81,863.23
Oct 12, 2020	0.002277	0.002448	0.001925	0.002080	167.97	40,276.57
