date	open	high	low	close	volume	market_cap
Dec 16, 2020	179.92	181.58	142.37	161.71	63,420.93	0
Dec 15, 2020	208.29	222.36	141.10	179.92	127,565	0
Dec 14, 2020	186.73	224.48	178.99	208.30	55,748.20	0
Dec 13, 2020	176.68	187.41	168.92	186.72	23,420.44	0
Dec 12, 2020	161.68	186.58	155.36	176.68	79,607.31	0
Dec 11, 2020	134.56	194.58	114.07	161.68	152,621	0
Dec 10, 2020	95.32	167.53	88.82	134.56	163,377	0
Dec 09, 2020	77.14	106.03	76.41	95.31	57,011.70	0
Dec 08, 2020	64.45	87.99	64.29	77.14	57,139.72	0
Dec 07, 2020	69.66	73.40	64.41	64.46	22,089.58	0
Dec 06, 2020	72.35	76.13	68.87	69.65	16,861.70	0
Dec 05, 2020	86.77	96.73	71.63	72.36	52,892.59	0
Dec 04, 2020	113.50	113.50	79.63	86.77	72,003.50	0
Dec 03, 2020	112.62	136.83	102.83	113.50	152,233	0
Dec 02, 2020	133.07	186.97	104.95	112.62	239,732	0
Dec 01, 2020	95.36	170.87	93.88	133.07	155,694	0
Nov 30, 2020	85.20	95.97	81.16	95.37	24,278.25	0
Nov 29, 2020	80.95	94.12	80.48	85.20	32,997.51	0
Nov 28, 2020	61.55	95.89	59.49	80.95	70,336.59	0
Nov 27, 2020	101.15	104.50	61.50	61.55	114,749	0
Nov 26, 2020	151.32	151.32	99.44	101.14	136,048	0
Nov 25, 2020	151.52	155.33	128.53	151.32	556,263	0
