date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007103	0.007438	0.007064	0.007327	21,117.15	1,058,023
Dec 15, 2020	0.007396	0.007480	0.006950	0.007103	53,097.63	1,025,585
Dec 14, 2020	0.007583	0.007593	0.007142	0.007396	79,363.44	1,067,729
Dec 13, 2020	0.007340	0.007895	0.007340	0.007584	82,737.33	1,094,720
Dec 12, 2020	0.007058	0.008971	0.006823	0.007340	121,001	1,059,457
Dec 11, 2020	0.007174	0.007177	0.006654	0.007058	129,237	1,018,607
Dec 10, 2020	0.007402	0.007997	0.006708	0.007174	114,917	1,035,218
Dec 09, 2020	0.008151	0.008162	0.006791	0.007401	68,699.02	1,067,873
Dec 08, 2020	0.008141	0.009071	0.007989	0.008152	49,369.17	1,176,011
Dec 07, 2020	0.007743	0.008797	0.007724	0.008141	58,785.39	1,174,350
Dec 06, 2020	0.007485	0.008541	0.007211	0.007744	79,324.53	1,116,869
Dec 05, 2020	0.007243	0.007816	0.007041	0.007485	76,507.93	1,040,118
Dec 04, 2020	0.007358	0.007476	0.007015	0.007244	94,797.36	1,006,547
Dec 03, 2020	0.007609	0.007634	0.007286	0.007358	95,058.30	1,022,380
Dec 02, 2020	0.007343	0.007710	0.007150	0.007610	81,429.97	1,057,163
Dec 01, 2020	0.007422	0.007772	0.006916	0.007343	173,768	1,019,976
Nov 30, 2020	0.007911	0.008430	0.006320	0.007426	170,788	1,031,379
Nov 29, 2020	0.007315	0.008285	0.007279	0.007911	6,522.53	1,098,656
Nov 28, 2020	0.007733	0.009678	0.007315	0.007315	2,099.85	1,015,719
Nov 27, 2020	0.005671	0.007808	0.005368	0.007733	122,106	1,073,608
Nov 26, 2020	0.008847	0.009038	0.004866	0.005710	124,152	792,653
Nov 25, 2020	0.010642	0.010833	0.008568	0.008847	23,139.32	1,228,094
Nov 24, 2020	0.011826	0.012377	0.010439	0.010642	17,367.14	1,477,095
Nov 23, 2020	0.011500	0.012390	0.011271	0.011822	12,513.99	1,640,572
Nov 22, 2020	0.012198	0.012236	0.011158	0.011500	17,593.37	1,595,702
Nov 21, 2020	0.011601	0.012470	0.011330	0.012198	21,992.28	1,692,307
Nov 20, 2020	0.011582	0.012140	0.011297	0.011601	9,970.68	1,609,292
Nov 19, 2020	0.011886	0.011962	0.011308	0.011582	10,445.70	1,606,510
