date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.004854	0.005365	0.004825	0.005327	0	47,885.62
Dec 15, 2020	0.004812	0.004881	0.004770	0.004855	0	43,635.86
Dec 14, 2020	0.004786	0.004826	0.004753	0.004812	0	43,238.38
Dec 13, 2020	0.004701	0.004845	0.004684	0.004785	0	42,980.97
Dec 12, 2020	0.004515	0.004730	0.004512	0.004701	0	42,207.95
Dec 11, 2020	0.004566	0.004567	0.004406	0.004514	0	40,519.93
Dec 10, 2020	0.004638	0.004638	0.004489	0.004566	0	40,973.90
Dec 09, 2020	0.004580	0.004657	0.004485	0.004641	0	41,633.20
Dec 08, 2020	0.004798	0.004821	0.004567	0.004582	0	41,078.04
Dec 07, 2020	0.004835	0.004853	0.004733	0.004799	0	43,026.70
Dec 06, 2020	0.007087	0.007151	0.004724	0.004834	0	43,341.06
Dec 05, 2020	0.006920	0.007089	0.006878	0.007084	0	63,508.43
Dec 04, 2020	0.007196	0.007219	0.006918	0.006941	0	62,220.22
Dec 03, 2020	0.007105	0.007239	0.007003	0.007194	0	64,473.55
Dec 02, 2020	0.006957	0.007144	0.006789	0.007107	0	63,671.08
Dec 01, 2020	0.007262	0.007343	0.006779	0.006958	0	62,317.92
Nov 30, 2020	0.006726	0.007307	0.006726	0.007262	0	65,029.10
Nov 29, 2020	0.005670	0.006765	0.005619	0.006726	0	60,227.79
Nov 28, 2020	0.005475	0.005713	0.005411	0.005670	0	50,747.90
Nov 27, 2020	0.005486	0.005582	0.005288	0.005475	0	48,971.35
Nov 26, 2020	0.005994	0.006037	0.005232	0.005479	0	48,976.43
Nov 25, 2020	0.006114	0.006205	0.005946	0.005995	0	53,542.48
Nov 24, 2020	0.005877	0.006191	0.005801	0.006115	0	54,577.09
Nov 23, 2020	0.005878	0.005988	0.005760	0.005878	0	52,411.95
Nov 22, 2020	0.005966	0.005980	0.005655	0.005879	0	52,375.42
Nov 21, 2020	0.005959	0.006060	0.005902	0.005965	0	53,099.46
Nov 20, 2020	0.005701	0.006007	0.005685	0.005959	0	53,010.39
Nov 19, 2020	0.005697	0.005798	0.005562	0.005702	0.000002	50,705.50
Nov 18, 2020	0.005647	0.005886	0.005553	0.005697	0	50,624.55
Nov 17, 2020	0.005340	0.005691	0.005301	0.005646	0	50,137.06
Nov 16, 2020	0.005106	0.005381	0.005082	0.005349	0	47,466.03
Nov 15, 2020	0.005142	0.005159	0.005054	0.005106	0	45,282.56
Nov 14, 2020	0.005222	0.005222	0.005040	0.005142	0	45,584.61
Nov 13, 2020	0.005208	0.005268	0.005117	0.005222	0	46,262.59
Nov 12, 2020	0.006909	0.007091	0.005094	0.005208	0.000002	46,129.89
Nov 11, 2020	0.006728	0.007003	0.006728	0.006909	0	61,160.86
Nov 10, 2020	0.006746	0.006798	0.006655	0.006728	0	59,530.53
Nov 09, 2020	0.006811	0.006945	0.006541	0.006747	0	59,654.50
Nov 08, 2020	0.006082	0.006880	0.006045	0.006811	0.000004	60,195.14
Nov 07, 2020	0.005604	0.006121	0.005275	0.006082	0.000003	53,719.00
Nov 06, 2020	0.005609	0.005725	0.005482	0.005604	0	49,454.10
Nov 05, 2020	0.006926	0.007330	0.005354	0.005600	8.20e-7	49,380.61
Nov 04, 2020	0.006836	0.006967	0.006654	0.006925	0	61,008.53
Nov 03, 2020	0.006640	0.006853	0.006529	0.006835	0	60,172.25
Nov 02, 2020	0.006181	0.006694	0.006092	0.006639	0.000008	58,412.68
Nov 01, 2020	0.006339	0.006377	0.006142	0.006170	0	54,244.01
Oct 31, 2020	0.006231	0.006453	0.006190	0.006338	0	55,681.24
Oct 30, 2020	0.006181	0.006280	0.006043	0.006241	0	54,777.95
Oct 29, 2020	0.005707	0.006198	0.004932	0.006187	0.000001	54,251.47
Oct 28, 2020	0.005871	0.005950	0.005561	0.005708	0	50,040.88
Oct 27, 2020	0.005622	0.005917	0.005616	0.005871	0	51,475.04
Oct 26, 2020	0.005603	0.005687	0.005514	0.005622	0	49,289.30
Oct 25, 2020	0.005636	0.005732	0.005551	0.005603	0	49,125.86
Oct 24, 2020	0.005561	0.005652	0.005541	0.005637	0	49,415.55
Oct 23, 2020	0.005575	0.005597	0.005484	0.005561	0	48,751.27
Oct 22, 2020	0.005514	0.005659	0.005468	0.005575	0	48,879.22
Oct 21, 2020	0.005124	0.005669	0.005117	0.005514	0	48,343.28
Oct 20, 2020	0.005049	0.005160	0.005024	0.005124	0	44,922.45
Oct 19, 2020	0.004938	0.005074	0.004906	0.005049	0	44,265.34
Oct 18, 2020	0.004884	0.004938	0.004879	0.004938	0	43,290.20
Oct 17, 2020	0.004869	0.004896	0.004853	0.004884	0	42,818.01
Oct 16, 2020	0.004943	0.004962	0.004826	0.004869	0	42,682.38
Oct 15, 2020	0.004915	0.004975	0.004861	0.004943	0	43,335.47
Oct 14, 2020	0.004913	0.004962	0.004862	0.004915	0	43,087.29
Oct 13, 2020	0.004622	0.004966	0.004607	0.004913	0	43,073.60
Oct 12, 2020	0.004554	0.004679	0.004496	0.004622	0	40,522.43
Oct 11, 2020	0.004406	0.004435	0.003965	0.003984	0	34,931.98
Oct 10, 2020	0.004315	0.004462	0.004312	0.004406	0	38,623.84
Oct 09, 2020	0.004257	0.004330	0.004230	0.004315	0	37,830.93
Oct 08, 2020	0.004161	0.004269	0.004119	0.004257	0	37,322.00
Oct 07, 2020	0.004136	0.004165	0.004119	0.004161	0	36,478.12
Oct 06, 2020	0.004209	0.004211	0.004106	0.004136	0	36,257.52
Oct 05, 2020	0.004161	0.004209	0.004147	0.004209	0	36,903.05
Oct 04, 2020	0.004114	0.004168	0.004108	0.004161	0	36,476.85
Oct 03, 2020	0.004125	0.004134	0.004099	0.004114	0	36,069.63
Oct 02, 2020	0.004142	0.004157	0.004063	0.004125	0	36,160.73
Oct 01, 2020	0.004206	0.004264	0.004084	0.004142	0	36,309.37
Sep 30, 2020	0.004989	0.004990	0.004161	0.004206	0	36,875.18
Sep 29, 2020	0.004926	0.004995	0.004899	0.004989	0	43,734.61
Sep 28, 2020	0.004957	0.005035	0.004924	0.004926	0	43,190.23
Sep 27, 2020	0.004945	0.004970	0.004887	0.004957	0	43,455.73
