date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.312381	0.425449	0.162600	0.269867	44,559.38	0
Dec 15, 2020	0.268318	0.421693	0.124363	0.312421	44,911.59	0
Dec 14, 2020	0.376087	0.454528	0.079104	0.268418	33,235.53	0
Dec 13, 2020	0.407709	0.421765	0.360710	0.376204	36,273.62	0
Dec 12, 2020	0.366678	0.409749	0.349679	0.407541	35,408.13	0
Dec 11, 2020	0.407616	0.411796	0.172028	0.366966	34,375.25	0
Dec 10, 2020	0.379094	0.437680	0.325751	0.407809	38,550.32	0
Dec 09, 2020	0.412418	0.437599	0.365873	0.379326	34,311.72	0
Dec 08, 2020	0.411081	0.448489	0.379208	0.412393	38,821.07	0
Dec 07, 2020	0.407284	0.437130	0.386109	0.411161	40,793.97	0
Dec 06, 2020	0.389269	0.419230	0.380147	0.407255	37,383.81	0
Dec 05, 2020	0.381832	0.415729	0.374408	0.389102	36,881.13	0
Dec 04, 2020	0.328004	0.396053	0.262902	0.382766	49,753.24	0
Dec 03, 2020	0.395713	0.397115	0.277391	0.327936	40,577.95	0
Dec 02, 2020	0.345599	0.396121	0.340288	0.395795	3,188.75	0
Dec 01, 2020	0.362206	0.365280	0.337396	0.345625	1,200.58	0
Nov 30, 2020	0.334102	0.364492	0.333635	0.362235	3,455.68	0
Nov 29, 2020	0.325646	0.336236	0.322912	0.334116	1,205.70	0
Nov 28, 2020	0.304691	0.328334	0.304691	0.325655	1,190.40	0
Nov 27, 2020	0.218391	0.304694	0.213998	0.304694	1,328.30	0
Nov 26, 2020	0.250619	0.263885	0.183910	0.218342	24,750.70	0
Nov 25, 2020	0.257796	0.275202	0.198125	0.250634	26,479.61	0
Nov 24, 2020	0.224461	0.285149	0.158254	0.257812	27,653.93	0
Nov 23, 2020	0.210446	0.284044	0.077381	0.224330	30,220.06	0
Nov 22, 2020	0.209636	0.275836	0.169265	0.210602	25,797.36	0
Nov 21, 2020	0.243720	0.276698	0.174748	0.209633	25,711.82	0
Nov 20, 2020	0.258667	0.281072	0.178081	0.243726	25,579.21	0
Nov 19, 2020	0.233034	0.288851	0.187732	0.258672	27,477.15	0
Nov 18, 2020	0.276583	0.299945	0.198508	0.233020	29,981.18	0
Nov 17, 2020	0.274185	0.294290	0.193815	0.276576	31,800.19	0
