date	open	high	low	close	volume	market_cap
Dec 16, 2020	9.86	10.45	9.72	10.40	10,434.49	1,040,318
Dec 15, 2020	10.40	10.41	9.85	9.86	20,677.51	986,456
Dec 14, 2020	11.01	11.01	10.40	10.40	27,993.60	1,040,003
Dec 13, 2020	9.88	11.26	9.82	11.01	46,809.60	1,100,842
Dec 12, 2020	9.70	10.59	9.68	9.88	56,263.75	987,765
Dec 11, 2020	12.03	12.03	9.70	9.70	58,425.66	970,038
Dec 10, 2020	12.52	12.59	11.03	12.03	93,123.75	1,203,457
Dec 09, 2020	14.83	15.18	12.51	12.52	107,525	1,252,411
Dec 08, 2020	13.92	19.45	13.58	14.83	383,695	1,483,184
Dec 07, 2020	17.21	17.23	13.28	13.92	167,408	1,392,466
Dec 06, 2020	15.29	18.13	15.10	17.21	444,876	1,721,462
Dec 05, 2020	8.85	19.51	8.76	15.29	1,050,220	1,528,671
Dec 04, 2020	10.52	10.52	8.68	8.85	89,206.51	884,804
Dec 03, 2020	8.99	11.00	8.95	10.52	150,238	1,052,230
Dec 02, 2020	9.19	9.41	8.89	8.99	44,840.14	899,440
Dec 01, 2020	10.53	10.91	9.16	9.19	59,530.71	919,438
Nov 30, 2020	11.99	12.42	9.60	10.53	143,580	1,052,666
Nov 29, 2020	11.02	12.09	8.94	11.99	392,183	1,198,551
Nov 28, 2020	13.91	14.95	10.98	11.02	367,598	1,101,883
Nov 27, 2020	15.36	16.96	13.06	13.91	465,019	1,391,215
Nov 26, 2020	21.27	21.27	13.20	15.36	858,780	1,536,190
Nov 25, 2020	18.12	28.92	17.25	21.27	1,916,325	2,127,036
Nov 24, 2020	27.59	27.59	16.83	18.12	1,490,431	1,811,921
Nov 23, 2020	14.54	34.19	14.49	27.59	7,496,582	2,759,236
